year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,3058000000,321000000,238000000,2673000000,1316000000,196000000,139000000,-23000000,0.94
1995,3067000000,315000000,321000000,3164000000,1567000000,170000000,230000000,-32000000,1.27
1996,3581000000,353000000,270000000,3299000000,1714000000,156000000,1036000000,-75000000,1.07
1997,5966000000,676000000,559000000,4091000000,1915000000,257000000,557000000,-1313000000,1.4
1998,7398000000,918000000,589000000,4572000000,2219000000,249000000,370000000,-414000000,1.48
1999,8959000000,1203000000,880000000,7774000000,3171000000,169000000,1016000000,-1287000000,2.2
2000,10356000000,1329000000,901000000,7987000000,3820000000,162000000,1071000000,-288000000,2.26
2001,12054000000,1486000000,943000000,11069000000,4528000000,724000000,1103000000,-356000000,2.35
2002,13829000000,1582000000,917000000,11731000000,5199000000,718000000,1125000000,-264000000,2.28
2003,16369000000,1445000000,1004000000,16183000000,5921000000,3296000000,1723000000,-224000000,2.54
2004,19119000000,1944000000,1227000000,17544000000,7189000000,3291000000,1802000000,-266000000,3.08
2005,20975000000,2179000000,1461000000,19591000000,8145000000,2781000000,2056000000,-279000000,3.64
2006,24063000000,2625000000,1856000000,22376000000,9827000000,2774000000,2128000000,-334000000,4.6
