year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,59316000000,12987000000,4726000000,194484000000,28234000000,36979000000,13392000000,-7492000000,3.69
1995,69276000000,16475000000,6573000000,228035000000,32565000000,51027000000,14946000000,-6447000000,5.2
1996,78541000000,18341000000,7280000000,272402000000,34132000000,49246000000,17851000000,-7760000000,5.87
1997,88540000000,17503000000,8203000000,304012000000,38120000000,46603000000,14240000000,-8388000000,6.67
1998,100469000000,23495000000,9296000000,355935000000,43155000000,59663000000,19360000000,-8982000000,7.6
1999,111630000000,25955000000,10717000000,405200000000,47771000000,71427000000,24593000000,-27156000000,8.72
2000,129853000000,30593000000,12735000000,437006000000,55428000000,82132000000,22690000000,-13967000000,10.32
2001,126416000000,31111000000,13684000000,495023000000,60039000000,79806000000,32195000000,-15520000000,11.04
2002,132210000000,29433000000,14118000000,575244000000,69179000000,140632000000,29488000000,-13351000000,11.36
2003,112886000000,28379000000,15236000000,647483000000,84960000000,170004000000,30289000000,-9767000000,12.16
2004,134291000000,32641000000,17160000000,750330000000,126667000000,213161000000,36484000000,-13118000000,13.2
2005,136580000000,36905000000,16720000000,689458000000,117405000000,212281000000,37641000000,-14441000000,12.64
2006,151568000000,43029000000,20742000000,717792000000,119892000000,260804000000,30646000000,-16650000000,16
