year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,5740500000,235000000,177800000,5268300000,1947400000,643100000,443400000,-245700000,0.39
1995,5882900000,409300000,183700000,3646600000,1749800000,200000000,632000000,-290100000,0.34
1996,13946600000,989000000,557900000,4436600000,2159200000,200000000,452000000,-395700000,0.57
1997,16272000000,1405000000,772000000,5603000000,2604400000,1296900000,548200000,-577100000,0.9
1998,14504000000,1045000000,-15000000,11112000000,4231400000,1370000000,454100000,-954700000,-0.0167
1999,12313000000,401000000,438000000,10728000000,4440000000,1056000000,233000000,-606000000,0.5
2000,11944000000,462000000,501000000,10103000000,3966000000,1049000000,769000000,-578000000,0.57
2001,13046000000,1084000000,809000000,10966000000,4793000000,1403000000,2292000000,-797000000,0.95
2002,12572000000,-112000000,-998000000,12844000000,3629000000,1181000000,1562000000,-764000000,-1.16
2003,16271000000,720000000,-820000000,15463000000,2647000000,3415000000,-775000000,-515000000,-0.94
2004,19884000000,820000000,-979000000,15796000000,4040000000,3593000000,928000000,-575000000,-1.12
2005,10100000000,2164000000,2358000000,15010000000,6517000000,2813000000,701000000,-651000000,2.33
2006,12955000000,3245000000,2348000000,16820000000,7823000000,2783000000,3657000000,-891000000,2.32
