year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,12476700000,987200000,604500000,5778000000,3493200000,983300000,534500000,-1100700000,0.29
1995,15470400000,1179900000,731500000,7354000000,5064400000,720100000,713000000,-1278100000,0.35
1996,19535500000,1526000000,937700000,9341700000,6053000000,1246600000,1100100000,-1194400000,0.43
1997,24156000000,2000000000,1160000000,11229000000,7214000000,1303000000,1029000000,-1481000000,0.53
1998,30219000000,2661000000,1614000000,13465000000,8749000000,1566000000,1917000000,-2320000000,0.73
1999,38434000000,3795000000,2320000000,17081000000,12351000000,750000000,2446000000,-2581000000,1.03
2000,45738000000,4191000000,2581000000,21385000000,15015000000,1545000000,2796000000,-3558000000,1.11
2001,53553000000,4932000000,3044000000,26394000000,18082000000,1250000000,5963000000,-3393000000,1.3
2002,58247000000,5830000000,3664000000,30011000000,19802000000,1321000000,4802000000,-2749000000,1.57
2003,64816000000,6846000000,4304000000,34437000000,22407000000,856000000,6545000000,-4106000000,1.88
2004,73094000000,7926000000,5001000000,38907000000,24158000000,2148000000,6904000000,-3948000000,2.27
2005,81511000000,9363000000,5838000000,44405000000,26909000000,2672000000,6620000000,-3881000000,2.73
2006,79022000000,8866000000,5761000000,52263000000,25030000000,11643000000,7661000000,-3542000000,2.8
