year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,24991000000,2549000000,1599000000,19567000000,9926000000,547000000,2224000000,-1257000000,0.77
1995,31519000000,3568000000,2433000000,24427000000,11839000000,663000000,1613000000,-1601000000,1.16
1996,38420000000,3726000000,2586000000,27699000000,13438000000,2579000000,3456000000,-2201000000,1.27
1997,35465000000,3405000000,3119000000,31749000000,16155000000,3158000000,4321000000,-2338000000,1.53
1998,39419000000,3399000000,2945000000,33673000000,16919000000,2063000000,5442000000,-1997000000,1.43
1999,42370000000,3688000000,3491000000,35297000000,18295000000,1764000000,3034000000,-1134000000,1.73
2000,48870000000,4025000000,3697000000,34009000000,14209000000,3402000000,4425000000,-1737000000,1.87
2001,45226000000,1439000000,624000000,32584000000,13953000000,3729000000,2561000000,-1527000000,0.32
2002,56588000000,-1012000000,-923000000,70710000000,36262000000,6035000000,5444000000,-1710000000,-0.37
2003,73061000000,2896000000,2539000000,74708000000,37746000000,6494000000,6057000000,-1995000000,0.83
2004,79905000000,4227000000,3497000000,76138000000,37564000000,4623000000,5088000000,-2126000000,1.16
2005,86696000000,3473000000,2398000000,77317000000,37176000000,3392000000,8028000000,-1995000000,0.83
2006,91658000000,6560000000,6198000000,81981000000,38144000000,2490000000,11353000000,-2536000000,2.23
