year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,62668000000,5005000000,3021000000,81091000000,23413000000,12548000000,11793000000,-4439000000,1.25
1995,71940000000,7591000000,4178000000,80292000000,22423000000,10060000000,10708000000,-5567000000,1.81
1996,73424000000,6073000000,5429000000,81132000000,21628000000,9872000000,10275000000,-6178000000,2.56
1997,78508000000,9098000000,6093000000,81499000000,19816000000,13696000000,8865000000,-7107000000,3.09
1998,81667000000,9164000000,6328000000,86100000000,19433000000,15508000000,9273000000,-6770000000,3.38
1999,87548000000,11927000000,7712000000,87495000000,20511000000,14124000000,10111000000,-6423000000,4.25
2000,88396000000,11634000000,8093000000,88349000000,20624000000,18371000000,9274000000,-6181000000,4.58
2001,83067000000,9855000000,7723000000,88313000000,23614000000,15963000000,14021000000,-5400000000,4.45
2002,81186000000,6796000000,3579000000,96484000000,22782000000,19986000000,13788000000,-5350000000,2.1
2003,89131000000,8632000000,6558000000,104457000000,27864000000,16986000000,14537000000,-4974000000,4.4
2004,96293000000,9616000000,7479000000,109183000000,29747000000,14828000000,15349000000,-5056000000,5.03
2005,91134000000,9376000000,7934000000,105748000000,33098000000,15425000000,14914000000,-4634000000,4.96
2006,91424000000,11929000000,9492000000,103234000000,28506000000,13780000000,15019000000,-5166000000,6.2
