year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,11521000000,3387000000,2288000000,13816000000,9267000000,392000000,2981000000,-2441000000,0.35
1995,16202000000,5252000000,3566000000,17504000000,12140000000,400000000,4026000000,-3550000000,0.54
1996,20847000000,7553000000,5157000000,23735000000,16872000000,728000000,8743000000,-3024000000,0.79
1997,25070000000,9887000000,6945000000,28880000000,19295000000,448000000,10008000000,-4501000000,1.07
1998,26273000000,8379000000,6068000000,31471000000,23377000000,702000000,9191000000,-4463000000,0.91
1999,29389000000,9767000000,7314000000,43849000000,32535000000,955000000,11335000000,-3403000000,1.1
2000,33726000000,10395000000,10535000000,47945000000,37322000000,707000000,12827000000,-6674000000,1.57
2001,26539000000,2256000000,1291000000,44395000000,35830000000,1050000000,8654000000,-7309000000,0.19
2002,26764000000,4382000000,3117000000,44224000000,35468000000,929000000,9129000000,-4703000000,0.47
2003,30141000000,7533000000,5641000000,47143000000,37846000000,936000000,11515000000,-3656000000,0.86
2004,34209000000,10130000000,7516000000,48143000000,38579000000,703000000,13119000000,-3843000000,1.17
2005,38826000000,12090000000,8664000000,48314000000,36182000000,2106000000,14823000000,-5818000000,1.42
2006,35382000000,5652000000,5044000000,48368000000,36752000000,1848000000,10620000000,-5779000000,0.87
