year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,14966000000,1064000000,432000000,17836000000,7726000000,4464000000,1275000000,-1114000000,1.43
1995,19797000000,2521000000,1153000000,23977000000,9764000000,6396000000,2248000000,-1518000000,4.5
1996,20143000000,1438000000,303000000,28252000000,11209000000,7141000000,1739000000,-1394000000,1.04
1997,24556000000,1239000000,-80000000,26754000000,10353000000,7604000000,1242000000,-1111000000,-0.2
1998,23979000000,1211000000,247000000,26356000000,10510000000,9502000000,1671000000,-1049000000,0.6
1999,24573000000,1541000000,183000000,30268000000,11885000000,9325000000,1728000000,-1139000000,0.44
2000,28180000000,2508000000,142000000,42109000000,13389000000,14453000000,2430000000,-1352000000,0.32
2001,26363000000,1435000000,-1188000000,37158000000,11565000000,14262000000,1714000000,-1049000000,-2.5
2002,23899000000,1677000000,295000000,33792000000,8823000000,14847000000,2094000000,-1009000000,-1.83
2003,22138000000,1271000000,315000000,35525000000,10037000000,13450000000,1822000000,-1166000000,0.63
2004,20721000000,1233000000,-35000000,34217000000,9802000000,13632000000,2388000000,-1262000000,-0.07
2005,21700000000,1070000000,1100000000,28771000000,8562000000,11019000000,1510000000,-1155000000,2.26
2006,21995000000,1451000000,1050000000,24034000000,8176000000,6531000000,1223000000,-1009000000,2.21
