year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,15734000000,2807000000,2006000000,15668000000,7122000000,2199000000,2975000000,-937000000,0.78
1995,18842000000,3511000000,2403000000,17873000000,9045000000,2107000000,3382000000,-1256000000,0.93
1996,21620000000,4303000000,2887000000,20010000000,10836000000,1410000000,3891000000,-1373000000,1.09
1997,22629000000,4622000000,3303000000,21453000000,12359000000,1126000000,4343000000,-1391000000,1.24
1998,23995000000,5028000000,3003000000,27292000000,14077000000,1729000000,4886000000,-4941000000,1.08
1999,28007000000,5985000000,4273000000,29163000000,16213000000,2450000000,5677000000,-1999000000,1.43
2000,29172000000,6615000000,4953000000,34245000000,20395000000,3163000000,6563000000,-1646000000,1.65
2001,32317000000,7885000000,5668000000,38488000000,24233000000,2217000000,8864000000,-1731000000,1.87
2002,36298000000,9678000000,6597000000,40556000000,22697000000,2022000000,8176000000,-2099000000,2.2
2003,41862000000,10871000000,7197000000,48263000000,26869000000,2955000000,10595000000,-2262000000,2.42
2004,47348000000,12356000000,8180000000,53317000000,31813000000,2565000000,11131000000,-2175000000,2.75
2005,50514000000,12831000000,10060000000,58864000000,38710000000,2017000000,11877000000,-2632000000,3.38
2006,53324000000,13709000000,11053000000,70556000000,39318000000,2014000000,14248000000,-2738000000,3.76
