year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,7364200000,819100000,535100000,6715700000,2675900000,929500000,669000000,-485200000,1.62
1995,13788600000,1653000000,33200000,11439200000,3886900000,1984700000,931600000,-817600000,0.06
1996,13149100000,2053700000,1403800000,11845700000,4731800000,1738600000,1674200000,-883700000,2.49
1997,12546600000,1784300000,901500000,11266000000,4287900000,1803900000,1406600000,-944300000,1.62
1998,12297800000,1777600000,1165800000,11510300000,4085200000,2068200000,1991300000,-1012000000,2
1999,13006800000,2228400000,1668100000,12815500000,5337700000,1926600000,2134300000,-1058300000,3.11
2000,13982000000,2529600000,1800600000,14479800000,6048600000,2000600000,2133200000,-1170300000,3.34
2001,14524400000,2338200000,1609900000,15007600000,5956300000,2424000000,2253800000,-1099500000,3.04
2002,13566300000,2368300000,1674600000,15585800000,5905800000,2844000000,2424200000,-870700000,3.24
2003,14348000000,2412400000,1694200000,16779900000,7064600000,2733700000,2613000000,-877600000,3.34
2004,15083200000,2543400000,1800200000,17018000000,6997900000,2298000000,2969600000,-535000000,3.64
2005,15902600000,2566400000,1568300000,16303200000,5952700000,2594700000,2311800000,-709600000,3.3
2006,16746900000,2610200000,1499500000,17067000000,6520000000,2276000000,2579500000,-972100000,3.27
