year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,16172000000,3708000000,2554000000,13873000000,5235000000,1426000000,3183000000,-878000000,0.5
1995,18127000000,4026000000,2986000000,15041000000,5392000000,1141000000,3115000000,-937000000,0.59
1996,18673000000,3915000000,3492000000,16161000000,6156000000,1116000000,3463000000,-990000000,0.7
1997,18868000000,5001000000,4129000000,16940000000,7311000000,801000000,4033000000,-1093000000,0.84
1998,18813000000,4967000000,3533000000,19145000000,8403000000,687000000,3433000000,-863000000,0.72
1999,19284000000,3982000000,2431000000,21623000000,9513000000,854000000,3883000000,-1069000000,0.49
2000,19889000000,3691000000,2177000000,20834000000,9316000000,835000000,3585000000,-733000000,0.44
2001,17545000000,5352000000,3969000000,22417000000,11366000000,1219000000,4110000000,-769000000,0.8
2002,19564000000,5458000000,3050000000,24501000000,11800000000,2701000000,4742000000,-851000000,0.62
2003,21044000000,5221000000,4347000000,27342000000,14090000000,2517000000,5456000000,-812000000,0.89
2004,21742000000,5698000000,4847000000,31327000000,15935000000,1157000000,5968000000,-755000000,1
2005,23104000000,6085000000,4872000000,29427000000,16355000000,1154000000,6423000000,-899000000,1.02
2006,24088000000,6308000000,5080000000,29963000000,16920000000,1314000000,5957000000,-1407000000,1.08
