year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,5711600000,1794900000,1286100000,14507400000,5355600000,2125800000,1532300000,-576500000,1.11
1995,6763800000,1981800000,2290900000,14412500000,5432600000,2592900000,1824600000,-551300000,2.02
1996,6998300000,2044300000,1523500000,14307200000,6100100000,2516500000,1991400000,-443900000,1.39
1997,7987700000,2438400000,-385100000,12577400000,4805600000,2326100000,2400400000,-366300000,-0.35
1998,9236800000,2824500000,2097900000,12595500000,4429600000,2185500000,2629800000,-419900000,1.91
1999,10002900000,3363700000,2721000000,12825200000,5013000000,2811900000,2619700000,-528300000,2.5
2000,10862200000,3559700000,3057800000,14690800000,6046900000,2633700000,3731500000,-677900000,2.83
2001,11542500000,3729800000,2780000000,16434100000,7104000000,3132100000,3661600000,-884000000,2.58
2002,11077500000,3327700000,2707900000,19042000000,8273600000,4358200000,2070700000,-1130900000,2.51
2003,12582500000,3501800000,2560800000,21678100000,9764800000,4687800000,3646700000,-1706600000,2.38
2004,13857900000,3658700000,1810100000,24867000000,10919900000,4491900000,2869500000,-1898100000,1.67
2005,14645300000,3648600000,1979600000,24580800000,10791900000,5763500000,1913600000,-1298100000,1.82
2006,15691000000,4125400000,2662700000,21955400000,10980700000,3494400000,3975900000,-1077800000,2.45
