year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,6110500000,388200000,223600000,3106000000,1419900000,681200000,359000000,-414100000,0.18
1995,7075400000,436300000,226000000,3556400000,1656700000,866200000,303300000,-520400000,0.18
1996,8600200000,570900000,292200000,4435000000,2217500000,767300000,543000000,-677200000,0.22
1997,10136900000,670246000,383030000,5219300000,2600600000,1045600000,690974000,-826246000,0.26
1998,12244900000,868307000,500374000,6344700000,3136000000,1283100000,741645000,-1078107000,0.34
1999,15905595000,1172347000,672795000,9012323000,4695471000,1726579000,1170888000,-1472348000,0.44
2000,18778559000,1402265000,809871000,11375754000,5494885000,2697669000,1129709000,-2331922000,0.53
2001,22111108000,1779623000,1023262000,13736219000,6674442000,3734011000,1613049000,-2199108000,0.67
2002,26491000000,2541000000,1491000000,16109000000,8302000000,3736000000,2696000000,-2362000000,0.95
2003,30838000000,3124000000,1844000000,19042000000,10309000000,3678000000,3054000000,-2345000000,1.16
2004,36464000000,3743000000,2176000000,21138000000,11535000000,2637000000,3073000000,-2939000000,1.39
2005,43243000000,4670000000,2771000000,24639000000,14339000000,3075000000,3842000000,-3379000000,1.78
2006,46927000000,5157000000,3105000000,27767000000,15725000000,3959000000,4502000000,-3916000000,2.02
