year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,8320800000,2157300000,1224400000,13591900000,7308200000,2935400000,1926200000,-1538600000,0.84
1995,9794500000,2495600000,1427300000,15414600000,8526000000,4257800000,2296200000,-2063700000,0.99
1996,10686500000,2586800000,1572600000,17386000000,8718200000,4830100000,2461000000,-2513000000,1.11
1997,11408800000,2694800000,1642500000,18241500000,8851600000,4834100000,2442300000,-2224800000,1.18
1998,12421400000,3023300000,1550100000,19784400000,9464700000,6188600000,2766300000,-1997700000,1.14
1999,13259300000,3214400000,1947900000,20983200000,9639100000,5632400000,3008900000,-2208500000,1.44
2000,14243000000,3133300000,1977300000,21683500000,9204400000,7843900000,2751500000,-2370600000,1.49
2001,14870000000,2697000000,1636600000,22534500000,9488400000,8555500000,2688300000,-2237800000,1.28
2002,15405700000,2112900000,893500000,23970500000,10280900000,9703600000,2890100000,-2552200000,0.7
2003,17140500000,2832200000,1471400000,25838000000,11981900000,9342500000,3268800000,-1683200000,1.16
2004,18594000000,3537900000,2278500000,27837500000,14201500000,8357300000,3903600000,-1569000000,1.81
2005,19117300000,3984000000,2602200000,29988800000,15146100000,8934300000,4336800000,-1606800000,2.06
2006,20895200000,4433000000,3544200000,28974500000,15458300000,8389900000,4341500000,-1741900000,2.87
