year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,1390900000,332600000,232400000,1623300000,1053500000,20200000,356900000,-60800000,0.25
1995,1742400000,436300000,294000000,1946700000,1335000000,14200000,387200000,-96900000,0.32
1996,2169100000,636000000,428300000,2503300000,1789300000,15300000,500500000,-163800000,0.45
1997,2438200000,913800000,583200000,2409200000,1746200000,14000000,463600000,-190200000,0.51
1998,2604800000,1091700000,594600000,2774700000,2044200000,61200000,590100000,-148200000,0.52
1999,4134100000,1360400000,468400000,4870300000,3654600000,23400000,455300000,-1243800000,0.4
2000,5014600000,1683500000,1098500000,5669400000,4491500000,14900000,1042000000,-342100000,0.91
2001,5551800000,1878400000,1046000000,7038900000,5509500000,13300000,1831500000,-439700000,0.87
2002,6410800000,2149000000,984000000,10904500000,6431100000,9500000,1590200000,-386400000,0.81
2003,7665200000,2653600000,1599800000,12320800000,7906400000,1980300000,2078200000,-380400000,1.31
2004,9087200000,3181400000,1959300000,14110800000,9077000000,1100000,2845800000,-424600000,1.61
2005,10054600000,3444000000,1803900000,16617400000,10449500000,1973000000,2819400000,-452000000,1.49
2006,11292000000,3705000000,2546700000,19664800000,9382500000,5486000000,2207400000,-1244200000,2.11
