year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,15079000000,2251000000,1322000000,13496000000,7194000000,1031000000,1929000000,-1148000000,1.56
1995,13460000000,2221000000,976000000,14183000000,7367000000,1203000000,2260000000,-1088000000,1.16
1996,14236000000,2491000000,1526000000,13364000000,6657000000,851000000,2211000000,-1109000000,1.82
1997,15070000000,2675000000,2121000000,13238000000,6287000000,1015000000,1706000000,-1406000000,2.57
1998,15021000000,2039000000,1175000000,14153000000,6326000000,1614000000,2374000000,-1430000000,1.46
1999,15659000000,2956000000,1763000000,13896000000,6660000000,1480000000,3038000000,-1039000000,2.19
2000,16724000000,3058000000,1782000000,14522000000,6877000000,971000000,2326000000,-1115000000,2.25
2001,16079000000,2273000000,1430000000,14606000000,6613000000,1520000000,3078000000,-980000000,1.81
2002,16332000000,3046000000,1974000000,15329000000,5993000000,2140000000,2992000000,-763000000,2.53
2003,18232000000,3713000000,2403000000,17600000000,7885000000,1735000000,3773000000,-677000000,3.07
2004,20011000000,4578000000,2990000000,20708000000,10378000000,727000000,4282000000,-937000000,3.83
2005,21167000000,4884000000,3146000000,20513000000,10395000000,1309000000,4258000000,-943000000,4.18
2006,22923000000,5157000000,3851000000,21294000000,9959000000,1047000000,3839000000,-1168000000,5.15
