year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,53776000000,9449000000,4725000000,52649000000,12786000000,14975000000,6939000000,-1726000000,1.82
1995,53139000000,10526000000,5450000000,53811000000,13985000000,13107000000,6687000000,-1621000000,2.16
1996,54553000000,11769000000,6303000000,54871000000,14218000000,12961000000,7634000000,-2398000000,2.56
1997,56114000000,13120000000,6310000000,55947000000,14920000000,12430000000,8340000000,-1874000000,2.61
1998,57813000000,13358000000,5372000000,59920000000,16197000000,12615000000,8120000000,-1821000000,2.21
1999,61751000000,13490000000,7675000000,61381000000,15305000000,12226000000,11375000000,-1749000000,3.21
2000,56233000000,14806000000,8510000000,79067000000,15005000000,19154000000,11044000000,-1682000000,3.85
2001,63670000000,15702000000,8560000000,84968000000,23633000000,18651000000,8893000000,-1922000000,3.92
2002,61707000000,16448000000,11102000000,87540000000,23844000000,21355000000,10612000000,-2009000000,5.26
2003,60192000000,15759000000,9204000000,96175000000,29837000000,21163000000,10816000000,-1974000000,4.54
2004,63963000000,15180000000,9416000000,101648000000,35478000000,18683000000,10890000000,-1913000000,4.6
2005,63741000000,11840000000,7937000000,107949000000,39848000000,17868000000,11060000000,-2206000000,5.04
2006,15173000000,4518000000,12022000000,104270000000,43147000000,14498000000,13586000000,-2454000000,5.76
