year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,14969800000,4405100000,2997000000,21856600000,12347800000,1145900000,4139900000,-1009300000,1.19
1995,16681100000,4403600000,3335200000,23831800000,14022000000,1372800000,2944200000,-1005500000,1.35
1996,19828700000,4984700000,3881300000,24293100000,14280700000,1155900000,5427700000,-1196700000,1.6
1997,23636900000,5863700000,4614100000,25735900000,13760700000,1346500000,6316600000,-1448800000,1.92
1998,26898200000,6376000000,5248200000,31853400000,16506800000,3220800000,5328300000,-1973400000,2.21
1999,32714000000,7594200000,5890500000,35634900000,16702100000,3143900000,6130700000,-2560500000,2.51
2000,40363200000,9089100000,6821700000,39910400000,19853400000,3600700000,7687300000,-2727800000,2.96
2001,21199000000,9278100000,7281800000,44021200000,20887600000,4798600000,9079900000,-2724700000,3.18
2002,21445800000,9089300000,7149500000,47561200000,23128800000,4879000000,9528700000,-2369700000,3.17
2003,22485900000,8568800000,6830900000,40587500000,19491600000,5096000000,9862400000,-1915900000,2.97
2004,22972800000,6758200000,5830100000,42572800000,19695100000,4691500000,8799100000,-1726100000,2.63
2005,22011900000,5858800000,4631300000,44845800000,20384900000,5125600000,7608500000,-1402700000,2.11
2006,22636000000,3686600000,4433800000,44569800000,19965800000,5551000000,6765200000,-980200000,2.04
