year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,4649000000,1726000000,1146000000,5363000000,4450000000,0,1593000000,-278000000,0.12
1995,5937000000,2038000000,1453000000,7210000000,5458000000,0,1990000000,-495000000,0.14
1996,8671000000,3078000000,2195000000,10093000000,7033000000,0,3719000000,-494000000,0.24
1997,11936000000,4871000000,3454000000,14387000000,10777000000,0,4689000000,-499000000,0.36
1998,15262000000,6710000000,4490000000,22357000000,16627000000,0,8433000000,-656000000,0.46
1999,19747000000,10043000000,7785000000,38625000000,28438000000,0,13137000000,-583000000,0.77
2000,22956000000,11006000000,9421000000,52150000000,41368000000,0,11426000000,-879000000,0.89
2001,25296000000,11720000000,7346000000,58830000000,47289000000,0,13422000000,-1103000000,0.69
2002,28365000000,11910000000,7829000000,67646000000,52180000000,0,14509000000,-770000000,0.72
2003,32187000000,9545000000,7531000000,81732000000,61020000000,0,15797000000,-891000000,0.7
2004,36835000000,9034000000,8168000000,94368000000,74825000000,0,14626000000,-1109000000,0.76
2005,39788000000,14561000000,12254000000,70815000000,48115000000,0,16605000000,-812000000,1.13
2006,44282000000,16472000000,12599000000,69597000000,40104000000,0,14404000000,-1578000000,1.21
