year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,8281300000,1972500000,1298400000,11098500000,4362700000,604200000,1488500000,-671500000,0.35
1995,10021400000,2560200000,1572900000,12729300000,5553200000,833000000,1821400000,-696300000,0.42
1996,11306000000,3080000000,1929000000,14667000000,7004000000,687000000,2067000000,-774000000,0.52
1997,12504000000,3346000000,2213000000,15336000000,7933000000,725000000,1629000000,-943000000,0.58
1998,13544000000,3603000000,3351000000,18302000000,8810000000,527000000,2929000000,-1198000000,0.89
1999,16204000000,4549000000,3179000000,20574000000,8887000000,1774000000,3056000000,-1561000000,0.81
2000,29574000000,8670000000,3726000000,33510000000,16076000000,1123000000,6195000000,-2191000000,0.6
2001,32259000000,10976000000,7788000000,39153000000,18293000000,2609000000,9263000000,-2203000000,1.25
2002,32373000000,12278000000,9126000000,46356000000,19950000000,3140000000,10183000000,-1758000000,1.48
2003,45188000000,10800000000,3910000000,116775000000,65377000000,5755000000,11739000000,-2641000000,0.54
2004,52516000000,17088000000,11332000000,123684000000,68278000000,7279000000,16340000000,-2601000000,1.51
2005,47405000000,14530000000,7610000000,117565000000,65627000000,6347000000,14733000000,-2106000000,1.03
2006,48371000000,15093000000,11024000000,114837000000,71358000000,5546000000,17594000000,-2050000000,1.52
