year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,30296000000,3580000000,2211000000,25535000000,8832000000,4980000000,3649000000,-1841000000,0.77
1995,33482000000,4244000000,2645000000,28125000000,10589000000,5161000000,3568000000,-2146000000,0.93
1996,35284000000,4815000000,3046000000,27730000000,11722000000,4670000000,4158000000,-2179000000,1.05
1997,35764000000,5488000000,3415000000,27544000000,12046000000,4143000000,5882000000,-2129000000,1.18
1998,37154000000,6055000000,3780000000,30966000000,12236000000,5765000000,4885000000,-2559000000,1.25
1999,38125000000,6253000000,3763000000,32113000000,12058000000,6231000000,5544000000,-2828000000,1.43
2000,39951000000,5954000000,3542000000,34366000000,12287000000,9012000000,4675000000,-3018000000,1.36
2001,39244000000,4736000000,2922000000,34387000000,12010000000,9792000000,5804000000,-2486000000,1.08
2002,40238000000,6678000000,4352000000,40776000000,13706000000,11201000000,7742000000,-1679000000,1.63
2003,43377000000,7853000000,5186000000,43706000000,16186000000,11475000000,8700000000,-1482000000,1.8
2004,51407000000,9382000000,6156000000,57048000000,17278000000,12554000000,9362000000,-2024000000,2.34
2005,56741000000,10469000000,6923000000,61527000000,18475000000,12887000000,8679000000,-2181000000,2.7
2006,68222000000,13249000000,8684000000,135695000000,62908000000,35976000000,11375000000,-2667000000,2.79
