year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,6331200000,1011100000,514600000,5893900000,2627300000,745000000,691100000,-321800000,1.22
1995,7058000000,1301000000,768000000,6194000000,2637400000,707000000,1072000000,-447800000,1.9
1996,7218000000,1295000000,744000000,6441000000,2558800000,806000000,1007900000,-475900000,1.98
1997,7379000000,1316000000,714000000,6868000000,2591000000,1216000000,1007000000,-466000000,1.99
1998,7751000000,1249000000,801000000,7387000000,2967000000,1047000000,942000000,-487000000,2.26
1999,7995000000,1109000000,568000000,8914000000,3204000000,1826000000,902000000,-490000000,1.64
2000,8629000000,1202000000,620000000,9125000000,3225000000,1800000000,870000000,-561000000,1.8
2001,8169000000,924000000,387000000,8452000000,3202000000,1699000000,1060000000,-291000000,1.15
2002,8067000000,911000000,-69000000,7863000000,2281000000,1689000000,872000000,-238000000,-0.2
2003,8756000000,973000000,494000000,8424000000,3048000000,1339000000,1123000000,-217000000,1.46
2004,9513000000,1108000000,683000000,8932000000,3668000000,1184000000,1018000000,-244000000,1.99
2005,9028000000,1184000000,596000000,8681000000,3161000000,1169000000,1065000000,-288000000,1.76
2006,9861000000,1229000000,711000000,10067000000,3382000000,1155000000,1130000000,-372000000,2.15
