year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,6696800000,596800000,536100000,8322100000,4583000000,394200000,943100000,-782800000,0.55
1995,7621700000,760400000,649200000,8910100000,4964000000,613400000,1194300000,-938800000,0.67
1996,8956200000,1011500000,851500000,10325100000,5626400000,637200000,1402100000,-1158000000,0.86
1997,10647600000,1648300000,1295700000,12096700000,7381200000,1069100000,1708000000,-1496000000,1.29
1998,11815600000,1291400000,1014200000,16077900000,8119100000,3285400000,2303100000,-1887400000,0.93
1999,8394900000,306300000,366700000,15081200000,7721028000,3183174000,1520600000,-927300000,0.34
2000,9611462000,813507000,734596000,17172731000,8295216000,3573047000,1709118000,-1323015000,0.73
2001,13988064000,1511082000,522217000,22326367000,9015380000,6215709000,1568172000,-2052635000,0.91
2002,13612730000,-1862313000,-2319995000,19435195000,6159665000,6028549000,2216558000,-1365996000,-2.01
2003,14059097000,1069880000,383002000,20041326000,6279619000,6097418000,2104584000,-1025264000,0.33
2004,11480165000,1586081000,1223870000,16000777000,6533175000,3944180000,1896665000,-1215847000,1.04
2005,14309182000,2761051000,2206967000,18077492000,8096767000,3591338000,3003885000,-1592511000,1.87
2006,19230478000,4896358000,3709851000,22832138000,10419883000,4663942000,4781409000,-2467807000,3.14
