year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,8297000000,2426000000,989000000,27042000000,9785000000,7593000000,2111000000,-1536000000,1.52
1995,9180000000,2691000000,1103000000,30522000000,10335000000,8274000000,2315000000,-1401000000,1.66
1996,10358000000,2601000000,1127000000,30230000000,10571000000,7938000000,2401000000,-1229000000,1.68
1997,12611000000,2665000000,972000000,35255000000,10575000000,10274000000,2625000000,-1859000000,1.42
1998,9499000000,2279000000,977000000,36191000000,10701000000,10472000000,2748000000,-2005000000,1.4
1999,9317000000,2251000000,1276000000,29291000000,9573000000,7251000000,2723000000,-2560000000,1.86
2000,10066000000,2405000000,1313000000,31260000000,11058000000,7843000000,2818000000,-2225000000,2.01
2001,10155000000,2391000000,1262000000,29897000000,8352000000,8297000000,2384000000,-2617000000,1.83
2002,10514000000,2582000000,1318000000,33721000000,9008000000,8714000000,2831000000,-2717000000,1.86
2003,11186000000,2805000000,1474000000,35178000000,10071000000,10164000000,3066000000,-2002000000,2.03
2004,11729000000,2821000000,1532000000,36955000000,10839000000,12449000000,2692000000,-2110000000,2.07
2005,13554000000,2962000000,1591000000,39877000000,11285000000,12846000000,2530000000,-2370000000,2.14
2006,14356000000,3224000000,1573000000,42858000000,12115000000,12503000000,2820000000,-2994000000,2.12
