year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,8608000000,926000000,691000000,6989000000,3039000000,808000000,1532000000,-1076000000,0.45
1995,11409000000,1594000000,1088000000,9215000000,4095000000,804000000,1667000000,-1439000000,0.7
1996,9940000000,-26000000,63000000,9360000000,4097000000,1697000000,884000000,-2063000000,0.05
1997,9972000000,615000000,1842000000,10849000000,5914000000,1286000000,1916000000,-1238000000,1.17
1998,8875000000,399000000,452000000,11250000000,6527000000,1027000000,1251000000,-1031000000,0.26
1999,9759000000,1696000000,1451000000,15028000000,9255000000,1097000000,2029000000,-1373000000,0.86
2000,11875000000,2339000000,3058000000,17720000000,12588000000,1216000000,2185000000,-2762000000,1.78
2001,8201000000,-582000000,-201000000,15779000000,11879000000,1211000000,1819000000,-1790000000,-0.12
2002,8383000000,288000000,-344000000,14679000000,10734000000,833000000,1992000000,-802000000,-0.2
2003,9834000000,965000000,1198000000,15510000000,11864000000,395000000,2151000000,-800000000,0.62
2004,12580000000,2207000000,1861000000,16299000000,13063000000,368000000,3146000000,-1298000000,1.08
2005,13392000000,2791000000,2324000000,15063000000,11937000000,329000000,3772000000,-1330000000,1.42
2006,14255000000,3367000000,4341000000,13930000000,11360000000,0,2460000000,-1272000000,2.84
