year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,7798000000,1007000000,546000000,15942000000,5131000000,4090000000,1909000000,-1597000000,0.66
1995,7486000000,1341000000,946000000,19446000000,6580000000,6232000000,1454000000,-1058000000,1.16
1996,8786000000,1533000000,904000000,27914000000,8225000000,7900000000,1657000000,-1360000000,1.04
1997,11079000000,1253000000,432000000,28764000000,8225000000,8285000000,1600000000,-2101000000,0.44
1998,10553000000,-171000000,-633000000,29374000000,8893000000,8511000000,565000000,-2111000000,-0.64
1999,11273000000,1804000000,810000000,29888000000,8001000000,8426000000,1869000000,-1834000000,0.82
2000,11878000000,1903000000,842000000,30499000000,8662000000,8144000000,1958000000,-1783000000,0.85
2001,11973000000,2072000000,966000000,31551000000,9575000000,7886000000,1992000000,-1572000000,0.97
2002,12491000000,2324000000,1341000000,32764000000,10651000000,7428000000,2250000000,-1887000000,1.33
2003,11551000000,2133000000,1585000000,33460000000,12354000000,7822000000,2422000000,-1752000000,1.56
2004,12215000000,1295000000,604000000,34589000000,12655000000,0,2237000000,-1876000000,0.58
2005,13578000000,1795000000,1026000000,35620000000,13707000000,6760000000,2595000000,-2169000000,0.97
2006,15578000000,2884000000,1606000000,36515000000,15312000000,6000000000,2880000000,-2778000000,1.49
