year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,686700000,178400000,116600000,9390800000,718200000,166500000,205800000,-30500000,0.35
1995,848500000,205000000,136600000,9573300000,820200000,161200000,114500000,-20000000,0.41
1996,2897100000,624100000,415400000,10093800000,855100000,247400000,840300000,-83500000,1.25
1997,5613900000,1159100000,760700000,32860400000,2749900000,1744800000,1066000000,-623300000,1.13
1998,7664000000,2093900000,1327400000,74276000000,6603700000,5457200000,1372500000,-155800000,2.04
1999,8435400000,2361500000,1506500000,81530000000,7638000000,17513000000,2686300000,-134000000,2.07
2000,16955700000,4387800000,2875600000,164921000000,15168000000,23276000000,4724100000,-382800000,1.51
2001,15615800000,2342300000,1478800000,171390000000,16461000000,25716000000,2181900000,-299200000,0.89
2002,14704600000,4935500000,3168100000,180027000000,18101000000,28588000000,3786300000,-429800000,1.65
2003,14571000000,5651400000,3732600000,189471000000,19242000000,33816000000,8682200000,-670100000,1.94
2004,14705000000,6176000000,4167000000,195104000000,19539000000,34739000000,5224800000,-192000000,2.21
2005,16596000000,6571000000,4489000000,209465000000,20086000000,36744000000,3477000000,0,2.45
2006,19215000000,6863000000,4751000000,219232000000,21197000000,37419000000,5391000000,0,2.64
