year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,21197000000,1351000000,585000000,15004000000,0,1885000000,1357000000,-759000000,0.55
1995,22802000000,1588000000,750000000,15156000000,0,1649000000,2044000000,-780000000,0.71
1996,23512000000,1781000000,906000000,15929000000,0,1437000000,2095000000,-794000000,0.87
1997,24713000000,1959000000,1072000000,16440000000,4523000000,1275000000,2131000000,-843000000,1.06
1998,25715000000,2167000000,1255000000,17768000000,4834000000,1570000000,2509000000,-866000000,1.27
1999,24127000000,1517000000,1531000000,24366000000,7566000000,3086000000,4469000000,-762000000,1.51
2000,26583000000,3140000000,1808000000,25364000000,8094000000,3476000000,2503000000,-937000000,1.78
2001,27897000000,3233000000,1938000000,27010000000,8798000000,4237000000,2885000000,-793000000,1.92
2002,28212000000,3657000000,2236000000,28319000000,0,4632000000,2853000000,-586000000,2.21
2003,31034000000,3845000000,2361000000,33617000000,0,4257000000,2875000000,-530000000,2.35
2004,37445000000,4470000000,2788000000,38945000000,0,4231000000,3699000000,-795000000,2.76
2005,42725000000,5182000000,3069000000,44773000000,0,5935000000,4334000000,-929000000,3.02
2006,47829000000,6098000000,3732000000,46068000000,0,7037000000,4803000000,-954000000,3.71
