year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,6032000000,1180600000,800400000,59315900000,3846400000,9186300000,2907800000,-266000000,0.61
1995,7565500000,1422800000,956000000,72134400000,5312100000,13676800000,-3542000000,-208000000,0.7
1996,17610000000,3767000000,2228000000,80175400000,6064200000,13082200000,4145000000,-288700000,0.69
1997,19277000000,4193000000,2499000000,185685000000,19778000000,18634000000,2479000000,-67000000,0.75
1998,20482000000,3293000000,1950000000,202475000000,20759000000,20494000000,-4197000000,-286000000,0.59
1999,23909000000,6350000000,4012000000,241053000000,23871000000,27801000000,16275000000,-95000000,1.16
2000,27568000000,6549000000,4026000000,272426000000,26488000000,32981000000,7370000000,0,1.18
2001,27722000000,5460000000,3411000000,307569000000,27214000000,38530000000,-10112000000,0,1
2002,29226000000,8854000000,5434000000,349197000000,30319000000,50205000000,-15458000000,0,1.6
2003,31800000000,9477000000,6202000000,387798000000,34469000000,63642000000,31195000000,0,1.85
2004,33482000000,10769000000,7014000000,427849000000,37866000000,73580000000,6485000000,0,2.07
2005,39896000000,11548000000,7671000000,481741000000,40660000000,79668000000,-11985000000,0,2.27
2006,47241000000,12650000000,8420000000,481996000000,45814000000,87145000000,27976000000,0,2.5
