year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,67344600000,3567500000,2333300000,26441000000,10753000000,6156000000,2195500000,-4474200000,0.17
1995,83412000000,4050000000,2681000000,32819000000,12726000000,7871000000,2906000000,-3734000000,0.2
1996,94749000000,4112000000,2740000000,37541000000,14756000000,8508000000,2383000000,-3566000000,0.2
1997,106146000000,4408000000,3056000000,39604000000,17143000000,7709000000,5930000000,-2643000000,0.22
1998,119299000000,5162000000,3526000000,45384000000,18503000000,7191000000,7123000000,-2636000000,0.26
1999,139208000000,6546000000,4430000000,49996000000,21112000000,6908000000,7580000000,-3734000000,0.33
2000,166809000000,8309000000,5575000000,70349000000,25834000000,13672000000,8194000000,-6183000000,0.4
2001,193295000000,11311000000,6295000000,78130000000,31343000000,12501000000,9604000000,-8042000000,0.47
2002,205823000000,11579000000,6592000000,83527000000,35102000000,15687000000,10260000000,-8383000000,0.49
2003,246525000000,13295000000,7955000000,94808000000,39461000000,16597000000,13005000000,-9355000000,0.6
2004,258681000000,15025000000,9054000000,105405000000,43623000000,17102000000,15996000000,-10308000000,0.69
2005,284310000000,17300000000,10267000000,120154000000,49396000000,20087000000,15044000000,-12893000000,0.8
2006,312101000000,18713000000,11231000000,138187000000,53171000000,26429000000,17633000000,-14563000000,0.89
