year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,99683000000,7034000000,5100000000,87862000000,39583000000,8831000000,9851000000,-6643000000,1.02
1995,107893000000,9198000000,6470000000,91296000000,42606000000,7778000000,13847000000,-7128000000,1.3
1996,116728000000,10058000000,7510000000,95527000000,45456000000,7236000000,13162000000,-7209000000,1.51
1997,176552000000,16715000000,11732000000,96064000000,46031000000,7050000000,14676000000,-7393000000,1.71
1998,165627000000,8901000000,8074000000,92630000000,45557000000,8532000000,11056000000,-8359000000,1.31
1999,182529000000,9617000000,7910000000,144521000000,67154000000,8402000000,15013000000,-10849000000,1.14
2000,231846000000,51644000000,17720000000,149000000000,73987000000,7280000000,22937000000,-8446000000,2.55
2001,212785000000,47487000000,15320000000,143174000000,75986000000,7099000000,22889000000,-9989000000,2.23
2002,204506000000,40567000000,11460000000,152644000000,77365000000,6655000000,21268000000,-11437000000,1.69
2003,246738000000,56722000000,21510000000,174278000000,93297000000,4756000000,28498000000,-12859000000,3.24
2004,298035000000,42655000000,25330000000,195256000000,105708000000,5013000000,40551000000,-11986000000,3.91
2005,370680000000,60727000000,36130000000,208335000000,114713000000,6220000000,48138000000,-13839000000,5.76
2006,377635000000,99488000000,39500000000,219015000000,113844000000,6425000000,49286000000,-15462000000,6.68
