date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1998-06-29,AIT,1412290595,1694748714,1129832476,0.69,0.84,0.54,64436175,29057940,306900391,7,7
1999-06-29,AIT,1564941667,1877929999,1251953333,0.54,0.66,0.42,60545454,22854545,350784091,18,18
2000-06-29,AIT,1505475000,1806570000,1204380000,0.52,0.63,0.41,65163636,25763636,323672727,7,7
2001-06-29,AIT,1472705818,1767246982,1178164654,0.58,0.7,0.46,67893543,29223564,311907581,19,19
2002-06-29,AIT,1462920000,1755504000,1170336000,0.43,0.51,0.35,51914692,20262154,324919538,17,17
2003-06-29,AIT,1300388888,1560466666,1040311109,0.26,0.3,0.22,33784500,12682125,295364125,15,15
2004-06-29,AIT,1324957727,1589949272,1059966181,0.39,0.47,0.31,45291504,19986413,309355854,15,15
2005-06-29,AIT,1576924338,1892309206,1261539470,0.91,1.08,0.74,80966189,43317085,345579442,8,8
2006-06-29,AIT,1729570191,2075484228,1383656152,1.23,1.47,0.99,113484303,61940368,368006168,9,9
2007-06-29,AIT,1871547311,2245856773,1497237849,1.6,1.91,1.29,127687366,75907424,390873971,8,8
2008-06-29,AIT,1884687596,2261625115,1507750076,1.73,2.08,1.38,144026402,83826627,371654604,9,9
2009-06-29,AIT,2084694635,2501633562,1667755707,2,2.4,1.6,153943804,86086059,420120692,12,12
2010-06-29,AIT,1592658942,1911190731,1274127153,0.86,1.03,0.69,67086022,26845441,340370989,14,14
2011-06-29,AIT,1775683428,2130820113,1420546742,1.3,1.56,1.04,138020751,72368212,356848653,16,16
2012-06-29,AIT,2075006849,2490008218,1660005479,1.96,2.35,1.57,161199120,90026782,425848468,8,8
2013-06-29,AIT,2366488886,2839786664,1893191108,2.64,3.16,2.12,197022839,114765411,477909825,10,10
2014-06-29,AIT,2488566721,2986280065,1990853377,2.77,3.31,2.23,201763285,115702216,524712261,19,19
2015-06-29,AIT,2756624286,2777880244,2735074469,2.83111,2.85949,2.80234,214780241,121710817,578194539,9,8
2016-06-29,AIT,2527935000,2547427565,2508172953,2.488,2.51294,2.46272,212531793,110144445,590169104,14,15
2017-06-29,AIT,2592450000,2612440032,2572183610,2.82667,2.855,2.79794,114133653,27940214,524443951,9,8
2018-06-29,AIT,3058000000,3081579825,3034094188,3.574,3.60983,3.53768,199911466,133582797,513283852,9,8
2019-06-29,AIT,3511075000,3538148425,3483627290,4.416,4.46027,4.37112,264347044,155802882,705135241,13,14
2020-06-29,AIT,3260039000,3285176721,3234553755,3.69167,3.72868,3.65415,253138784,129675318,729966921,1,1
2021-06-29,AIT,3179694503,3204212698,3154837349,4.40576,4.44992,4.36099,41828139,-39668156,524219732,2,1
2022-06-29,AIT,3726634667,3755370244,3697501826,6.22,6.28235,6.15679,269822986,165958936,529115848,1,1
2023-06-29,AIT,4371704000,4408640500,4334767500,8.56333,8.64917,8.4763,323079088,363685000,617230137,1,1
2024-06-30,AIT,4504278400,4533499718,4494291086,9.612,9.63198,9.59202,809725146,373099401,876630242,3,2
2025-06-30,AIT,4526868268,4556236136,4496631585,9.95,9.97004,9.92996,813786081,386219209.5,881026720,5,6
2026-06-30,AIT,4866193520,4886177887,4846209152,10.65996,10.76005,10.58989,874785905,414359645.5,947066772,6,6
2027-06-30,AIT,5124430970,5174572173,5084318007,11.62371,11.81377,11.42365,921208736,450991858.5,997325379,6,6
2028-06-30,AIT,5322257750,5334128875,5310386625,12.62035,12.72679,12.51077,956771662,489810576.5,1035826760,1,1
