date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,ALL,21443161671,25731794005,17154529336,2.22,2.67,1.77,3989215339,2749483870,-53969401,16,16
1998-12-30,ALL,23671223848,28405468616,18936979078,2.83,3.39,2.27,4566475269,3130775454,-59577118,16,16
1999-12-30,ALL,27100514056,32520616868,21680411244,2.77,3.33,2.21,4233598441,2739511380,-68208156,8,8
2000-12-30,ALL,23173375233,27808050279,18538700186,2.52,3.03,2.01,3068240719,2124329608,-58324104,15,15
2001-12-30,ALL,26770549373,32124659246,21416439498,2.25,2.7,1.8,1395162054,1184520420,-67377682,15,15
2002-12-30,ALL,22627657937,27153189525,18102126349,2.26,2.71,1.81,1506023114,1265090038,-56950611,9,9
2003-12-30,ALL,27296441226,32755729471,21837152980,3.13,3.75,2.51,3450149649,2443472668,-68701277,14,14
2004-12-30,ALL,27983121852,33579746223,22386497481,3.67,4.42,2.92,4224405166,2856772485,-70429555,16,16
2005-12-30,ALL,22485939791,26983127750,17988751832,3.175,4.22,2.13,468753863,707107256,-56593926,8,8
2006-12-30,ALL,26473478341,31768174010,21178782672,6.11,7.33,4.89,6437582938,4376775911,-66629996,14,14
2007-12-30,ALL,30161410169,36193692203,24129128134,6.87,8.24,5.5,6888145095,4748981332,-75911998,17,17
2008-12-30,ALL,40221802296,48266162755,32177441836,6.525,7.84,5.21,-5497602366,-3104122283,-101232581,17,17
2009-12-30,ALL,38370047136,46044056564,30696037708,5.105,6.13,4.08,1651350335,869744378,-96571975,13,13
2010-12-30,ALL,34673708934,41608450721,27738967147,3.725,4.47,2.98,1803560203,1059582313,954734694,8,8
2011-12-30,ALL,22111405951,26533687142,17689124760,-0.91,-0.33,-1.49,472708414,110629962,2896840346,7,7
2012-12-30,ALL,17929894466,21515873360,14343915572,1.315,1.82,0.81,11406932596,6231068925,15683291108,7,7
2013-12-30,ALL,26542413997,31850896796,21233931197,4.36,5.23,3.49,3555584004,1963448846,3787760296,9,9
2014-12-30,ALL,27605177193,33126212631,22084141753,4.435,5.32,3.55,4305760399,2495440725,3778081928,20,20
2015-12-30,ALL,30917171429,31583904542,30502658560,4.97134,5.11071,4.88469,3827174505,2092664764,4105454986,11,10
2016-12-30,ALL,32185388889,32879471288,31753872768,4.37312,4.49572,4.2969,2789411237,1517985782,3442889528,10,11
2017-12-30,ALL,32592200000,33295055338,32155229679,6.1319,6.30381,6.02502,3085069753,2044871209,3003899648,11,10
2018-12-30,ALL,33541330000,34264653458,33091634498,7.96386,8.18712,7.82505,3281600006,2079702058,5294286885,11,10
2019-12-30,ALL,35553598990,36320317310,35076924584,10.50077,10.79516,10.31775,6553604122,4521402235,43658504,1,11
2020-12-30,ALL,36679618594,37470619684,36187847412,12.70796,13.06422,12.48647,4906910508,3385530957,101618551,2,6
2021-12-30,ALL,40979720083,41863453461,40430296557,13.46933,13.84694,13.23457,4068223666,2111419482,-427382265,1,6
2022-12-30,ALL,45465293566,46445758962,44855731035,-1.04189,-1.02373,-1.0711,3474864802,1171979845,-202644445,1,9
2023-12-31,ALL,60302000000,61430013675,59488556932,11.06715,11.33628,10.87307,5777522607,2909000000,-142462692,2,12
2024-12-31,ALL,55151139048,55442671810,54859606285,16.81681,17.39191,15.6666,5284019645,4375293814.5,-130293850,3,14
2025-12-31,ALL,58980205168,60055858165,58257366353,30.46004,32.37647,25.89712,5650881707,7712509665,-139339969,5,11
2026-12-31,ALL,62224184867,62915849334,61737458019,25.87179,32.12837,22.86784,5961686756,6674105150,-147003828,5,13
2027-12-31,ALL,65639548136,65998654690,65425794234,25.5841,31.75889,23.71593,6288912030,6325728030,-155072580,5,12
2028-12-31,ALL,68364314400,69643142325,67442114844,25.2629,26.13765,24.38815,6549971343,6687089655,-161509805,3,2
