date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,AXP,17134427396,20561312876,13707541916,1.33,1.6,1.06,3777257515,1947087301,9265597898,17,17
1998-12-30,AXP,18629453667,22355344400,14903562933,1.56,1.87,1.25,3664050812,2115124660,9507047425,19,19
1999-12-30,AXP,20745790698,24894948837,16596632558,1.77,2.12,1.42,4449780488,2446951219,11013414634,8,8
2000-12-30,AXP,23199349536,27839219443,18559479628,2.04,2.44,1.64,5621264713,2795480288,12031580204,13,13
2002-12-30,AXP,22554001277,27064801533,18043201020,1.89,2.27,1.51,5585352274,2587360975,11474887440,15,15
2003-12-30,AXP,24642264766,29570717718,19713811812,2.21,2.65,1.77,5687613716,2920747399,13937401728,10,10
2004-12-30,AXP,27602853433,33123424120,22082282746,2.62,3.15,2.09,6356008644,3367899566,13235585817,9,9
2005-12-30,AXP,26634267964,31961121556,21307414371,2.75,3.3,2.2,6337596230,3667264283,14232178195,16,16
2006-12-30,AXP,25289311633,30347173959,20231449306,2.88,3.46,2.3,8666391932,3617819375,9777936874,12,12
2007-12-30,AXP,30254628786,36305554543,24203703028,3.07,3.68,2.46,9791750615,3818953898,12651311353,13,13
2008-12-30,AXP,34372910552,41247492663,27498328441,2.55,3.07,2.03,7669750181,2678423683,14266525482,17,17
2009-12-30,AXP,33037283976,39644740771,26429827180,1.255,1.51,1,5665574088,1891401010,10943851415,8,8
2010-12-30,AXP,28408286974,34089944369,22726629579,3.07,3.68,2.46,8743988631,3820301189,13260322431,10,10
2011-12-30,AXP,30554246710,36665096053,24443397367,3.64,4.37,2.91,9645522284,4650278907,15253939099,7,7
2012-12-30,AXP,32802841933,39363410320,26242273546,4.14,4.98,3.3,9338296972,4320373578,16073733761,14,14
2013-12-30,AXP,32745983884,39295180661,26196787107,4.72,5.66,3.78,10635854945,5243923105,16113753072,13,13
2014-12-30,AXP,35398327017,42477992420,28318661613,5.53,6.64,4.42,11913018272,5987378895,17522912373,13,13
2015-12-30,AXP,32801091667,33249941904,32196958772,5.27942,5.37334,5.15301,10075915488,4908318045,7682647368,9,8
2016-12-30,AXP,32032648000,32470982851,31442668357,5.74191,5.84405,5.60443,10007089387,4960770537,8309939024,11,12
2017-12-30,AXP,33321711538,33777685938,32707989829,5.91125,6.01641,5.76971,10560221502,2662865542,8250639712,6,5
2018-12-30,AXP,40438225000,40991581792,39693430828,7.38488,7.51625,7.20806,11954314027,6724040540,11371217591,6,5
2019-12-30,AXP,43568978130,44165176157,42766521518,7.95768,8.09924,7.76715,12883831406,6657452678,12831471279,8,11
2020-12-30,AXP,36108973100,36603088396,35443915404,3.33755,3.39692,3.25764,12810917697,3702658279,21712650360,11,10
2021-12-30,AXP,41818087784,42390326623,41047879198,9.67757,9.84973,9.44586,9755568036,5740587467,11114584117,9,10
2022-12-30,AXP,52935858976,53660233429,51960882471,9.99517,10.17298,9.75585,11496640481,6716244725,12711804944,12,11
2023-12-31,AXP,58107000000,58820323938,56418553216,13.41258,13.62663,12.90592,12211156260,9233327412.5,12397684262,15,12
2024-12-31,AXP,65940422080,66030409009,65850435150,14.02716,14.6029,13.8492,13857345894,10017000000,14069019792,16,14
2025-12-31,AXP,72165335586,72295525616,71904955524,15.41703,15.58711,15.26696,15165508276,10701000000,15397164632,16,19
2026-12-31,AXP,79091307717,79493143397,78659334360,17.59104,18.06268,17.3201,16620997769,12313207457.5,16874887035,16,19
2027-12-31,AXP,86106242239,86904457814,84802826931,20.13075,20.70362,19.56793,18095182662,14014499419.5,18371590416,16,19
2028-12-31,AXP,93205240541,93296888181,93113592900,23.06856,24.01976,21.34389,19587033516,14910648470,19886229608,9,7
2029-12-31,AXP,75565123056,76492763636,73369386071,24.87,25.2669,23.93054,15879971870,17309520024,16122541809,4,2
2030-12-31,AXP,76422693230,77360861377,74202037360,26.95,27.38009,25.93197,16060189802,18757200026,16305512608,4,5
