date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,CAT,17114771157,20537725388,13691816925,1.79,2.15,1.43,2848851228,1484285023,1989988333,18,18
1998-12-30,CAT,21350484411,25620581293,17080387528,2.12,2.55,1.69,3082549149,1531437184,2600360351,15,15
1999-12-30,CAT,18024389907,21629267888,14419511925,1.13,1.36,0.9,2103139881,852742262,2247504761,10,10
2000-12-30,CAT,17789905810,21347886972,14231924647,1.17,1.4,0.94,2179058611,912279870,2251840100,17,17
2001-12-30,CAT,20256078204,24307293845,16204862563,1.27,1.52,1.02,2301954285,787121474,2537563502,13,13
2002-12-30,CAT,19356538309,23227845971,15485230646,1.04,1.25,0.83,2166059523,724361577,2401164798,8,8
2003-12-30,CAT,20110798369,24132958043,16088638695,1.13,1.36,0.9,2273356052,875445516,2082792774,12,12
2004-12-30,CAT,30291591708,36349910050,24233273366,2.76,3.31,2.21,4098975906,2001489022,3045316385,11,11
2005-12-30,CAT,34649351625,41579221950,27719481300,3.66,4.4,2.92,5123781733,2680309427,2654526295,17,17
2006-12-30,CAT,41749356857,50099228228,33399485485,5.14,6.16,4.12,6439635315,3476124428,3669151085,9,9
2007-12-30,CAT,46352669322,55623203185,37082135457,5.65,6.78,4.52,6930333585,3593727459,3409551731,19,19
2008-12-30,CAT,51481384831,61777661798,41185107864,5.48,6.58,4.38,6234223742,3450092373,3939431763,7,7
2009-12-30,CAT,9460902997,11353083596,7568722397,1.185,1.43,0.94,1999388061,2978896103,963903912,11,11
2010-12-30,CAT,38873661385,46648393662,31098929108,3.16,3.78,2.54,6463079798,2354576356,3833705676,20,20
2011-12-30,CAT,52613866050,63136639260,42091092840,5.35,6.42,4.28,8493648308,3985184102,4331751728,19,19
2012-12-30,CAT,64719531006,77663437208,51775624804,8.01,9.61,6.41,10811791336,5372795534,5785044977,10,10
2013-12-30,CAT,58293883047,69952659656,46635106437,6.29,7.55,5.03,8844465087,3871344472,5680079800,14,14
2014-12-30,CAT,49992049497,59990459396,39993639597,4.97,5.96,3.98,7424978239,3136628370,4964389155,18,18
2015-12-30,CAT,47384070588,50009702115,45505667801,4.57901,4.90886,4.34303,5480826420,1702747083,4656392678,15,14
2016-12-30,CAT,38834105556,40985969053,37294641107,3.25615,3.49071,3.08835,3429516668,130614181,4050468549,8,9
2017-12-30,CAT,44508450000,46974738524,42744042774,6.4535,6.91838,6.12092,5296104085,312769669,3757146321,17,16
2018-12-30,CAT,54744938889,57778448583,52574736023,11.63386,12.47191,11.03431,10115852006,5605728954,5148787554,9,8
2019-12-30,CAT,53893281385,56879599296,51756839988,10.90243,11.68779,10.34058,11001782533,6182965788,5202810831,10,9
2020-12-30,CAT,41739060664,44051892639,40084437772,5.44327,5.83538,5.16275,5421836509,2419595925,3432659404,7,10
2021-12-30,CAT,49850381857,52612675864,47874209378,10.39452,11.14329,9.85884,8522995402,5003061115,4158727656,7,8
2022-12-30,CAT,57907765889,61116533179,55612182004,13.94829,14.95306,13.22947,10057308035,6078909433,4977951149,8,13
2023-12-31,CAT,66368000000,71053675809,64368193847,22.06696,24.09231,21.20256,16591971271,11007000000,6657620887,11,8
2024-12-31,CAT,65314862638,65495069187,65104621663,21.77629,22.01702,21.21458,16328687386,10137810221.5,6551976762,12,18
2025-12-31,CAT,66367034662,66646811381,66247130353,18.66762,19.38869,18.26703,16591729937,8884000000,6657524050,13,17
2026-12-31,CAT,73839138958,77417158956,72449907729,22.93499,25.57862,21.44164,18459752776,10657371350,7407078619,15,19
2027-12-31,CAT,80525774422,87670723215,78404305032,27.75527,32.27939,24.44225,20131408748,12514403240,8077839889,15,18
2028-12-31,CAT,87634352424,88351925396,86916779452,32.97428,38.551,27.94035,21908550171,15045996000,8790927783,10,7
2029-12-31,CAT,89713723766,96047641093,87010462303,38.38015,41.90275,36.87673,22428392107,18000290388,8999517255,5,2
