date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1999-12-30,C,51322833052,61587399662,41058266441,17.63,21.15,14.11,39115148283,8858071808,20801116640,8,8
2000-12-30,C,75386306461,90463567753,60309045168,22.62,27.14,18.1,56434639652,12007108618,26046037259,19,19
2001-12-30,C,69593820945,83512585134,55675056756,27.78,33.35,22.21,57702281468,14017694512,30989380321,19,19
2002-12-30,C,80561061403,96673273684,64448849122,28.42,34.11,22.73,47676580320,15936801858,29147956322,7,7
2003-12-30,C,74838496952,89806196342,59870797560,32.1,38.51,25.69,43936347364,17255912241,24344357354,12,12
2004-12-30,C,78411546418,94093855702,62729237134,38.02,45.63,30.41,45396173069,16593527792,26679174859,13,13
2005-12-30,C,84171098633,101005318360,67336878905,41.04,49.25,32.83,74318859133,25029655650,29212888059,7,7
2006-12-30,C,85863321867,103035986240,68690657493,39.78,47.73,31.83,18186967649,20800390894,32636221466,20,20
2007-12-30,C,77309071044,92770885253,61847256834,17.19,24.29,10.09,16375066134,4499860693,36889977710,10,10
2008-12-30,C,55728115865,66873739038,44582492691,-34.33,-27.47,-41.19,14220575820,-23744974873,36561605200,11,11
2009-12-30,C,100881139853,121057367824,80704911882,-23.82,-19.06,-28.58,52977116842,7532499357,48272244619,18,18
2010-12-30,C,67213767293,80656520752,53771013834,0.335,0.96,-0.29,14236749578,212167665743,16859517576,14,14
2011-12-30,C,70533990012,84640788015,56427192009,2.695,3.24,2.15,33651765928,8794635884,25853991597,13,13
2012-12-30,C,67552023542,81062428251,54041618833,3.76,4.52,3,27941585368,7142102639,28179377948,10,10
2013-12-30,C,76009344570,91211213484,60807475655,4.28,5.14,3.42,37185741159,13394629080,27936433602,13,13
2014-12-30,C,80191570313,96229884376,64153256250,3.05,3.66,2.44,28988981044,6767466132,28094584334,15,15
2015-12-30,C,75761181818,76831776404,73375463394,5.41583,5.51532,5.19412,36138784142,15948984426,23410298083,7,6
2016-12-30,C,70206354167,71198452506,67995557179,4.67108,4.75689,4.47986,33849791996,13836600438,22167620920,6,7
2017-12-30,C,71320490909,72328333311,69074609772,4.93253,5.02314,4.73061,38427029376,-6269046289,22348485341,11,10
2018-12-30,C,73335995455,74372319306,71026646112,6.59555,6.71671,6.32555,48359468248,17366304786,23074773561,7,6
2019-12-30,C,73744558848,74786656180,71422343850,7.68472,7.82589,7.37013,51352634615,17705448238,21781298621,4,4
2020-12-30,C,74507989250,75560874751,72161733840,4.27371,4.35222,4.09876,21689829161,7192722618,17168693417,6,2
2021-12-30,C,70926928816,71929209722,68693440943,10.12168,10.30762,9.70733,27258723874,14732617416,19501116429,7,4
2022-12-30,C,75151298828,76213275050,72784785610,6.98658,7.11493,6.70057,27107370725,13250558424,22928222709,7,3
2023-12-31,C,69751000000,71063082160,68459639492,3.63399,3.72286,3.54653,13929672995,6769982910,17066939697,9,6
2024-12-31,C,81007297522,81357113118,80617502999,5.84033,6.00918,5.72114,16177619887,10924447021.5,19821173342,11,8
2025-12-31,C,86414094456,86844313983,85603680926,7.57696,7.88004,7.05879,17257388109,13912532386,21144128959,11,10
2026-12-31,C,90937567267,92010015156,89825027868,10.31373,10.84056,9.53361,18160751459,17900738890,22250949473,14,15
2027-12-31,C,94385165248,96345480219,92214816529,12.12866,13.01294,11.33482,18849256463,22675068900,23094520846,14,14
2028-12-31,C,97965872846,97992594288,97939151404,14.3122,15.62322,12.09486,19564344217,25813847917.5,23970661986,6,7
2029-12-31,C,100771500000,102667107050,98905830182,15.55,15.93026,15.17574,20124643980,28963430015,24657153498,5,2
2030-12-31,C,104527000000,106493251551,102591801367,17.6,18.03039,17.1764,20874638775,32781760017,25576063507,3,5
