date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,F,130564995592,156677994710,104451996473,3.95,4.74,3.16,19733254736,5695266959,5816138893,20,20
1998-12-30,F,142751535054,171301842065,114201228042,5.1,6.12,4.08,40350957438,23418562363,7492438692,7,7
1999-12-30,F,155722404939,186866885927,124577923950,5.47,6.57,4.37,25326918704,7002392203,9179783647,8,8
2000-12-30,F,164458208780,197349850536,131566567023,4.49,5.4,3.58,20415369947,3296926053,9331251905,16,16
2001-12-30,F,162758014284,195309617141,130206411427,-0.7,-0.38,-1.02,-8193820186,-5858428883,13317699678,19,19
2002-12-30,F,188848586020,226618303224,151078868815,0.075,0.18,-0.03,-860619486,-1104282050,26233447690,12,12
2003-12-30,F,219080963477,262897156171,175264770781,0.24,0.42,0.06,2790731763,283800071,26023006309,20,20
2004-12-30,F,150033214629,180039857554,120026571703,1.025,1.23,0.82,2817562223,2313596295,20181026666,15,15
2005-12-30,F,1116972241934,1340366690321,893577793547,0.5,0.64,0.36,-4402843590,4102087179,144671917948,13,13
2006-12-30,F,283502717032,340203260438,226802173625,-1.02,-0.62,-1.42,-14831213366,-12034559588,23619639373,18,18
2007-12-30,F,2337404610255,2804885532306,1869923688204,-2.75,-2.2,-3.3,4801730399,-2208433563,34303509767,12,12
2008-12-30,F,115555743807,138666892568,92444595045,-2.44,-1.95,-2.93,-6209263959,-10955302424,26500218645,10,10
2009-12-30,F,145621541344,174745849612,116497233075,-2.62,-2.01,-3.23,18183733565,5672239340,23907040700,9,9
2010-12-30,F,122860078294,147432093953,98288062635,1.375,1.65,1.1,10078186168,4385707865,9923292959,15,15
2011-12-30,F,133505416467,160206499761,106804333173,1.65,1.98,1.32,12209292423,22048972120,11164744545,18,18
2012-12-30,F,113058563604,135670276325,90446850883,0.96,1.15,0.77,6929084761,4503984760,9851799046,14,14
2013-12-30,F,127496375661,152995650793,101997100528,1.18,1.42,0.94,6597407538,6154320309,11128187765,11,11
2014-12-30,F,137532293846,165038752615,110025835076,1.03,1.23,0.83,4826847508,3006233235,12972885180,19,19
2015-12-30,F,138724923077,149353289835,129706329759,1.73422,1.90695,1.58765,10054365423,6686978202,14028402599,9,8
2016-12-30,F,141161692308,151976751382,131984683111,1.7701,1.9464,1.6205,12758975268,3667675268,11824552956,8,9
2017-12-30,F,143992769231,155024730381,134631709967,1.79165,1.9701,1.64023,15402513599,6501411767,9713930956,14,13
2018-12-30,F,157914272727,170012825530,147648167883,1.31872,1.45006,1.20727,17904511555,3687222602,11711773041,9,8
2019-12-30,F,156085671110,168044126170,145938444792,1.22941,1.35186,1.12551,9337142375,-1082957763,9538061243,6,8
2020-12-30,F,128183821071,138004584583,119850511335,0.002509,0.00275889,0.00229695,20623656987,-13568664063,29061416863,7,10
2021-12-30,F,137606277167,148148939217,128660407714,1.85505,2.03981,1.69827,48654641548,25588187946,20841517247,7,5
2022-12-30,F,155574286365,167493561842,145460305486,1.95781,2.15281,1.79235,27049117204,16484948572,11713518092,6,6
2023-12-31,F,180348000000,191786641320,165060651735,0.96116,1.04041,0.85524,14678978154,3836000000,11929321505,7,12
2024-12-31,F,182793075733,188211592308,180817904973,1.80126,1.91257,1.59887,14877989029,6986009881,12091053792,8,14
2025-12-31,F,182205598895,193124050093,175052856298,1.13922,1.19971,1.04849,14830172809,4472793901,12052194475,10,11
2026-12-31,F,189281413263,204021204514,178964640809,1.52791,1.61838,1.42739,15406091170,6059559416,12520232183,11,12
2027-12-31,F,191404386910,204498405612,173304474580,1.84509,2.10581,1.67462,15578885344,7111227440,12660658665,11,12
2028-12-31,F,199345135835,207259705252,191430566417,2.12779,2.47643,1.91073,16225202908,9063173640,13185908442,5,3
2029-12-31,F,195260560050,207645036232,178709136225,2.49065,2.69601,2.21619,15892748993,9910296352,12915729578,2,1
2030-12-31,F,202815000000,215678619443,185623217788,3.0435,3.29445,2.70812,16507623896,12110086503,13415426514,2,1
