date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,HON,20010519230,24012623076,16008415384,2.08,2.5,1.66,2335981132,1175509434,1588433962,17,17
1998-12-30,HON,18925832383,22710998859,15140665906,2.26,2.71,1.81,2506852442,1307321036,1661552010,10,10
1999-12-30,HON,22999294089,27599152907,18399435271,2.66,3.2,2.12,3062217132,1512619330,3099001832,20,20
2000-12-30,HON,25017964899,30021557879,20014371919,2.84,3.4,2.28,3385164697,1654416173,3133351657,9,9
2001-12-30,HON,24713457397,29656148876,19770765917,2.23,2.68,1.78,536632988,-93612600,3168673158,13,13
2002-12-30,HON,22274000000,26728800000,17819200000,2,2.4,1.6,-274000000,-220000000,2757000000,10,10
2003-12-30,HON,23266606060,27919927272,18613284848,1.58,1.89,1.27,2230000000,1331696969,2971303030,12,12
2004-12-30,HON,24104845612,28925814735,19283876489,1.52,1.83,1.21,2186533333,1203666666,3121635087,7,7
2005-12-30,HON,26573403077,31888083692,21258722461,1.97,2.36,1.58,2972992264,1594834151,3552443395,11,11
2006-12-30,HON,30337065295,36404478354,24269652236,2.37,2.84,1.9,3475618936,2013462249,4063665551,13,13
2007-12-30,HON,33773282051,40527938461,27018625640,3.02,3.62,2.42,4057183225,2385624516,4449661935,18,18
2008-12-30,HON,35849280042,43019136050,28679424033,3.61,4.33,2.89,4611271848,2737955788,4932080662,7,7
2009-12-30,HON,30049296703,36059156043,24039437362,2.67,3.21,2.13,4216411111,2077688888,4214211111,12,12
2010-12-30,HON,31397916250,37677499500,25118333000,2.47,2.96,1.98,4081195386,1965188312,4570541029,16,16
2011-12-30,HON,34645921771,41575106125,27716737416,3.63,4.36,2.9,3537444882,1899134178,5132466664,14,14
2012-12-30,HON,36247897318,43497476780,28998317854,4.16,5,3.32,4916872710,2791126949,5018694087,13,13
2013-12-30,HON,37733979311,45280775173,30187183449,4.63,5.56,3.7,6453198419,3782138755,5004774756,11,11
2014-12-30,HON,39521809783,47426171739,31617447826,5.34,6.41,4.27,6825945381,4150303408,5409052262,7,7
2015-12-30,HON,38549690000,39578434897,38062269988,6.09979,6.3114,5.99953,7583647714,4695141406,4932856822,3,2
2016-12-30,HON,39475725000,40529182256,38976596256,6.21762,6.43332,6.11542,7713367804,4702645853,5427192683,5,6
2017-12-30,HON,40426347059,41505172809,39915198706,6.68644,6.91841,6.57653,8140755841,1578796145,5708674570,3,2
2018-12-30,HON,41787275000,42902418751,41258919154,7.52597,7.78706,7.40226,8650331508,6591612969,5881802169,3,2
2019-12-30,HON,36813804169,37796224862,36348332595,7.66832,7.93435,7.54227,8687052350,5986672406,5379055168,10,7
2020-12-30,HON,32146684129,33004557104,31740223346,6.62483,6.85466,6.51594,6798451560,4449496676,4469708746,7,10
2021-12-30,HON,34459497955,35379091152,34023794090,7.56807,7.83062,7.44367,8458478504,5367846760,4648472271,7,6
2022-12-30,HON,35541043151,36489498684,35091664293,8.24126,8.52717,8.1058,8481081036,5252477451,5224907787,8,7
2023-12-31,HON,37334000000,37833606678,36668742915,8.82514,8.97867,8.62071,9043235242,5656440740,5179676028,13,10
2024-12-31,HON,38270829342,38580189370,38121139005,9.19721,9.22557,9.14995,9270158907,5905892137,5309650648,14,15
2025-12-31,HON,38904049798,39424667012,38210815889,10.06701,10.0876,10.03613,9423540853,6467766832,5397502923,7,6
2026-12-31,HON,39590203658,39801217433,39188272656,10.49176,10.673,9.56542,9589744602,6184495400,5492699117,17,15
2027-12-31,HON,41928042485,42460430183,41375564685,11.51473,12.03122,11.01849,10156028056,7408176805.5,5817048175,17,14
2028-12-31,HON,44156625593,44161919869,44151331316,12.64576,13.7075,11.69138,10695847023,8163200044,6126239220,13,9
2029-12-31,HON,47116792262,47747313076,46277214937,14.04182,14.2861,13.71654,11412873956,9026081910,6536929324,12,3
