date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-10-30,HPQ,44054010064,52864812078,35243208050,1.53,1.83,1.23,6058126791,3127820398,7301834254,19,19
1998-10-30,HPQ,40309627465,48371552958,32247701972,1.39,1.67,1.11,5831341698,2886367496,7608332133,16,16
1999-10-30,HPQ,39643338408,47572006089,31714670726,1.41,1.69,1.13,5319131839,3104882020,6643144512,11,11
2000-10-30,HPQ,48816087591,58579305109,39052870072,1.74,2.09,1.39,6039525245,3643057215,7346276414,13,13
2001-10-30,HPQ,36556682188,43868018626,29245345750,0.605,0.72,0.49,1637957912,374439226,6295985184,9,9
2002-10-30,HPQ,52985595610,63582714732,42388476488,0.78,0.94,0.62,782015151,-1039287880,8530143939,14,14
2003-10-30,HPQ,72899898862,87479878635,58319919089,1.15,1.38,0.92,5320833963,2474075843,10951644830,10,10
2004-10-30,HPQ,83101967342,99722360810,66481573873,1.4,1.69,1.11,6675491717,3511376634,11344852658,9,9
2005-10-30,HPQ,79243946518,95092735822,63395157214,1.33,1.59,1.07,5331638041,2230969198,10115790873,16,16
2006-10-30,HPQ,84132197209,100958636651,67305757767,1.86,2.23,1.49,8690055340,5640339938,10248201243,13,13
2007-10-30,HPQ,99660531636,119592637962,79728425309,2.66,3.2,2.12,11322907039,6923162577,11645575865,20,20
2008-10-30,HPQ,114428894807,137314673767,91543115845,3.38,4.06,2.7,13344574685,8033846490,12645157271,16,16
2009-10-30,HPQ,113978894447,136774673336,91183115557,3.8,4.56,3.04,14114870402,7620091838,11554818878,15,15
2010-10-30,HPQ,122265954355,146719145226,97812763484,4.32,5.18,3.46,15684930075,8472379302,12195351215,15,15
2011-10-30,HPQ,123435382336,148122458803,98748305869,4.57,5.49,3.65,13889637303,6849389541,13056271961,20,20
2012-10-30,HPQ,115422337068,138506804482,92337869654,3.74,4.48,3,-6362345734,-12555905562,12908878646,10,10
2013-10-30,HPQ,106303111261,127563733514,85042489008,3.2,3.84,2.56,10476749712,4828208982,12474666838,13,13
2014-10-30,HPQ,107568066667,129081680000,86054453333,3.61,4.34,2.88,10680214285,4911214285,13123714285,8,8
2015-10-30,HPQ,52237300000,53220609488,51446171856,1.74114,1.78375,1.70686,9193093181,4938092019,13040761957,7,6
2016-10-30,HPQ,47598440000,48494428071,46877566879,1.60732,1.64665,1.57567,3752191387,2375160287,3695531100,6,7
2017-10-30,HPQ,51390618750,52357990399,50612313500,1.65275,1.69319,1.62021,3561620779,2478581723,4294546480,7,6
2018-10-30,HPQ,57790326667,58878165750,56915098547,2.02111,2.07057,1.98132,3669014005,5032887954,4667941176,7,6
2019-10-30,HPQ,58620760068,59724231143,57732955126,2.2089,2.26295,2.16541,3389582825,3027899832,5167516785,7,5
2020-10-30,HPQ,56065928505,57121307697,55216816205,2.18978,2.24337,2.14667,3516917140,2353463290,4222080734,4,4
2021-10-30,HPQ,62208859531,63379872616,61266713219,3.73235,3.82368,3.65887,7302483169,5604738641,4729119958,4,4
2022-10-30,HPQ,62850836433,64033934025,61898967451,4.07404,4.17374,3.99383,8120763442,6135374717,5501749647,3,6
2023-10-31,HPQ,52998000000,54592436650,50362741789,2.99294,3.10999,2.79947,4957616958,2815857692.5,5136117114,7,4
2024-10-31,HPQ,53505703859,53675373130,53336034587,3.38147,3.39144,3.35155,5005109340,3213034738,5185319471,8,10
2025-10-31,HPQ,55230724195,55619813473,54592218712,3.11279,3.13287,3.08267,5166473732,2961704813,5352493826,9,10
2026-10-31,HPQ,55955232355,57284452198,53789096314,2.86134,2.97217,2.52886,5234246741,2621240797,5422707018,10,9
2027-10-31,HPQ,56520638703,58020834949,53301674572,2.96633,3.20159,2.42421,5287136814,2503760690,5477501411,10,9
2028-10-31,HPQ,56806391023,56923965801,56688816244,3.32865,3.7482,2.9528,5313867079,3193026502.5,5505194104,10,5
2029-10-31,HPQ,58736090200,60503156408,55815512745,3.8293,3.97907,3.58177,5494377841,3649322903,5692204199,5,1
