date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,IP,18659182353,22391018823,14927345882,0.93,1.12,0.74,1041299708,-142877924,2839456505,8,8
1998-12-30,IP,23013863513,27616636216,18411090810,0.865,1.05,0.68,1303639256,205267904,2037675065,10,10
1999-12-30,IP,21082126072,25298551285,16865700857,1.1,1.32,0.88,1580591344,167103701,2643245902,19,19
2000-12-30,IP,28780733333,34536879999,23024586666,2.18,2.62,1.74,2975041588,78941868,3458341798,18,18
2001-12-30,IP,26688429460,32026115352,21350743568,0.195,0.24,0.15,1296730639,-1520360943,3832478114,11,11
2002-12-30,IP,21152166011,25382599214,16921732808,0.735,0.88,0.59,2170862386,275642445,2554734982,12,12
2003-12-30,IP,21888089932,26265707918,17510471945,0.64,0.77,0.51,2298381306,286360390,2677423397,19,19
2004-12-30,IP,23741618462,28489942154,18993294769,1.36,1.62,1.1,2341391729,-85065415,2984037426,7,7
2005-12-30,IP,17869896325,21443875590,14295917060,0.68,0.82,0.54,2100509341,726589814,2233124492,20,20
2006-12-30,IP,18913815868,22696579042,15131052694,1.06,1.27,0.85,3416502184,694914124,2385226576,13,13
2007-12-30,IP,21175224637,25410269564,16940179708,2.09,2.5,1.68,2828882336,1100663959,2757042663,8,8
2008-12-30,IP,23119593930,27743512717,18495675143,1.7,2.04,1.36,690925729,-1169222729,2912892805,7,7
2010-12-30,IP,23858975704,28630770845,19087180563,1.73,2.07,1.39,1333262108,566843293,3060465313,14,14
2011-12-30,IP,22311645874,26773975049,17849316699,2.22,2.67,1.77,1944533888,1111822585,2715178520,9,9
2012-12-30,IP,26792934369,32151521243,21434347495,2.29,2.75,1.83,3210672746,759374305,3545771228,18,18
2013-12-30,IP,23492416489,28190899787,18793933191,3.03,3.64,2.42,2942696017,1367431328,3834028526,13,13
2014-12-30,IP,21990373079,26388447694,17592298463,2.58,3.1,2.06,2573139307,522364306,3289171266,13,13
2015-12-30,IP,22597821429,23127229391,21757810520,3.4184,3.52251,3.25321,3149835157,884653889,2874717396,9,8
2016-12-30,IP,21037300000,21530149019,20255297118,3.16738,3.26384,3.01432,2890541400,847512929,2749731129,11,12
2017-12-30,IP,23186853846,23730061300,22324947302,3.32551,3.42679,3.16481,3108735530,2023467336,2970202552,6,5
2018-12-30,IP,23334816667,23881490503,22467410018,4.98877,5.14071,4.74769,4340723695,1891586073,3092124276,6,5
2019-12-30,IP,22447278285,22973159414,21612863397,4.15008,4.27647,3.94953,3343210027,1041942182,2776405187,2,4
2020-12-30,IP,20639065562,21122584987,19871865933,2.6344,2.71463,2.5071,1903923598,350135926,3131904251,5,2
2021-12-30,IP,21715973077,22224721634,20908742418,4.09801,4.22282,3.89998,3508313266,1741890187,3024924868,3,4
2022-12-30,IP,21263056006,21761193898,20472661275,3.71378,3.82689,3.53432,3346383099,1796719082,2493206504,2,3
2023-12-31,IP,18567000000,19300583497,18050922698,1.33314,1.40161,1.28497,1825065059,709257121,2793304910,6,5
2024-12-31,IP,18798816545,18888906720,18748766447,1.14257,1.23867,1.09986,1847851739,617371921,2828180457,7,7
2025-12-31,IP,24541045594,24572149580,24520309602,0.24031,0.31345,0.17762,2412290883,129642480,3692067816,8,6
2026-12-31,IP,24797613784,25776729880,24338028677,1.65156,1.86935,1.47007,2437510555,866299540,3730667115,10,9
2027-12-31,IP,25782685147,26848583986,25229624428,2.88859,3.23901,2.60447,2534339301,1530150640,3878865784,10,9
2028-12-31,IP,26261372844,26281405185,26241340502,3.34444,3.68881,2.66616,2581392470,1715170420,3950881763,9,5
2029-12-31,IP,27170000000,28243488642,26414798821,3.79,3.98467,3.65305,2670707043,2001120003,4087579813,4,1
