date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,KMB,12762068965,15314482758,10209655172,2.5,2.99,2.01,1866674193,924951613,2619674193,10,10
1998-12-30,KMB,12101377037,14521652444,9681101629,2.39,2.87,1.91,2234359237,1148096263,2622396228,16,16
1999-12-30,KMB,11673728194,14008473833,9338982554,2.49,2.98,2,2686349579,1483353793,2462304424,8,8
2000-12-30,KMB,13938906252,16726687502,11151125001,3.3,3.96,2.64,3221268913,1794400527,2854633140,14,14
2001-12-30,KMB,13561766904,16274120284,10849413523,3.25,3.9,2.6,2987649853,1606456323,3090245588,16,16
2002-12-30,KMB,13361604742,16033925690,10689283793,3.26,3.91,2.61,2999506620,1648363856,2242563268,12,12
2003-12-30,KMB,14004940419,16805928503,11203952335,3.22,3.87,2.57,2883470441,1652892139,2317427928,14,14
2004-12-30,KMB,15041863090,18050235708,12033490472,3.59,4.31,2.87,3076181547,1795051059,2503763020,15,15
2005-12-30,KMB,15860630526,19032756631,12688504421,3.76,4.52,3,2843161702,1563812766,2730079787,15,15
2007-12-30,KMB,18093388336,21712066003,14474710668,4.17,5,3.34,3135120067,1805191480,3076255983,13,13
2008-12-30,KMB,19411590007,23293908009,15529272005,4.14,4.97,3.31,3081963946,1689931087,3290982862,13,13
2009-12-30,KMB,18316099613,21979319536,14652879689,4.06,4.87,3.25,3455494250,1759368473,3319581681,13,13
2010-12-30,KMB,19947497368,23936996841,15957997894,4.76,5.71,3.81,3704407768,1848676701,3688584595,10,10
2011-12-30,KMB,21117704730,25341245676,16894163783,4.93,5.91,3.95,3655276562,1606785064,3805714979,19,19
2012-12-30,KMB,20569451850,24683342220,16455561480,5.01,6.01,4.01,3569024166,1706375976,3970267216,20,20
2013-12-30,KMB,18708111725,22449734070,14966489379,5.27,6.32,4.22,4024300000,2043965552,3841919374,18,18
2014-12-30,KMB,19575921177,23491105413,15660736941,5.83,6.99,4.67,3480149681,1498976335,3673465996,13,13
2015-12-30,KMB,18628566667,19292514955,18441579274,5.76346,6.0305,5.68825,2411278202,987933136,3347942341,9,8
2016-12-30,KMB,18205200000,18854058905,18022462221,5.99554,6.27334,5.9173,4055208508,2136133677,3279931093,11,12
2017-12-30,KMB,18288430769,18940256136,18104857547,6.20529,6.4928,6.12432,4028639044,2240683283,3175040803,6,5
2018-12-30,KMB,18356246667,19010489088,18171992732,6.65864,6.96716,6.57175,2996134015,1396307774,3335712327,6,5
2019-12-30,KMB,18428517872,19085336140,18243538502,6.88078,7.19959,6.79099,3781525317,2088525481,3145883004,4,5
2020-12-30,KMB,19036082271,19714554988,18845004371,7.66995,8.02533,7.56987,3700798673,2131075189,3343169443,5,5
2021-12-30,KMB,19380864923,20071626178,19186326208,6.14615,6.43092,6.06595,3478336292,1905306629,3553053455,5,6
2022-12-30,KMB,20192822967,20912523547,19990134086,5.6208,5.88123,5.54745,3299343828,1801332782,3562724990,4,8
2023-12-31,KMB,20280000000,21774009652,19994153549,6.7773,7.42636,6.65312,3501439725,2287000000,3819500595,5,6
2024-12-31,KMB,19979854447,20039914129,19949824605,7.3392,7.46972,7.289,3449618149,2450000000,3762971693,10,13
2025-12-31,KMB,16455386607,16475344625,16405491559,7.47956,7.49182,7.4673,2841101793,2491441443,3099179434,9,6
2026-12-31,KMB,17432297790,17598122263,17287201375,7.5602,7.828,7.0452,3009770216,2539120100,3283169219,10,8
2027-12-31,KMB,17218153243,17377857852,17078411709,7.68466,7.85498,7.39411,2972797128,2539735946.5,3242837601,9,7
2028-12-31,KMB,18316682056,18378431728,18254932384,8.20615,8.22518,8.18711,3162463421,2733466907.5,3449732643,5,2
2029-12-31,KMB,23713320934,25460260300,23379081850,8.59107,9.41384,8.43365,4094219129,2861685425,4466126401,2,1
2030-12-31,KMB,27166347532,29167668312,26783438064,9.1345,10.00931,8.96712,4690400811,3042701959,5116463538,2,1
