date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,KO,18868000000,22641600000,15094400000,0.82,0.98,0.66,6681000000,4129000000,7852000000,19,19
1998-12-30,KO,18813000000,22575600000,15050400000,0.71,0.85,0.57,5843000000,3533000000,8284000000,10,10
1999-12-30,KO,19063466667,22876160000,15250773333,0.62,0.75,0.49,4492966666,2380642858,9466633333,15,15
2000-12-30,KO,19551829004,23462194804,15641463203,0.69,0.83,0.55,4016733333,2079554762,10312380952,7,7
2001-12-30,KO,16921859902,20306231882,13537487921,0.71,0.84,0.58,5954991086,3655539333,8002962387,11,11
2002-12-30,KO,19564000000,23476800000,15651200000,0.89,1.07,0.71,5379000000,3050000000,7001000000,20,20
2003-12-30,KO,20161638304,24193965965,16129310643,0.9,1.08,0.72,6079380211,4160342268,7729094534,12,12
2004-12-30,KO,20396928695,24476314434,16317542956,0.91,1.08,0.74,6658188734,4534318378,8006246442,11,11
2006-12-30,KO,23267585577,27921102691,18614068462,1.11,1.34,0.88,7258241110,4907129999,9230014443,8,8
2007-12-30,KO,27599345969,33119215162,22079476775,1.24,1.48,1,8620359028,5703315314,10693953194,7,7
2008-12-30,KO,29738773283,35686527940,23791018626,1.37,1.65,1.09,7973779922,5341919565,10878802949,12,12
2009-12-30,KO,30593040183,36711648220,24474432146,1.49,1.79,1.19,10317902778,6736608333,11212800000,19,19
2012-12-30,KO,47085939161,56503126993,37668751328,1.94,2.33,1.55,13836485361,8835400615,17389854776,16,16
2013-12-30,KO,46614108695,55936930434,37291286956,2.06,2.48,1.64,13810533333,8545088889,17217066667,12,12
2014-12-30,KO,45307349432,54368819318,36245879545,1.99,2.39,1.59,11613333333,7020142856,16941841269,17,17
2015-12-30,KO,44204081818,44848856971,43281164592,1.98943,2.02715,1.93543,15775694924,8594337601,13294101336,9,8
2016-12-30,KO,41573295238,42179696880,40705305026,1.91061,1.94684,1.85875,14836811346,8253835201,12502908714,12,13
2017-12-30,KO,35223800000,35737585834,34488378056,1.90683,1.94299,1.85507,8799790359,1197227760,12395727947,8,7
2018-12-30,KO,31881570000,32346604977,31215928979,2.08472,2.12425,2.02814,9864425624,6263115414,10069741171,8,7
2019-12-30,KO,36961156701,37500284186,36189461264,2.1048,2.14471,2.04767,12783566643,8761568068,11693161796,6,7
2020-12-30,KO,33026377898,33508111416,32336834945,1.89924,1.93525,1.84769,11000299114,6703391567,8411080378,11,10
2021-12-30,KO,38125940355,38682057755,37329925922,2.29107,2.33451,2.22889,13606508245,9897422402,11466138278,6,6
2022-12-30,KO,42833977378,43458767741,41939665949,2.49032,2.53754,2.42273,13105956214,8220805639,10457969379,6,7
2023-12-31,KO,46465000000,48228966311,45531761623,2.46767,2.58946,2.40324,16626746769,10648000000,14096987536,7,7
2024-12-31,KO,46203515213,46413622146,46033428647,2.8519,2.86191,2.84189,16533178678,12300244702,14017655829,13,17
2025-12-31,KO,48271217221,48401166656,48081291123,2.99006,3.00006,2.97006,17273072312,12874563782.5,14644974659,15,13
2026-12-31,KO,49087751861,49277434042,48878103134,3.2304,3.2504,3.2104,17565255992,13932715203,14892702597,13,13
2027-12-31,KO,49852394169,52314851250,48725004179,3.46362,3.50366,3.43359,17838870842,14960179628,15124686952,15,13
2028-12-31,KO,52485682167,52617393110,52353971223,3.70518,3.79479,3.51144,18781150251,15469301110,15923598565,10,6
2029-12-31,KO,54383042339,56447603936,53290771981,3.98982,4.18673,3.88565,19460089821,17208093663,16499237491,5,4
2030-12-31,KO,57718000000,59909167708,56558747818,4.26,4.47024,4.14877,20653450340,18373380004,17511028228,5,2
