date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
2000-01-30,LOW,14057810965,16869373158,11246248772,0.37,0.44,0.3,1201159643,576332143,2443093571,10,10
2001-01-30,LOW,17603000000,21123600000,14082400000,0.51,0.62,0.4,1646209111,801444444,3230541444,10,10
2005-01-30,LOW,34855964285,41827157142,27884771428,1.29,1.55,1.03,4199740740,2055148148,7101555555,15,15
2006-01-30,LOW,39715085046,47658102054,31772068037,1.53,1.84,1.22,5034759163,2486124219,8408923924,16,16
2011-01-30,LOW,45832199001,54998638800,36665759201,1.27,1.53,1.01,4848996225,1849145778,11214194932,11,11
2012-01-30,LOW,47174629410,56609555293,37739703527,1.48,1.78,1.18,4627297978,1740323231,11791121210,14,14
2015-01-30,LOW,55981600000,56585445162,54816157554,2.67458,2.71208,2.6022,7925440031,1517709145,10494620292,7,6
2016-01-30,LOW,58900808333,59536141517,57674592896,3.30269,3.349,3.21331,8338718869,1874134562,11041871228,6,7
2017-01-30,LOW,64565503846,65261939231,63221359007,3.92083,3.97581,3.81472,6762807800,2492874882,15533277325,9,8
2018-01-30,LOW,68493596296,69232402025,67067675201,4.51334,4.57663,4.39119,9696791267,2561126380,12840188304,15,14
2019-01-30,LOW,71404492857,72174696953,69917971808,5.11163,5.18331,4.97329,10108893388,2900630230,13385881070,10,11
2020-01-30,LOW,72261319979,73040766235,70756961235,5.70669,5.78671,5.55225,10230196316,3238301193,13546506620,17,16
2021-01-30,LOW,88642789654,89598934525,86797396355,8.73778,8.86031,8.5013,12549357532,4958314434,16617467508,11,10
2022-01-30,LOW,95915804914,96950400117,93918999710,11.9928,12.16097,11.66823,11759570272,7099424433,15647238276,18,19
2023-01-30,LOW,97355806322,99419709483,95291903161,13.73883,13.93148,13.367,13109855339,6028000000,17345398092,11,10
2024-01-30,LOW,84023000000,85148373691,81420685475,12.08566,12.29609,11.59906,11972995732,6690642011.5,15778482783,15,14
2025-01-30,LOW,83418088149,83488145331,83338022797,11.9262,11.95632,11.88604,11886797822,6675860811,15664887800,21,23
2026-01-30,LOW,86056238972,86166234164,85956243342,12.2558,12.43574,12.19582,12262725467,6896836812,16160299977,20,22
2027-01-30,LOW,93264957455,93754720922,92605276049,12.61198,13.68534,12.29395,13289943677,6931902990,17514008372,25,20
2028-01-30,LOW,96601933772,98081963399,95071903143,13.67897,14.88827,13.08423,13765451612,7531893030,18140651355,25,20
2029-01-30,LOW,100711319036,100775904409,100646733663,14.98778,16.57098,13.47474,14351025231,8113439490,18912343209,16,9
2030-01-30,LOW,103851710612,105242662886,100635272077,16.45942,16.74601,15.79672,14798520500,9217275216,19502070003,8,3
2031-01-30,LOW,105550100000,106963799888,102281059876,17.355,17.65718,16.65624,15040535292,9718800017,19821006576,7,4
