date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,MO,68462000000,82154400000,54769600000,2.93,3.52,2.34,12311000000,6310000000,15720000000,12,12
1998-12-30,MO,67037318017,80444781620,53629854413,3.2,3.83,2.57,10936575720,5454698185,17249052768,9,9
1999-12-30,MO,62476239987,74971487985,49980991989,3.33,4,2.66,14573201018,7769069791,18324290536,20,20
2000-12-30,MO,76849373084,92219247701,61479498467,3.74,4.49,2.99,15760844444,8555174494,18964527019,7,7
2001-12-30,MO,78768905263,94522686315,63015124210,4.02,4.83,3.21,16267159574,8541063829,22930340425,17,17
2002-12-30,MO,70832465544,84998958653,56665972434,4.51,5.4,3.62,18750039590,11040633892,12197025018,13,13
2003-12-30,MO,74514985993,89417983191,59611988793,4.42,5.3,3.54,15445039551,8998867392,11575851005,8,8
2004-12-30,MO,83116839747,99740207697,66493471797,4.71,5.65,3.77,15525345925,9403770675,12823432013,17,17
2005-12-30,MO,66252266617,79502719941,53001813293,5.03,6.03,4.03,16591881036,10345316820,14689409933,12,12
2006-12-30,MO,31391669618,37670003542,25113335694,5.21,6.26,4.16,17930050707,11862356364,14754312054,14,14
2007-12-30,MO,18238378872,21886054647,14590703097,4.19,5.02,3.36,14528468186,9569831869,7625352702,11,11
2008-12-30,MO,19018391303,22822069564,15214713042,1.6,1.91,1.29,6746086868,4869924241,2703895959,8,8
2009-12-30,MO,22928590768,27514308922,18342872614,1.66,1.99,1.33,5833404284,3105809087,2831446459,7,7
2010-12-30,MO,23851603174,28621923808,19081282539,1.82,2.19,1.45,6972957692,3820850000,2683023077,20,20
2011-12-30,MO,23677420000,28412904000,18941936000,2.01,2.42,1.6,5806469388,3372938775,2626877551,8,8
2012-12-30,MO,24398101694,29277722033,19518481355,2.17,2.61,1.73,7116350877,3915017544,2260087719,19,19
2013-12-30,MO,24471174459,29365409351,19576939566,2.38,2.86,1.9,8176317925,4515564454,2318924050,13,13
2014-12-30,MO,24618991871,29542790245,19695193496,2.59,3.1,2.08,8871039600,5087024854,2549633084,19,19
2015-12-30,MO,18853422222,18985779641,18746568005,2.808,2.83363,2.78731,9020274199,5181735781,2682124628,9,8
2016-12-30,MO,19401575000,19537780637,19291614056,3.02543,3.05304,3.00314,9361505646,13966051129,2579515781,8,9
2017-12-30,MO,19590550000,19728082306,19479518016,3.28361,3.31358,3.25942,10400804097,9516890510,2260178578,14,13
2018-12-30,MO,19630257143,19768068206,19519000114,3.99728,4.03376,3.96783,10148980971,6885349938,2729757620,9,8
2019-12-30,MO,19879177717,20018736287,19766509898,4.2218,4.26033,4.19069,2449920408,-1160235410,2223513082,6,5
2020-12-30,MO,20788723213,20934667101,20670900427,4.38477,4.42479,4.35246,8109774481,4319014277,2029578061,7,4
2021-12-30,MO,21063343768,21211215585,20943964534,4.60574,4.64777,4.57181,4609303906,2236221326,2391621956,7,4
2022-12-30,MO,20771566095,20917389534,20653840549,4.83775,4.8819,4.80211,4015834024,1469559860,2420297776,6,5
2023-12-31,MO,20295000000,20684798787,19958461300,5.77765,5.92191,5.6531,16400173559,9705645890,2448819180,5,4
2024-12-31,MO,20385744798,20435734363,20325757319,5.13366,5.15367,5.12365,16473503464,8617532825,2459768557,6,9
2025-12-31,MO,20107959349,20168072829,20037826954,5.43399,5.44398,5.41401,16249027999,9104424620,2426250630,7,8
2026-12-31,MO,20275965847,20577691529,20094930437,5.61868,5.63871,5.5686,16384792262,9397329440,2446522497,8,8
2027-12-31,MO,20338167413,20891381660,19935829778,5.81868,5.89922,5.71801,16435056686,9741047360,2454027813,8,8
2028-12-31,MO,20245158551,20260718655,20229598446,6.04025,6.49578,5.64834,16359897214,9530777320,2442805251,7,4
2029-12-31,MO,20342000000,20732701499,20004681930,6.03,6.18056,5.90001,16438153758,10112310006,2454490257,3,2
