date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,MRK,23514701960,28217642352,18811761568,1.9,2.28,1.52,7446376470,4589743137,4276829412,12,12
1998-12-30,MRK,26667114285,32000537142,21333691428,2.14,2.57,1.71,9078781481,5199455555,4472085185,12,12
1999-12-30,MRK,32576969091,39092362909,26061575272,2.44,2.93,1.95,9724898148,5866433333,5178624074,10,10
2000-12-30,MRK,39026104589,46831325507,31220883671,2.69,3.23,2.15,10695613578,6571857631,5956479119,15,15
2001-12-30,MRK,47416826250,56900191500,37933461000,3.1,3.72,2.48,11790551415,7235066461,6186480391,16,16
2002-12-30,MRK,51790300000,62148360000,41432240000,3.14,3.77,2.51,11701900000,7149500000,6186800000,17,17
2003-12-30,MRK,38357557831,46029069397,30686046264,3.1,3.71,2.49,10835293473,6896850896,6761436456,19,19
2004-12-30,MRK,23719381245,28463257494,18975504995,2.82,3.38,2.26,9723060230,5996294092,7595495500,18,18
2005-12-30,MRK,21677117237,26012540684,17341693789,2.37,2.84,1.9,8772507681,4456761317,6923225859,16,16
2006-12-30,MRK,21481260194,25777512233,17185008155,2.22,2.66,1.78,7911983384,4103792102,7761655948,8,8
2007-12-30,MRK,22498361817,26998034180,17998689453,2.77,3.33,2.21,4974806721,3042049628,6958091345,15,15
2008-12-30,MRK,22467148281,26960577937,17973718625,3.02,3.63,2.41,10738851705,7326495566,6893434721,17,17
2009-12-30,MRK,26682369011,32018842813,21345895209,3.04,3.65,2.43,17550686631,12501471301,8303611782,7,7
2010-12-30,MRK,43410674791,52092809749,34728539832,3.04,3.65,2.43,9075211387,821950744,12424743719,18,18
2011-12-30,MRK,46402878090,55683453707,37122302472,3.52,4.23,2.81,14813601580,6084054867,13243577828,11,11
2013-12-30,MRK,42797665700,51357198841,34238132559,3.29,3.95,2.63,12810085757,4229781365,11553404440,9,9
2014-12-30,MRK,40317648791,48381178549,32254119032,3.18,3.81,2.55,23815262527,11521385853,11047091565,19,19
2015-12-30,MRK,39586636842,40121906708,38777544569,3.40563,3.46549,3.31514,11613387954,4172662093,9638273902,9,8
2016-12-30,MRK,39976365000,40516904567,39159307260,3.6048,3.66816,3.50902,10201811048,3663090457,9405521931,8,9
2017-12-30,MRK,40204768421,40748396340,39383042453,3.75886,3.82493,3.65899,10820924651,2037276993,8995207077,14,13
2018-12-30,MRK,42235866667,42806958037,41372628057,4.12853,4.2011,4.01883,13573282898,6030217373,9770742138,9,8
2019-12-30,MRK,46903926585,47538137028,45945279739,4.9267,5.0133,4.7958,14115668653,8645344243,9332796308,6,15
2020-12-30,MRK,48187744700,48839314262,47202858511,5.71976,5.8203,5.56779,10166861721,5027332287,9032081447,11,14
2021-12-30,MRK,48518860208,49174906942,47527206508,5.79192,5.89373,5.63803,17655568402,12268336840,9684997238,7,14
2022-12-30,MRK,59123781378,59923222327,57915378784,7.394,7.52397,7.19754,19589287159,14909277235,8991972106,6,15
2023-12-31,MRK,62480000000,63570186019,61195411565,5.41961,5.54254,5.27475,26931222645,13736000000,10511434434,11,14
2024-12-31,MRK,63985214390,64284864160,63745494573,7.52831,7.66663,7.42951,27580026484,18923011497,10764666866,15,16
2025-12-31,MRK,64850241004,65100434835,64620062679,8.93454,9.02438,8.87464,27952885388,22436421578.5,10910196164,17,14
2026-12-31,MRK,66751309003,67371972044,66390924011,5.12062,8.42079,2.82316,28772316975,10517002620,11230025736,17,14
2027-12-31,MRK,70230180057,71820447366,68828756990,9.68526,10.09657,9.52857,30271840837,24600112999.5,11815299823,17,13
2028-12-31,MRK,74931963730,74964315325,74899612135,10.75424,13.25069,8.93488,32298485891,23553560510,12606312800,18,8
2029-12-31,MRK,74564904441,75865954638,73031850441,10.36104,10.59606,10.08411,32140269574,25975127290,12544559925,11,6
2030-12-31,MRK,74135856070,75429419991,72611623302,10.1578,10.38821,9.8863,31955333640,25465604610,12472378206,9,6
