date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1998-06-29,MSFT,12097900000,14517480000,9678320000,0.34,0.41,0.27,6317350000,3521200000,3243050000,19,19
1999-06-29,MSFT,14460269047,17352322856,11568215237,0.44,0.52,0.36,9100066665,5458399998,3460366666,9,9
2000-06-29,MSFT,19308382877,23170059452,15446706300,0.62,0.75,0.49,12736814717,7536131127,3840524509,9,9
2001-06-29,MSFT,22275714402,26730857282,17820571521,0.79,0.95,0.63,14045599585,8946603519,4914419460,16,16
2002-06-29,MSFT,24145779218,28974935061,19316623374,0.75,0.9,0.6,9482766665,5399033332,5958038094,9,9
2003-06-29,MSFT,27583166667,33099800000,22066533333,0.79,0.95,0.63,12922449274,8188507245,6007898549,15,15
2004-06-29,MSFT,32265182188,38718218626,25812145749,1,1.2,0.8,13800155745,8312120400,9827628733,10,10
2005-06-29,MSFT,36530558302,43836669962,29224446642,1.14,1.37,0.91,15024832391,9567889026,12352490907,18,18
2006-06-29,MSFT,40727242943,48872691532,32581794354,1.24,1.49,0.99,18110821505,12832945161,13503110752,8,8
2007-06-29,MSFT,43334154102,52000984922,34667323282,1.1,1.32,0.88,17229994188,11113649520,13072228712,19,19
2008-06-29,MSFT,53872196462,64646635755,43097757169,1.57,1.89,1.25,23891247490,15566588627,14750145484,14,14
2009-06-29,MSFT,61796533051,74155839661,49437226440,1.86,2.23,1.49,24655691092,17101568506,18628851970,13,13
2010-06-29,MSFT,52249189189,62699027027,41799351351,1.43,1.72,1.14,20678504237,13670771186,14714402542,13,13
2011-06-29,MSFT,59990045778,71988054933,47992036622,1.87,2.25,1.49,26577983766,18224195318,15487704645,13,13
2012-06-29,MSFT,67401277627,80881533153,53921022101,2.4,2.88,1.92,28875178927,21712506869,17091715354,11,11
2013-06-29,MSFT,71335760850,85602913020,57068608680,2.44,2.93,1.95,23260699617,15384058647,18526533404,9,9
2014-06-29,MSFT,79473512881,95368215457,63578810305,2.52,3.03,2.01,30649200085,21320322874,19601390063,7,7
2015-06-29,MSFT,93466470968,96581407857,89807452925,2.56908,2.68038,2.43833,33170922901,20146861676,20721138887,3,2
2016-06-29,MSFT,91583196296,94635369697,87997904541,2.66891,2.78454,2.53308,19803534854,9539562063,17041361995,2,3
2017-06-29,MSFT,96254973077,99462841773,92486790973,3.03344,3.16486,2.87906,27122138213,15478215705,17456152711,4,3
2018-06-29,MSFT,109467064516,113115249730,105181656497,3.83611,4.00231,3.64088,34303246459,8461399243,17635132285,3,2
2019-06-29,MSFT,124903602666,129066238053,120013886267,4.58766,4.78642,4.35418,48931589649,30525053491,20573379824,4,5
2020-06-29,MSFT,141495464401,146211053180,135956211106,5.65572,5.90075,5.36789,56118549179,38558742463,20501476925,22,14
2021-06-29,MSFT,166227084187,171766898317,159719639389,7.76866,8.10524,7.3733,63122509037,42908992324,20952478141,16,19
2022-06-29,MSFT,198704709367,205326898296,190925833057,9.27199,9.6737,8.80012,84257110871,63204015051,23343826699,21,15
2023-06-29,MSFT,211548397686,214929198843,208167596529,9.61733,10.034,9.12788,100768723618,77096000000,27897095899,16,14
2024-06-30,MSFT,244926973238,245458050830,242962988180,11.83163,12.14325,11.77132,128309220981,90512000000,33337150093,32,30
2025-06-30,MSFT,279211174019,281212832748,277927281803,13.4186,13.68553,13.1722,146269591111,100246477238,38003592225,31,34
2026-06-30,MSFT,327590077717,329691682052,324547755250,16.50136,16.80051,16.00921,171613714559,122462279916,44588472415,38,27
2027-06-30,MSFT,378047032471,385376969058,362882342727,19.01027,20.17686,16.89013,198046460907,141962569750,51456197319,40,31
2028-06-30,MSFT,440189769470,440271989760,440107549180,22.51362,27.68153,19.84007,230601005916,166572818200,59914480714,31,18
2029-06-30,MSFT,521837647784,535162193432,502275870744,26.76087,27.64917,25.45675,273373655750,199769894576,71027620023,15,8
2030-06-30,MSFT,643734000000,660171033826,619602776363,33.405,34.51385,31.7771,337231163098,249368325033,87619002082,15,13
