date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,PEP,20624251791,24749102149,16499401433,1.25,1.5,1,3940166774,2079584554,10065793214,8,8
1998-12-30,PEP,20316169310,24379403172,16252935447,1.2,1.44,0.96,3516248912,2017988043,9867493478,11,11
1999-12-30,PEP,19695360506,23634432607,15756288404,1.15,1.38,0.92,4528906842,1978953763,8799004105,7,7
2000-12-30,PEP,24805536705,29766644046,19844429363,1.37,1.65,1.09,4590574480,2471458485,8888698718,20,20
2001-12-30,PEP,22853025623,27423630747,18282420498,1.58,1.89,1.27,4955168983,2580555990,10450362740,13,13
2002-12-30,PEP,25086782295,30104138754,20069425836,1.94,2.32,1.56,5541586240,2998705651,8512944471,7,7
2003-12-30,PEP,21058684227,25270421072,16846947381,2.22,2.66,1.78,6492038089,3730246547,9771069438,8,8
2006-12-30,PEP,34378667423,41254400908,27502933938,2.86,3.43,2.29,8196750517,5521029212,12494920150,13,13
2007-12-30,PEP,38048144548,45657773457,30438515638,3.12,3.75,2.49,8695179736,5428215803,13680858269,10,10
2008-12-30,PEP,43356888807,52028266568,34685511045,3.69,4.43,2.95,8583959694,5154528322,15938763616,18,18
2009-12-30,PEP,42045829634,50454995561,33636663707,3.49,4.2,2.78,9774556151,5761689291,14604336018,12,12
2010-12-30,PEP,57272722988,68727267585,45818178390,4.05,4.86,3.24,11332588361,6258123147,22584629429,20,20
2011-12-30,PEP,65857901535,79029481842,52686321227,4.33,5.19,3.47,12297749661,6386913601,24888249787,17,17
2012-12-30,PEP,63403605281,76084326338,50722884223,3.84,4.6,3.08,11467544751,5974541681,24144787132,18,18
2013-12-30,PEP,62174149495,74608979394,49739319595,3.79,4.54,3.04,11542439860,6263022762,23632522872,14,14
2014-12-30,PEP,62715812503,75258975005,50172650000,4.07,4.88,3.26,11441762720,6081044829,24473465994,20,20
2015-12-30,PEP,63165725000,64231825801,61862024709,4.58165,4.68218,4.45872,10296979670,5224363850,23818393132,11,10
2016-12-30,PEP,62808200000,63868266552,61511878797,4.80095,4.90629,4.67213,10997190793,6615709104,24187103068,10,11
2017-12-30,PEP,63424490909,64494959119,62115449855,5.22422,5.33885,5.08405,10154820384,4623896665,23499160445,11,10
2018-12-30,PEP,64679773684,65771428352,63344824394,5.65711,5.78123,5.50532,12796778095,12332092604,24584236677,11,10
2019-12-30,PEP,66762854593,67889667160,65384911841,5.52225,5.64341,5.37408,12450733550,7086675965,25962369310,4,8
2020-12-30,PEP,69658687877,70834375846,68220976972,5.5141,5.63509,5.36615,11980244621,6701836585,27049443408,6,10
2021-12-30,PEP,78377390124,79700230927,76759730764,6.244,6.381,6.07647,13950388649,7092871750,29554701933,7,5
2022-12-30,PEP,85308733208,86748560089,83548015346,6.77634,6.92502,6.59452,16966275834,9190518594,33041011418,7,6
2023-12-27,PEP,92054000000,93426123604,90565797366,6.92543,7.05963,6.77988,16192715933,9519000000,36740856753,7,6
2024-12-27,PEP,92077445046,92397749235,91697083820,8.14576,8.3036,8.11578,16196840023,11271904378,36750214207,12,15
2025-12-27,PEP,93459086840,93698776739,93199422781,8.11397,8.2712,8.10398,16439877079,11241561078,37301659046,14,15
2026-12-27,PEP,98560724632,99423971634,97065099011,8.62453,8.6745,8.57456,17337278295,11841479698,39337839368,15,12
2027-12-27,PEP,101656599069,102830370123,100613247020,9.19965,9.36069,8.68632,17881856644,12389272373.5,40573473661,17,14
2028-12-27,PEP,105332900634,105438062977,105227738291,9.85431,10.9149,8.11513,18528534756,12216000000,42040769695,12,5
2029-12-27,PEP,106863622617,108456493095,105135998346,9.94221,10.13486,9.73326,18797795692,13650654339,42651715848,7,1
2030-12-27,PEP,112485000000,114161660695,110666497021,10.67,10.87676,10.44575,19786621459,14649910010,44895336127,11,1
