date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,PPG,7305056216,8766067459,5844044972,2,2.4,1.6,1137786571,706751819,1057337327,19,19
1998-12-30,PPG,7391729338,8870075205,5913383470,2.04,2.45,1.63,1248323973,789468749,1115978622,10,10
1999-12-30,PPG,7463946697,8956736036,5971157358,1.72,2.07,1.37,905655855,544132852,1183629684,13,13
2000-12-30,PPG,8498199320,10197839184,6798559456,1.79,2.14,1.44,1318674015,600529709,1309996168,8,8
2001-12-30,PPG,7467290520,8960748624,5973832415,1.15,1.38,0.92,923528618,356707069,1265111110,10,10
2002-12-30,PPG,7682163423,9218596107,6145730738,1.27,1.53,1.01,334989058,-26556699,1347284150,16,16
2003-12-30,PPG,8348771073,10018525288,6679016858,1.38,1.65,1.11,1089251838,465913168,1500918682,9,9
2004-12-30,PPG,8694060832,10432872999,6955248665,1.7,2.04,1.36,1228441062,614811219,1545402866,16,16
2005-12-30,PPG,10014681189,12017617427,8011744950,2.18,2.61,1.75,1197630008,586424618,1737361724,17,17
2006-12-30,PPG,9415635670,11298762804,7532508536,2.3,2.77,1.83,1239558518,660027886,1879497167,18,18
2007-12-30,PPG,11773369491,14128043389,9418695593,2.47,2.97,1.97,1493722222,801730158,2120740078,8,8
2008-12-30,PPG,15243463153,18292155784,12194770520,2.07,2.49,1.65,1188320332,514140543,3245306452,13,13
2009-12-30,PPG,10164304864,12197165837,8131443891,1.065,1.27,0.86,909178796,309331369,2328338981,13,13
2010-12-30,PPG,11965841094,14359009313,9572672875,2.04,2.44,1.64,1509937557,676602965,2614858312,10,10
2011-12-30,PPG,14360440066,17232528080,11488352052,3.16,3.79,2.53,2077475439,1054730193,3115419661,9,9
2012-12-30,PPG,13231384614,15877661537,10585107691,3.82,4.59,3.05,1929680213,933918716,3260093048,18,18
2013-12-30,PPG,13649921997,16379906396,10919937597,3.79,4.54,3.04,4084801468,3126489854,3531154892,12,12
2014-12-30,PPG,14193447105,17032136526,11354757683,4.5,5.39,3.61,2884659342,1998315804,3592320978,11,11
2015-12-30,PPG,15413105882,15630481562,14902129127,5.6883,5.79259,5.44315,2452836495,1389051071,3633804971,5,4
2016-12-30,PPG,15018994444,15230811851,14521083309,5.90025,6.00843,5.64596,1687837809,867449413,4595574837,4,5
2017-12-30,PPG,14710285714,14917749309,14222608920,5.87431,5.98201,5.62114,2755964381,1583376682,3600366666,5,4
2018-12-30,PPG,15396247619,15613385542,14885829751,5.84045,5.94753,5.58874,2279650870,1325325918,3524083171,5,4
2019-12-30,PPG,15151273297,15364956273,14648976841,6.24346,6.35793,5.97438,2181706213,1189052905,3455850546,14,8
2020-12-30,PPG,13678697959,13871612761,13225220461,5.68765,5.79193,5.44253,1869691136,1012691722,3069309554,15,11
2021-12-30,PPG,16659730308,16894687508,16107425341,6.69945,6.82228,6.41072,2374139433,1367614601,3617410624,15,15
2022-12-30,PPG,17602625122,17850880252,17019061216,5.96403,6.07338,5.70699,2011980698,1082317836,3727075239,14,8
2023-12-31,PPG,18099000000,18502306295,17627399817,6.12903,6.30658,5.92142,3989030055,1388489405.5,3888346072,9,12
2024-12-31,PPG,17767644929,18059412597,17435633443,8.15434,8.20437,8.0843,3915999206,1849578486.5,3817158537,11,14
2025-12-31,PPG,15731868439,15801965879,15641743158,7.64422,7.70425,7.6042,3467312892,1738274504.5,3379797163,16,11
2026-12-31,PPG,16424140449,16654479004,16113684135,7.91456,8.50889,7.67683,3619890042,1837888513.5,3528523233,16,13
2027-12-31,PPG,16875619908,17184441759,16447254113,8.62706,9.28916,8.39977,3719396376,2008578010,3625518006,15,12
2028-12-31,PPG,17415571826,17452964263,17378179389,9.43726,10.41225,8.66076,3838402091,2165740294.5,3741519990,13,4
2029-12-31,PPG,17452332899,17841229286,16997582726,9.85751,10.14307,9.5236,3846504252,2238640530,3749417652,12,2
