date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,SO,14614528899,17537434679,11691623119,2.15,2.58,1.72,1839814501,1120088311,0,16,16
1998-12-30,SO,11256510029,13507812035,9005208023,1.71,2.05,1.37,1507458522,919859945,0,18,18
1999-12-30,SO,11446238586,13735486303,9156990868,1.7,2.04,1.36,1953553804,1242076087,0,17,17
2000-12-30,SO,3522306796,4226768154,2817845436,1.83,2.19,1.47,1717558351,1202918768,0,17,17
2001-12-30,SO,9907485949,11888983138,7925988759,1.53,1.85,1.21,1789476189,1240293237,0,8,8
2002-12-30,SO,9636909235,11564291082,7709527387,1.47,1.76,1.18,1643492537,1154028146,0,15,15
2003-12-30,SO,9459607331,11351528798,7567685864,1.49,1.78,1.2,1804148256,1270696253,0,14,14
2004-12-30,SO,10619695442,12743634530,8495756354,1.82,2.19,1.45,1991714814,1431222729,0,14,14
2005-12-30,SO,13206337467,15847604960,10565069973,1.95,2.35,1.55,2081220517,1518717659,0,10,10
2006-12-30,SO,14201157978,17041389574,11360926381,2.05,2.46,1.64,3059772909,1544841127,0,12,12
2007-12-30,SO,14391472007,17269766408,11513177605,1.99,2.39,1.59,3787857683,1634166617,0,15,15
2008-12-30,SO,16162786025,19395343230,12930228819,2.13,2.56,1.7,3990066868,1645816088,0,20,20
2009-12-30,SO,15430440123,18516528148,12344352097,2.24,2.69,1.79,5195681081,1679088965,197073170,14,14
2010-12-30,SO,16198182650,19437819180,12958546120,2.02,2.43,1.61,5233512531,1836146296,0,8,8
2011-12-30,SO,17059080689,20470896826,13647264551,2.38,2.85,1.91,6144661058,2173274038,0,16,16
2012-12-30,SO,16489821409,19787785691,13191857127,2.66,3.19,2.13,6705870028,2405415619,0,19,19
2013-12-30,SO,17120398389,20544478067,13696318709,2.77,3.32,2.22,5672501927,1707154106,0,14,14
2014-12-30,SO,17534017979,21040821575,14027214383,2.53,3.04,2.02,5807649886,1932517092,0,16,16
2015-12-30,SO,18549678571,19719425084,17564006891,2.86479,3.09964,2.6669,6819075391,2419196719,0,15,14
2016-12-30,SO,19091153846,20295045901,18076709870,2.9027,3.14066,2.70219,7565846976,2367822352,0,14,15
2017-12-30,SO,22313328571,23720411621,21127668347,2.95551,3.1978,2.75135,5649501914,745814467,0,15,14
2018-12-30,SO,22964860000,24413028755,21744579441,3.0432,3.29268,2.83298,7433133134,2108233101,0,15,14
2019-12-30,SO,22059121257,23450173942,20886968812,3.09858,3.3526,2.88454,11006378413,4494927902,0,6,7
2020-12-30,SO,21157238088,22491417836,20033008882,3.19341,3.4552,2.97282,8439202041,2889974319,0,7,10
2021-12-30,SO,21887192801,23267403643,20724176094,3.39347,3.67166,3.15906,7822314474,2176330352,0,7,5
2022-12-30,SO,26411524446,28077040564,25008098960,3.58364,3.87742,3.33609,8745454751,2285404145,0,6,7
2023-12-31,SO,26134000000,27192121145,24445682807,4.21399,4.43579,3.86009,11298610394,4608000000,0,5,12
2024-12-31,SO,26151406029,26328971215,25835734586,4.04631,4.06629,3.99636,11306135608,4470739428.5,0,10,14
2025-12-31,SO,28502528431,29510687918,26995183177,4.28921,4.3192,4.24922,12322605188,4751188894,0,13,12
2026-12-31,SO,30713635270,32027212227,28838529231,4.56142,4.59123,4.52167,13278541314,5068486790,0,13,13
2027-12-31,SO,32402448676,33598444765,30231565017,4.91709,4.94701,4.88717,14008672358,5453052814,0,14,13
2028-12-31,SO,34398572082,34595390776,34201753388,5.36141,5.42869,5.19823,14871663889,5892627145,0,14,5
2029-12-31,SO,35870330186,37322658756,33553023414,5.75634,6.05932,5.27291,15507954599,6383781065,0,9,1
2030-12-31,SO,37801944014,39332480338,35359850496,6.15469,6.47864,5.6378,16343056461,6825551216,0,13,1
