date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,T,24685210430,29622252516,19748168344,1.83,2.2,1.46,7446708073,1087152174,6915748002,11,11
1998-12-30,T,29510310016,35412372019,23608248012,2.01,2.42,1.6,12260007036,3947989629,4113292500,18,18
1999-12-30,T,53126740750,63752088900,42501392600,2.21,2.64,1.78,21893569355,7966920363,11938076006,14,14
2000-12-30,T,51447743002,61737291603,41158194401,2.24,2.68,1.8,24268669895,7999183486,11560789493,7,7
2001-12-30,T,44762185883,53714623060,35809748706,2.23,2.68,1.78,21474811704,7069970491,10058482220,15,15
2002-12-30,T,43368936246,52042723494,34695148997,2.27,2.71,1.83,18724350281,5707790960,9745405983,19,19
2003-12-30,T,39397032206,47276438647,31517625763,1.45,1.74,1.16,19224969355,7699671982,9516517197,10,10
2004-12-30,T,38063164618,45675797542,30450531694,1.29,1.54,1.04,15402264519,5442998737,9305194444,10,10
2005-12-30,T,39900614348,47880737218,31920491478,1.4,1.67,1.13,13289534007,4304344858,9872449558,9,9
2006-12-30,T,59284897932,71141877518,47427918346,2.06,2.48,1.64,21161722064,6878026642,14566244504,19,19
2007-12-30,T,115881949450,139058339340,92705559560,2.63,3.15,2.11,42090538047,11634216050,30062238316,17,17
2008-12-30,T,125790586054,150948703264,100632468843,2.91,3.49,2.33,43929811700,13085956446,31972773781,10,10
2009-12-30,T,115877610061,139053132074,92702088048,1.88,2.26,1.5,39215584019,11765897353,29528943430,7,7
2010-12-30,T,119091755882,142910107059,95273404705,2.1,2.53,1.67,39110133527,19333499024,31749123780,9,9
2011-12-30,T,126971964284,152366357141,101577571427,2.2,2.64,1.76,28104654711,3727833268,39103202207,15,15
2012-12-30,T,123650034198,148380041038,98920027357,2.17,2.6,1.74,30072673016,6622097786,40231780450,7,7
2013-12-30,T,126866337974,152239605568,101493070379,2.44,2.93,1.95,48772136651,17831748958,28170608008,9,9
2014-12-30,T,132411958121,158894349745,105929566496,2.51,3.02,2,31747529696,6348684556,39568107059,17,17
2015-12-30,T,147314318182,148214819069,145973236300,2.03686,2.05305,2.01275,44298961997,12685525812,31454526380,9,8
2016-12-30,T,164031291667,165033979834,162538026138,2.14344,2.16047,2.11807,49616565217,12810652174,35980000000,12,13
2017-12-30,T,160078961538,161057489957,158621676207,2.19783,2.2153,2.17182,43163449132,25361205844,32361071415,8,7
2018-12-30,T,173933692308,174996911730,172350279872,2.65022,2.67128,2.61886,60625759915,19315679546,36741977525,8,7
2019-12-30,T,181316454008,182424802672,179665832301,2.67057,2.69179,2.63896,53615883574,13808180570,39081130144,10,7
2020-12-30,T,170568886453,171611537537,169016105664,2.38125,2.40017,2.35307,34479949651,-4806269302,37395680707,7,10
2021-12-30,T,168313606641,169342471683,166781356883,2.55251,2.57279,2.5223,50083485828,18269674087,34336256409,7,6
2022-12-30,T,121467751732,122210258092,120361965118,2.60241,2.62309,2.57161,51116909794,17325169699,37626350766,8,7
2023-12-31,T,122197000000,124543671779,120273737362,1.74107,1.78454,1.70545,64937160516,12520000000,27909368778,11,10
2024-12-31,T,122140679699,123348905847,121611456675,2.15855,2.19762,2.12925,64907231137,15531299867,27896505417,15,15
2025-12-31,T,125024810998,125395062159,124644553048,2.05889,2.07888,2.01891,66439898036,14709017207,28555230951,16,13
2026-12-31,T,128456620899,129639167416,126332045799,2.29713,2.33743,2.20645,68263608851,16310257262,29339044368,18,14
2027-12-31,T,131424782611,134392406760,129036694490,2.54247,2.61309,2.43149,69840930663,18107519912,30016962155,16,13
2028-12-31,T,134372996535,134580001277,134165991792,2.88488,2.91527,2.86448,71407651948,20746412627,30690323936,13,6
2029-12-31,T,137633000000,140276104798,135466789646,3.224,3.30449,3.15803,73140062468,23145096003,31434897362,12,4
2030-12-31,T,141883666667,144608401288,139650554929,3.43333,3.51904,3.36308,75398924990,24647876073,32405734810,6,2
