date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,USB,675095000,810114000,540076000,0.75,0.9,0.6,188803525,197390000,148920000,17,17
1998-12-30,USB,2050000000,2460000000,1640000000,0.9,1.08,0.72,1927600000,404800000,514700000,19,19
1999-12-30,USB,3178962281,3814754737,2543169825,1.16,1.4,0.92,3067111538,629360793,740968734,10,10
2000-12-30,USB,11725420000,14070504000,9380336000,1.52,1.82,1.22,6084398000,1592000000,1924878000,11,11
2001-12-30,USB,11768200000,14121840000,9414560000,1.33,1.6,1.06,7309000000,1706500000,2713300000,18,18
2002-12-30,USB,11966217021,14359460425,9572973617,1.82,2.19,1.45,7735847826,3270497826,2761686956,7,7
2003-12-30,USB,12433803083,14920563699,9947042466,1.97,2.36,1.58,7695941647,3711063305,2666260575,18,18
2004-12-30,USB,12572895833,15087474999,10058316666,2.16,2.59,1.73,8214377827,4145989614,2775849998,12,12
2005-12-30,USB,12990922042,15589106450,10392737633,2.37,2.84,1.9,9983012503,4451081967,3023038066,10,10
2006-12-30,USB,13481537518,16177845021,10785230014,2.57,3.08,2.06,12288009298,4712692870,3184451493,20,20
2007-12-30,USB,14549480688,17459376825,11639584550,2.66,3.19,2.13,13090886988,4463119527,3502398658,19,19
2008-12-30,USB,17615736828,21138884194,14092589462,2.16,2.59,1.73,10204697931,3313571103,4565897573,14,14
2009-12-30,USB,14581799999,17498159999,11665439999,0.76,0.92,0.6,5186997701,1917241379,3278225287,14,14
2010-12-30,USB,16756826302,20108191562,13405461042,1.49,1.79,1.19,6821630008,3226772017,4336888509,9,9
2011-12-30,USB,17857921955,21429506346,14286337563,2.14,2.56,1.72,9033270342,4586579302,4894580254,15,15
2012-12-30,USB,19639792271,23567750725,15711833817,2.77,3.32,2.22,10344698660,5523638393,5712650446,10,10
2013-12-30,USB,19314407894,23177289473,15451526315,2.99,3.59,2.39,10037253333,5816586667,5848253333,7,7
2014-12-30,USB,19743723953,23692468743,15794979162,3.02,3.63,2.41,9794428571,5792935064,5887194804,11,11
2015-12-30,USB,20151033333,20287137193,20023169578,3.15514,3.18284,3.12911,9858000000,5879000000,6340000000,5,4
2016-12-30,USB,21087333333,21229761139,20953528501,3.23543,3.26384,3.20874,9997838144,5794581700,6660189245,4,5
2017-12-30,USB,21949134783,22097383357,21809861588,3.42701,3.4571,3.39874,9975253447,6143984523,7383944375,5,4
2018-12-30,USB,22498761905,22650722764,22356001177,4.09969,4.13569,4.06587,12218669627,7008573271,7725279236,5,4
2019-12-30,USB,23077468605,23233338158,22931035827,4.33443,4.37249,4.29868,13810993264,7058872526,8264721099,6,4
2020-12-30,USB,23320943263,23478457289,23172965572,3.05982,3.08669,3.03458,7333701055,4319118625,6923391582,11,2
2021-12-30,USB,22838134854,22992387902,22693220713,5.13645,5.18155,5.09408,9471923690,6468340142,7578126671,6,4
2022-12-30,USB,24489960651,24655370440,24334565229,4.35174,4.38995,4.31584,10598442868,7238692505,9217051670,6,3
2023-12-31,USB,25106000000,25588381921,24777755847,3.15029,3.22898,3.09675,6918419302,4905000000,7847218919,5,12
2024-12-31,USB,27461701524,27471735028,27451668019,3.84242,3.91103,3.71499,7567576113,5933043563,8583525203,9,14
2025-12-31,USB,28598063400,28698021678,28488109293,4.54915,4.58914,4.51916,7880721494,7086257404,8938710434,8,15
2026-12-31,USB,30393273958,30853172182,30073344758,5.05171,5.15174,4.84164,8375424727,7789556680,9499827707,8,15
2027-12-31,USB,32147918302,32938112933,31707809899,5.61225,5.88236,5.28212,8858949196,8440179520,10048265462,8,15
2028-12-31,USB,33575321441,33689263516,33461379365,6.15662,6.6121,5.49654,9252296341,8782411090,10494419566,3,6
