date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1998-01-30,WMT,113130833333,135756999999,90504666666,0.72,0.87,0.57,7543882353,3287411764,18285352941,15,15
1999-01-30,WMT,127611578946,153133894735,102089263156,0.85,1.02,0.68,8883152405,3967724598,20531994652,20,20
2000-01-30,WMT,144292942084,173151530500,115434353667,1.02,1.22,0.82,10442069263,4790937228,23271192639,15,15
2001-01-30,WMT,183953557141,220744268569,147162845713,1.34,1.6,1.08,13754238095,6067642857,29827619047,13,13
2002-01-30,WMT,212016000000,254419200000,169612800000,1.46,1.75,1.17,14768000000,6487000000,34838000000,11,11
2003-01-30,WMT,225433697672,270520437206,180346958136,1.67,2.01,1.33,16292741666,7562322221,39208649999,13,13
2004-01-30,WMT,256564711974,307877654369,205251769578,1.98,2.38,1.58,18547473403,8904297744,44100171225,11,11
2005-01-30,WMT,277975965161,333571158193,222380772129,2.25,2.71,1.79,20528363666,9736336901,49065382067,18,18
2006-01-30,WMT,303639671858,364367606230,242911737486,2.5,3,2,22459652635,10718881978,54851266140,13,13
2007-01-30,WMT,330352966461,396423559753,264282373168,2.69,3.22,2.16,23582305395,10672404013,60859746337,18,18
2008-01-30,WMT,370554932366,444665918838,296443945892,3.01,3.62,2.4,27330433830,12556551505,68139090720,11,11
2009-01-30,WMT,395999246707,475199096049,316799397364,3.31,3.97,2.65,29445214734,13460984418,74465717368,19,19
2010-01-30,WMT,392182282466,470618738958,313745825972,3.32,3.98,2.66,28850303148,13100342562,76406650623,19,19
2011-01-30,WMT,409783371040,491740045248,327826696832,3.74,4.48,3,31151678676,14626438304,79069617594,12,12
2012-01-30,WMT,434479458905,521375350686,347583567124,4.26,5.11,3.41,34310951737,16344822505,83188901048,9,9
2013-01-30,WMT,457695039077,549234046891,366156031261,4.67,5.6,3.74,34904722423,16343406299,86587045257,8,8
2014-01-30,WMT,466698549531,560038259437,373358839624,5,5.99,4.01,35704172717,16839754637,88793791366,10,10
2015-01-30,WMT,486728481481,494535639460,482529337437,1.66214,1.6968,1.6435,35531735174,15856947680,93481272795,5,4
2016-01-30,WMT,483108454545,490857547046,478940541496,1.52525,1.55705,1.50814,34228460895,14982790583,95233660213,4,5
2017-01-30,WMT,485570733333,493359320953,481381577509,1.43859,1.46859,1.42246,30880776248,13767968019,95850963829,5,4
2018-01-30,WMT,498816857143,506817913491,494513423269,1.47931,1.51016,1.46272,29374403476,11207064726,102030384319,5,4
2019-01-30,WMT,514131071429,522377768816,509695517504,1.61226,1.64588,1.59418,20528779822,5114283294,105488914578,11,12
2020-01-30,WMT,525103983297,533526686938,520573762963,1.66275,1.69742,1.6441,31037316126,13431785447,100678409076,12,11
2021-01-30,WMT,555660597413,564573431225,550866756541,1.86247,1.90131,1.84158,35668539072,17398472480,102216093426,19,11
2022-01-30,WMT,571613501334,580782220811,566682030256,2.13819,2.18278,2.11421,21815950060,6056934109,103930415742,11,12
2023-01-30,WMT,606594020169,618694010084,594494030253,2.0287,2.071,2.00595,28517823344,14041000000,107953248441,12,11
2024-01-31,WMT,665035000000,672178428384,658274131296,1.92941,1.95635,1.90391,54239121347,15552000000,136813376076,9,12
2025-01-31,WMT,680479334662,682221611685,675643013959,2.48784,2.52797,2.42765,55498734965,19876991822,139990639778,19,27
2026-01-31,WMT,712579775968,714470544863,710438905366,2.63782,2.6678,2.60784,58116792257,21160592042,146594457244,16,23
2027-01-31,WMT,748600553508,753191534527,742415760300,2.91697,3.08856,2.82613,61054585492,23073560900,154004780286,16,26
2028-01-31,WMT,783918536392,796257233187,774458868848,3.27858,3.59131,3.10709,63935059992,25686169540,161270521901,15,24
2029-01-31,WMT,822507163228,825056127432,819958199024,3.73124,4.2699,3.51791,67082282640,28444056320,169209112073,6,8
2030-01-31,WMT,850077000000,859208044488,841434960130,3.73667,3.78885,3.68729,69330831547,29975566743,174880877389,3,3
2031-01-31,WMT,886506666667,896029017950,877494276073,4.04667,4.10318,3.99319,72301973082,32462386744,182375318563,4,4
