date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,XOM,166295685809,199554822971,133036548646,1.25,1.51,0.99,15351627779,7037760993,6816390958,14,14
1998-12-30,XOM,142870151833,171444182200,114296121466,1.19,1.43,0.95,13622255392,6048355391,7998326347,14,14
1999-12-30,XOM,210498519314,252598223177,168398815451,1.17,1.4,0.94,19176692778,7794779853,12964615475,9,9
2000-12-30,XOM,209128707268,250954448721,167302965814,1.67,2,1.34,30046900388,14368232697,9739589372,11,11
2001-12-30,XOM,256039807074,307247768489,204831845659,2.435,2.92,1.95,35483985087,16884445733,13800826635,19,19
2002-12-30,XOM,215061718139,258074061766,172049374511,1.88,2.26,1.5,27339524923,11779793780,13120897278,19,19
2003-12-30,XOM,234728546683,281674256020,187782837345,2.36,2.84,1.88,39302594985,20228187906,12721002096,20,20
2004-12-30,XOM,263515562430,316218674916,210812449943,3.17,3.81,2.53,45148146675,22352240583,12315396463,12,12
2005-12-30,XOM,355277196865,426332636238,284221757492,5.17,6.21,4.13,68285963563,35388542250,14201402641,10,10
2006-12-30,XOM,348260164358,417912197230,278608131486,5.87,7.04,4.7,74413733624,37156661242,13491496031,11,11
2007-12-30,XOM,385338656458,462406387749,308270925167,7.08,8.49,5.67,81318680143,39872533338,14648328760,13,13
2008-12-30,XOM,464544455698,557453346838,371635564558,8.54,10.24,6.84,94133495951,45090656756,15900385111,9,9
2009-12-30,XOM,317588935619,381106722743,254071148494,4.37,5.25,3.49,36341644932,19943631994,15392665967,10,10
2010-12-30,XOM,352289663975,422747596770,281831731179,5.56,6.67,4.45,49243353252,28579660552,13882847101,16,16
2011-12-30,XOM,470607851916,564729422298,376486281533,8.54,10.24,6.84,72759547545,41300585619,15062795511,7,7
2012-12-30,XOM,453262636578,543915163894,362610109262,7.89,9.47,6.31,91564666063,44828707029,13719036214,12,12
2013-12-30,XOM,440035936919,528043124303,352028749534,7.91,9.5,6.32,76402066528,33473856995,13354339526,18,18
2014-12-30,XOM,364595486990,437514584388,291676389591,6.22,7.46,4.98,62359486794,29806810678,11620881926,16,16
2015-12-30,XOM,253605909091,269447008667,234281816871,3.83737,4.14897,3.45725,35390105965,14085055991,10240478997,15,14
2016-12-30,XOM,222673454545,236582406347,205706332659,2.1502,2.3248,1.93721,27150686985,7041844061,9703445101,14,15
2017-12-30,XOM,263531099999,279992161223,243450734768,3.67067,3.96874,3.30707,38976687337,20443612242,11078301098,15,14
2018-12-30,XOM,293794500000,312145917544,271408144602,4.52649,4.89405,4.07811,46700211401,19052973646,10967420165,15,14
2019-12-30,XOM,262793856941,279208867422,242769667660,2.35151,2.54246,2.11858,37456504429,15345343802,12347505536,3,15
2020-12-30,XOM,190544786267,202446870661,176025783003,-0.32423,-0.29211,-0.35056,37671150404,-1393540540,7335618309,4,14
2021-12-30,XOM,292093171448,310338318144,269836452737,5.23946,5.66492,4.72046,49266340349,21805053137,8971296270,4,14
2022-12-30,XOM,425943490403,452549389569,393487735257,13.91563,15.04561,12.5372,55495534721,24390199974,10228304877,3,15
2023-12-31,XOM,345135000000,396285821080,317331526442,8.35412,9.96368,7.47923,75628811639,34160000000,11129758624,5,14
2024-12-31,XOM,351799171888,357079553284,345730226918,7.75461,8.09658,7.64397,77089119635,33881533882.5,11344661849,9,16
2025-12-31,XOM,331289840666,343254031270,322291647062,7.00241,7.10316,6.93188,72594946782,30210423606.5,10683286138,10,13
2026-12-31,XOM,342097375494,368402413589,319880625232,8.39475,13.08532,5.24672,74963182445,34470916390,11031802672,10,16
2027-12-31,XOM,344405010200,358296490950,331789989992,9.15522,12.67334,6.82333,75468850287,36923013170,11106218241,11,15
2028-12-31,XOM,345422228832,348281467001,342562990663,10.22516,12.80721,8.41373,75691751576,40180352660,11139021051,10,7
2029-12-31,XOM,287911000000,330580923502,264717392062,11.035,13.16108,9.87935,63089419467,47505675011,9284424747,5,2
2030-12-31,XOM,291316333333,334490945134,267848397682,12.01,14.32393,10.75224,63835624034,51703050012,9394238409,5,5
