Date,Value
1994-01-01,146.3
1994-02-01,146.7
1994-03-01,147.1
1994-04-01,147.2
1994-05-01,147.5
1994-06-01,147.9
1994-07-01,148.4
1994-08-01,149.0
1994-09-01,149.3
1994-10-01,149.4
1994-11-01,149.8
1994-12-01,150.1
1995-01-01,150.5
1995-02-01,150.9
1995-03-01,151.2
1995-04-01,151.8
1995-05-01,152.1
1995-06-01,152.4
1995-07-01,152.6
1995-08-01,152.9
1995-09-01,153.1
1995-10-01,153.5
1995-11-01,153.7
1995-12-01,153.9
1996-01-01,154.7
1996-02-01,155.0
1996-03-01,155.5
1996-04-01,156.1
1996-05-01,156.4
1996-06-01,156.7
1996-07-01,157.0
1996-08-01,157.2
1996-09-01,157.7
1996-10-01,158.2
1996-11-01,158.7
1996-12-01,159.1
1997-01-01,159.4
1997-02-01,159.7
1997-03-01,159.8
1997-04-01,159.9
1997-05-01,159.9
1997-06-01,160.2
1997-07-01,160.4
1997-08-01,160.8
1997-09-01,161.2
1997-10-01,161.5
1997-11-01,161.7
1997-12-01,161.8
1998-01-01,162.0
1998-02-01,162.0
1998-03-01,162.0
1998-04-01,162.2
1998-05-01,162.6
1998-06-01,162.8
1998-07-01,163.2
1998-08-01,163.4
1998-09-01,163.5
1998-10-01,163.9
1998-11-01,164.1
1998-12-01,164.4
1999-01-01,164.7
1999-02-01,164.7
1999-03-01,164.8
1999-04-01,165.9
1999-05-01,166.0
1999-06-01,166.0
1999-07-01,166.7
1999-08-01,167.1
1999-09-01,167.8
1999-10-01,168.1
1999-11-01,168.4
1999-12-01,168.8
2000-01-01,169.3
2000-02-01,170.0
2000-03-01,171.0
2000-04-01,170.9
2000-05-01,171.2
2000-06-01,172.2
2000-07-01,172.7
2000-08-01,172.7
2000-09-01,173.6
2000-10-01,173.9
2000-11-01,174.2
2000-12-01,174.6
2001-01-01,175.6
2001-02-01,176.0
2001-03-01,176.1
2001-04-01,176.4
2001-05-01,177.3
2001-06-01,177.7
2001-07-01,177.4
2001-08-01,177.4
2001-09-01,178.1
2001-10-01,177.6
2001-11-01,177.5
2001-12-01,177.4
2002-01-01,177.7
2002-02-01,178.0
2002-03-01,178.5
2002-04-01,179.3
2002-05-01,179.5
2002-06-01,179.6
2002-07-01,180.0
2002-08-01,180.5
2002-09-01,180.8
2002-10-01,181.2
2002-11-01,181.5
2002-12-01,181.8
2003-01-01,182.600
2003-02-01,183.600
2003-03-01,183.900
2003-04-01,183.200
2003-05-01,182.900
2003-06-01,183.100
2003-07-01,183.700
2003-08-01,184.5
2003-09-01,185.100
2003-10-01,184.9
2003-11-01,185.000
2003-12-01,185.500
2004-01-01,186.300
2004-02-01,186.700
2004-03-01,187.100
2004-04-01,187.400
2004-05-01,188.200
2004-06-01,188.900
2004-07-01,189.100
2004-08-01,189.200
2004-09-01,189.800
2004-10-01,190.8
2004-11-01,191.700
2004-12-01,191.700
2005-01-01,191.600
2005-02-01,192.400
2005-03-01,193.100
2005-04-01,193.700
2005-05-01,193.600
2005-06-01,193.700
2005-07-01,194.900
2005-08-01,196.100
2005-09-01,198.800
2005-10-01,199.100
2005-11-01,198.100
2005-12-01,198.100
2006-01-01,199.300
2006-02-01,199.400
2006-03-01,199.700
2006-04-01,200.700
2006-05-01,201.300
2006-06-01,201.800
2006-07-01,202.900
2006-08-01,203.800
2006-09-01,202.800
2006-10-01,201.900
2006-11-01,202.000
2006-12-01,203.100
