Date,Value
1994-01-03,394.7
1994-01-04,395.1
1994-01-05,392.1
1994-01-06,390.1
1994-01-07,387.2
1994-01-10,385.7
1994-01-11,388.7
1994-01-12,386.9
1994-01-13,390.6
1994-01-14,390.1
1994-01-17,392.2
1994-01-18,393.6
1994-01-19,392.7
1994-01-20,387.9
1994-01-21,381.7
1994-01-24,381.4
1994-01-25,381.6
1994-01-26,384.6
1994-01-27,377.4
1994-01-28,379
1994-01-31,383.6
1994-02-01,386.1
1994-02-02,386.5
1994-02-03,389.1
1994-02-04,388.3
1994-02-07,380.7
1994-02-08,384.1
1994-02-09,385.7
1994-02-10,383.7
1994-02-11,381.7
1994-02-14,385.6
1994-02-15,385.5
1994-02-16,385.3
1994-02-17,384.3
1994-02-18,381.6
1994-02-22,379.2
1994-02-23,378.9
1994-02-24,377.6
1994-02-25,379.8
1994-02-28,382.5
1994-03-01,379.4
1994-03-02,378.9
1994-03-03,378.3
1994-03-04,378.6
1994-03-07,376.9
1994-03-08,377.7
1994-03-09,380.1
1994-03-10,388.2
1994-03-11,386.1
1994-03-14,387.2
1994-03-15,387.6
1994-03-16,385.6
1994-03-17,383
1994-03-18,387.6
1994-03-21,386.3
1994-03-22,389.7
1994-03-23,387.4
1994-03-24,391.9
1994-03-25,391.2
1994-03-28,388.1
1994-03-29,386
1994-03-30,388.6
1994-03-31,394.3
1994-04-04,388.7
1994-04-05,386.7
1994-04-06,387.1
1994-04-07,386.1
1994-04-08,386.3
1994-04-11,379.9
1994-04-12,380.4
1994-04-13,380
1994-04-14,380.3
1994-04-15,379.4
1994-04-18,378.5
1994-04-19,373.2
1994-04-20,373.9
1994-04-21,374.7
1994-04-22,372.1
1994-04-25,374.9
1994-04-26,375.3
1994-04-28,376.8
1994-04-29,377.8
1994-05-02,377.4
1994-05-03,376.8
1994-05-04,377.7
1994-05-05,374.7
1994-05-06,384.5
1994-05-09,382.3
1994-05-10,379.8
1994-05-11,382.7
1994-05-12,380.8
1994-05-13,381.5
1994-05-16,383.7
1994-05-17,382
1994-05-18,382.5
1994-05-19,381.8
1994-05-20,386.3
1994-05-23,389.9
1994-05-24,387.3
1994-05-25,386.8
1994-05-26,383.9
1994-05-27,384.7
1994-05-31,390
1994-06-01,386.3
1994-06-02,386.8
1994-06-03,383.2
1994-06-06,382.9
1994-06-07,383.5
1994-06-08,384.1
1994-06-09,385.3
1994-06-10,385.8
1994-06-13,385.6
1994-06-14,386.4
1994-06-15,389
1994-06-16,387.5
1994-06-17,393.7
1994-06-20,390.9
1994-06-21,396.3
1994-06-22,391.4
1994-06-23,391.5
1994-06-24,392.9
1994-06-27,386.4
1994-06-28,387.9
1994-06-29,386.3
1994-06-30,387.3
1994-07-01,388.1
1994-07-05,386.9
1994-07-06,384.6
1994-07-07,385.7
1994-07-08,385.1
1994-07-11,388.1
1994-07-12,386.3
1994-07-13,384
1994-07-14,384.4
1994-07-15,386.4
1994-07-18,386.2
1994-07-19,387.1
1994-07-20,385.6
1994-07-21,384.3
1994-07-22,385
1994-07-25,384.9
1994-07-26,387.1
1994-07-27,387.7
1994-07-28,391.2
1994-07-29,389.2
1994-08-01,389.4
1994-08-02,384.4
1994-08-03,383.1
1994-08-04,383.1
1994-08-05,382.9
1994-08-08,382.3
1994-08-09,383
1994-08-10,382.6
1994-08-11,384
1994-08-12,381.5
1994-08-15,382.4
1994-08-16,382.9
1994-08-17,382.3
1994-08-18,385.9
1994-08-19,386.9
1994-08-22,386.7
1994-08-23,386.5
1994-08-24,388.6
1994-08-25,388.1
1994-08-26,388
1994-08-29,391.8
1994-08-30,390.8
1994-08-31,390.8
1994-09-01,391.3
1994-09-02,391.4
1994-09-06,392.2
1994-09-07,394.4
1994-09-08,394.6
1994-09-09,395.8
1994-09-12,394.9
1994-09-13,394.5
1994-09-14,392.9
1994-09-15,391.9
1994-09-16,393.6
1994-09-19,393.6
1994-09-20,397.2
1994-09-21,397.8
1994-09-22,399
1994-09-23,399.6
1994-09-26,397.8
1994-09-27,401.4
1994-09-28,397.9
1994-09-29,398.7
1994-09-30,397.6
1994-10-03,398.2
1994-10-04,395.7
1994-10-05,395.2
1994-10-06,395.1
1994-10-07,393.8
1994-10-10,393.4
1994-10-11,390.2
1994-10-12,390.6
1994-10-13,388.6
1994-10-14,390
1994-10-17,392.1
1994-10-18,391.3
1994-10-19,392.3
1994-10-20,393.3
1994-10-21,392.8
1994-10-24,391.4
1994-10-25,391.2
1994-10-26,391
1994-10-27,390.2
1994-10-28,388.7
1994-10-31,384.9
1994-11-01,385.7
1994-11-02,385.5
1994-11-03,384.4
1994-11-04,384.7
1994-11-07,383.3
1994-11-08,384.8
1994-11-09,384.5
1994-11-10,385.9
1994-11-11,385.7
1994-11-14,385.3
1994-11-15,387.4
1994-11-16,386.8
1994-11-17,385.9
1994-11-18,384.5
1994-11-21,383.6
1994-11-22,383.9
1994-11-23,384.7
1994-11-28,382.9
1994-11-29,386.1
1994-11-30,384.5
1994-12-01,382.3
1994-12-02,379
1994-12-05,379
1994-12-06,379.1
1994-12-07,379.2
1994-12-08,379.7
1994-12-09,379.9
1994-12-12,380.3
1994-12-13,380.3
1994-12-14,381.5
1994-12-15,382.7
1994-12-16,381.1
1994-12-19,381.7
1994-12-20,384.2
1994-12-21,383.8
1994-12-22,382.9
1994-12-23,382.3
1994-12-27,383.3
1994-12-28,385.3
1994-12-29,384.1
1994-12-30,384.4
1995-01-03,380.9
1995-01-04,375.3
1995-01-05,376.6
1995-01-06,372.2
1995-01-09,374
1995-01-10,375.1
1995-01-11,377.3
1995-01-12,381.4
1995-01-13,379.3
1995-01-16,378.3
1995-01-17,380.6
1995-01-18,382.6
1995-01-19,383.6
1995-01-20,385.4
1995-01-23,381.4
1995-01-24,381.8
1995-01-25,380.9
1995-01-26,381.7
1995-01-27,376.8
1995-01-30,379.4
1995-01-31,377.7
1995-02-01,378.7
1995-02-02,379.1
1995-02-03,378.8
1995-02-06,378.3
1995-02-07,377.3
1995-02-08,378.3
1995-02-09,378.8
1995-02-10,378.4
1995-02-13,377.9
1995-02-14,378.4
1995-02-15,378.6
1995-02-16,378.6
1995-02-17,380.6
1995-02-21,380.6
1995-02-22,381.5
1995-02-23,381
1995-02-24,378.2
1995-02-27,378
1995-02-28,378.3
1995-03-01,376.2
1995-03-02,378
1995-03-03,377.8
1995-03-06,380.2
1995-03-07,385.4
1995-03-08,380.9
1995-03-09,382.4
1995-03-10,383.1
1995-03-13,386.1
1995-03-14,386.7
1995-03-15,387.2
1995-03-16,385.6
1995-03-17,384.2
1995-03-20,383.5
1995-03-21,382.8
1995-03-22,383.5
1995-03-23,384.3
1995-03-24,382.7
1995-03-27,382.3
1995-03-28,383.2
1995-03-29,382.9
1995-03-30,388.6
1995-03-31,394.3
1995-04-03,394.9
1995-04-04,395.1
1995-04-05,397.2
1995-04-06,396.5
1995-04-07,395.7
1995-04-10,392.6
1995-04-11,393
1995-04-12,392.7
1995-04-13,392.4
1995-04-17,396.5
1995-04-18,397.8
1995-04-19,397.4
1995-04-20,394.7
1995-04-21,392.7
1995-04-24,393.1
1995-04-25,392.3
1995-04-26,388
1995-04-27,389.9
1995-04-28,388.5
1995-05-01,389.8
1995-05-02,390.6
1995-05-03,391.4
1995-05-04,393
1995-05-05,392.4
1995-05-08,390.9
1995-05-09,384.6
1995-05-10,384.5
1995-05-11,384.4
1995-05-12,384.3
1995-05-15,385.6
1995-05-16,385.5
1995-05-17,384.2
1995-05-18,384.2
1995-05-19,383.1
1995-05-22,382.8
1995-05-23,383.8
1995-05-24,384.7
1995-05-25,385.9
1995-05-26,386.6
1995-05-30,387.9
1995-05-31,387.6
1995-06-01,388.3
1995-06-02,387
1995-06-05,387.7
1995-06-06,387.8
1995-06-07,389.5
1995-06-08,389.5
1995-06-09,391.1
1995-06-12,390.2
1995-06-13,389.4
1995-06-14,390.6
1995-06-15,393.9
1995-06-16,392.7
1995-06-19,394.2
1995-06-20,393.4
1995-06-21,392.5
1995-06-22,391.9
1995-06-23,392.1
1995-06-26,391.8
1995-06-27,391
1995-06-28,388.8
1995-06-29,389.4
1995-06-30,385.6
1995-07-05,385.2
1995-07-06,385.2
1995-07-07,386.7
1995-07-10,386.6
1995-07-11,386.7
1995-07-12,390.2
1995-07-13,389.4
1995-07-14,389.6
1995-07-17,389.9
1995-07-18,390.1
1995-07-19,388.4
1995-07-20,386.3
1995-07-21,386.6
1995-07-24,387.3
1995-07-25,386.2
1995-07-26,386.5
1995-07-27,383.2
1995-07-28,389.3
1995-07-31,388.4
1995-08-01,388.9
1995-08-02,388.9
1995-08-03,390.3
1995-08-04,389.3
1995-08-07,389.6
1995-08-08,390.4
1995-08-09,390.3
1995-08-10,390
1995-08-11,389.3
1995-08-14,389.9
1995-08-15,390.9
1995-08-16,387.9
1995-08-17,389
1995-08-18,389.9
1995-08-21,389.7
1995-08-22,388.1
1995-08-23,388.4
1995-08-24,387.9
1995-08-25,387.8
1995-08-28,387.8
1995-08-29,386.9
1995-08-30,385.8
1995-08-31,386.9
1995-09-01,384.7
1995-09-05,384.1
1995-09-06,384.2
1995-09-07,386.7
1995-09-08,385.6
1995-09-11,386.6
1995-09-12,389.1
1995-09-13,388.2
1995-09-14,389.5
1995-09-15,389
1995-09-18,389.7
1995-09-19,389.3
1995-09-20,387.7
1995-09-21,388.1
1995-09-22,386.1
1995-09-25,386.3
1995-09-26,386.9
1995-09-27,386.5
1995-09-28,386.4
1995-09-29,386.5
1995-10-02,384.8
1995-10-03,385.2
1995-10-04,385.6
1995-10-05,385.1
1995-10-06,386.1
1995-10-09,387.8
1995-10-10,387.6
1995-10-11,387.4
1995-10-12,387
1995-10-13,386.4
1995-10-16,386.1
1995-10-17,386
1995-10-18,385.9
1995-10-19,383.8
1995-10-20,384.1
1995-10-23,384.2
1995-10-24,384.2
1995-10-25,384.5
1995-10-26,384.3
1995-10-27,383.9
1995-10-30,383.8
1995-10-31,384.3
1995-11-01,383.8
1995-11-02,384.2
1995-11-03,383.7
1995-11-06,383.7
1995-11-07,386.6
1995-11-08,386.2
1995-11-09,387.4
1995-11-10,390.5
1995-11-13,388.1
1995-11-14,386.5
1995-11-15,385.6
1995-11-16,386.2
1995-11-17,387.5
1995-11-20,387.1
1995-11-21,385.4
1995-11-22,382.1
1995-11-27,384.9
1995-11-28,387.9
1995-11-29,389.2
1995-11-30,388.6
1995-12-01,387.4
1995-12-04,387.3
1995-12-05,388.7
1995-12-06,390.3
1995-12-07,390.5
1995-12-08,391.4
1995-12-11,390
1995-12-12,389.8
1995-12-13,387.9
1995-12-14,387.3
1995-12-15,387.6
1995-12-18,388.6
1995-12-19,388.4
1995-12-20,389.6
1995-12-21,388.7
1995-12-22,388.2
1995-12-26,388.6
1995-12-27,387.7
1995-12-28,387.8
1995-12-29,388.1
1996-01-02,391.9
1996-01-03,396.2
1996-01-04,395.4
1996-01-05,396.5
1996-01-08,396.5
1996-01-09,396.9
1996-01-10,400.2
