Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,24.8,25.18,24.69,25.11,25.11,7724868
2002-01-03,25.09,25.13,24.89,25.13,25.13,5920015
2002-01-04,25.2,25.2,24.82,25.08,25.08,5953653
2002-01-07,25.13,25.13,24.71,24.91,24.91,4962565
2002-01-08,25.02,25.13,24.59,24.75,24.75,5976152
2002-01-09,24.66,24.99,24.5,24.61,24.61,5540644
2002-01-10,24.62,24.93,24.56,24.84,24.84,4717745
2002-01-11,24.8,25.15,24.69,25.12,25.12,8195796
2002-01-14,25.18,25.4,25.12,25.13,25.13,7162606
2002-01-15,25.29,25.31,24.79,25.07,25.07,6039863
2002-01-16,25.04,25.7,24.89,25.4,25.4,11825105
2002-01-17,25.4,25.87,25.33,25.81,25.81,10416776
2002-01-18,25.74,25.96,25.66,25.81,25.81,11701692
2002-01-22,25.74,25.91,25.65,25.84,25.84,8060354
2002-01-23,25.84,26,25.68,25.8,25.8,7488736
2002-01-24,25.72,26.02,25.54,25.78,25.78,10165496
2002-01-25,25.72,25.9,25.54,25.74,25.74,7727541
2002-01-28,25.63,25.84,25.43,25.56,25.56,6313420
2002-01-29,25.56,25.91,25.19,25.28,25.28,8629522
2002-01-30,25.28,25.61,25.19,25.39,25.39,8338144
2002-01-31,25.49,25.95,25.36,25.94,25.94,7543313
2002-02-01,25.76,26.06,25.75,25.83,25.83,5663166
2002-02-04,25.71,25.81,25.4,25.45,25.45,7366660
2002-02-05,25.45,25.74,25.41,25.63,25.63,7243247
2002-02-06,25.42,25.47,25.02,25.14,25.14,10342075
2002-02-07,25.25,25.29,24.8,24.99,24.99,6444184
2002-02-08,24.75,24.93,24.45,24.86,24.86,8815977
2002-02-11,24.62,25.13,24.52,25.03,25.03,9049882
2002-02-12,24.97,25.24,24.89,25.24,25.24,8258170
2002-02-13,25.18,25.22,24.94,25.16,25.16,8556009
2002-02-14,25.16,25.31,25.03,25.3,25.3,6181766
2002-02-15,25.3,26.03,25.27,25.78,25.78,11738003
2002-02-19,25.81,25.84,25.4,25.44,25.44,7151467
2002-02-20,25.67,25.96,25.57,25.89,25.89,6929815
2002-02-21,25.89,26.08,25.51,25.69,25.69,9663603
2002-02-22,25.5,26.03,25.5,25.9,25.9,5439063
2002-02-25,25.9,26,25.26,25.52,25.52,8094437
2002-02-26,25.52,25.55,25.29,25.4,25.4,7392055
2002-02-27,25.29,25.57,25.18,25.35,25.35,7002214
2002-02-28,25.44,25.83,25.36,25.42,25.42,8492075
2002-03-01,25.6,25.98,25.32,25.85,25.85,5702818
2002-03-04,25.85,25.94,25.69,25.79,25.79,5496759
2002-03-05,25.69,25.72,24.66,24.74,24.74,13062349
2002-03-06,25.05,25.47,24.96,25.19,25.19,7331908
2002-03-07,25.18,25.18,24.27,24.44,24.44,13871436
2002-03-08,24.62,24.69,24.14,24.32,24.32,7611257
2002-03-11,24.23,24.64,24.21,24.58,24.58,6246368
2002-03-12,24.37,24.93,24.29,24.81,24.81,6646233
2002-03-13,24.81,25.11,24.66,24.95,24.95,6470471
2002-03-14,24.95,25,24.48,24.66,24.66,8755608
2002-03-15,24.77,24.86,23.56,24.28,24.28,21623927
2002-03-18,24.39,24.41,23.81,24.06,24.06,11854733
2002-03-19,24.41,24.41,23.88,24,24,8538188
2002-03-20,23.74,23.83,23.11,23.29,23.29,18962538
2002-03-21,23.45,23.61,23.16,23.54,23.54,9781350
2002-03-22,23.58,24.27,23.49,24.14,24.14,11958987
2002-03-25,24.08,24.12,23.47,23.56,23.56,8376237
2002-03-26,23.5,23.99,23.5,23.76,23.76,7009788
2002-03-27,23.64,23.78,23.18,23.34,23.34,9347721
2002-03-28,23.38,23.95,23.29,23.65,23.65,9733106
2002-04-01,23.65,24.08,23.49,23.94,23.94,11091758
2002-04-02,23.65,24.08,23.6,24.04,24.04,7556457
2002-04-03,24.06,24.5,23.74,23.81,23.81,10056786
2002-04-04,23.92,23.94,23.49,23.74,23.74,7567372
2002-04-05,23.63,23.74,23.15,23.34,23.34,7176417
2002-04-08,23.51,23.69,23.08,23.36,23.36,8301164
2002-04-09,23.76,23.94,23.24,23.68,23.68,11642659
2002-04-10,23.56,24.59,23.52,24.54,24.54,13046087
2002-04-11,24.43,24.66,24.06,24.2,24.2,8662937
2002-04-12,24.14,24.28,23.6,24.14,24.14,9245694
2002-04-15,24.08,24.39,23.98,24.17,24.17,5612598
2002-04-16,24.17,24.62,24.06,24.43,24.43,6390943
2002-04-17,24.31,24.57,24.22,24.5,24.5,5722644
2002-04-18,24.41,24.61,24.17,24.58,24.58,6933602
2002-04-19,24.69,24.8,24.51,24.62,24.62,5128331
2002-04-22,24.64,24.83,24.39,24.45,24.45,6582077
2002-04-23,24.67,24.82,24.44,24.54,24.54,6267308
2002-04-24,24.65,24.72,24.09,24.13,24.13,6452872
2002-04-25,24.17,24.31,23.72,24,24,6788136
2002-04-26,24.12,24.54,23.92,24.33,24.33,10968791
2002-04-29,24.33,24.42,23.83,23.89,23.89,10009559
2002-04-30,24.09,24.32,23.9,24.26,24.26,7994192
2002-05-01,24.32,24.73,24.22,24.73,24.73,6729325
2002-05-02,24.71,24.73,23.57,24.28,24.28,12713943
2002-05-03,24.23,24.24,23.62,24.02,24.02,5793707
2002-05-06,24.17,24.19,23.44,23.46,23.46,5600791
2002-05-07,23.49,23.7,23.22,23.24,23.24,6161494
2002-05-08,23.4,23.65,22.59,23.56,23.56,12478479
2002-05-09,23.69,23.91,23.38,23.45,23.45,7330126
2002-05-10,23.6,23.6,23.04,23.04,23.04,7721749
2002-05-13,22.93,23.02,22.83,22.94,22.94,9277995
2002-05-14,22.88,23.28,22.74,23.26,23.26,11550657
2002-05-15,21.81,21.81,20.7,21.09,21.09,56056250
2002-05-16,20.57,20.77,19.8,20.57,20.57,46741722
2002-05-17,20.28,21.57,20.28,21.4,21.4,21649768
2002-05-20,21.29,21.57,21.02,21.14,21.14,12494963
2002-05-21,21.18,21.29,20.94,20.96,20.96,8687887
2002-05-22,21.06,21.42,21,21.4,21.4,10362421
2002-05-23,21.36,21.47,20.84,21.47,21.47,8696129
2002-05-24,21.58,21.6,21.04,21.09,21.09,6452649
2002-05-28,21.13,21.28,21,21.03,21.03,6854743
2002-05-29,21.03,21.38,21.01,21.18,21.18,7347947
2002-05-30,21.06,21.13,20.6,21.01,21.01,8321213
2002-05-31,21,21.54,20.95,21.36,21.36,12827999
2002-06-03,21.45,21.6,20.38,20.42,20.42,8669620
2002-06-04,20.42,20.52,19.88,20.08,20.08,11514569
2002-06-05,19.97,20.28,19.79,20.25,20.25,8407869
2002-06-06,20.16,20.34,19.85,20.12,20.12,8505441
2002-06-07,19.8,20.64,19.8,20.39,20.39,9469574
2002-06-10,20.39,20.83,20.24,20.53,20.53,6976819
2002-06-11,18.61,18.61,17.22,17.22,17.22,54949547
2002-06-12,17.22,17.24,15.85,16.64,16.64,45349878
2002-06-13,16.61,16.9,16.1,16.16,16.16,20392921
2002-06-14,16.07,16.72,16.01,16.52,16.52,16210260
2002-06-17,16.6,17.08,16.5,16.98,16.98,16046081
2002-06-18,16.97,17.67,16.92,17.42,17.42,15029599
2002-06-19,17.53,17.62,16.83,16.93,16.93,12484493
2002-06-20,16.75,17.17,16.7,16.94,16.94,11371330
2002-06-21,16.64,16.95,16.24,16.24,16.24,14615921
2002-06-24,16.3,16.89,16.08,16.73,16.73,15146105
2002-06-25,17.26,17.76,17.13,17.13,17.13,15422113
2002-06-26,17.13,17.35,16.6,17.06,17.06,14430803
2002-06-27,17.02,17.68,16.93,17.6,17.6,10064583
2002-06-28,17.67,17.92,16.9,16.93,16.93,14548033
2002-07-01,17.12,17.4,16.68,16.77,16.77,10643552
2002-07-02,16.88,16.94,16.34,16.54,16.54,11167944
2002-07-03,16.64,16.77,16.4,16.68,16.68,10273315
2002-07-05,16.73,16.86,16.7,16.85,16.85,5298052
2002-07-08,16.73,16.77,16.58,16.64,16.64,10129853
2002-07-09,16.64,16.77,15.86,15.92,15.92,11252818
