Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,1406.18,1406.18,1377.15,1393.79,1393.79,341099
2002-01-03,1385.83,1391.14,1332.73,1390.78,1390.78,575350
2002-01-04,1390.43,1392.91,1369.9,1376.98,1376.98,351528
2002-01-07,1372.55,1376.09,1350.43,1359.28,1359.28,372490
2002-01-08,1369.9,1370.78,1345.12,1348.66,1348.66,427222
2002-01-09,1355.74,1388.84,1355.74,1375.21,1375.21,355094
2002-01-10,1371.67,1379.63,1362.82,1378.75,1378.75,234550
2002-01-11,1384.94,1390.25,1371.67,1381.4,1381.4,248675
2002-01-14,1376.98,1381.4,1365.47,1372.02,1372.02,282665
2002-01-15,1372.2,1396.09,1371.67,1394.5,1394.5,237284
2002-01-16,1396.45,1399.99,1388.13,1393.26,1393.26,264545
2002-01-17,1399.99,1411.49,1394.68,1409.01,1409.01,290603
2002-01-18,1409.01,1415.92,1405.3,1407.07,1407.07,259156
2002-01-22,1407.07,1407.07,1395.56,1399.1,1399.1,195265
2002-01-23,1394.68,1398.22,1365.65,1366.36,1366.36,327917
2002-01-24,1368.13,1376.98,1362.11,1369.54,1369.54,306977
2002-01-25,1362.82,1386.36,1355.74,1380.69,1380.69,303276
2002-01-28,1371.67,1380.52,1344.94,1356.98,1356.98,320537
2002-01-29,1364.59,1365.47,1279.1,1289.19,1289.19,695906
2002-01-30,1289.19,1292.02,1176.98,1261.76,1261.76,1411316
2002-01-31,1274.32,1314.15,1273.44,1312.38,1312.38,596566
2002-02-01,1312.38,1312.38,1276.27,1296.45,1296.45,321611
2002-02-04,1280.52,1296.27,1246.01,1250.61,1250.61,335093
2002-02-05,1249.9,1264.59,1228.13,1241.58,1241.58,479802
2002-02-06,1243.35,1256.62,1231.49,1252.2,1252.2,385390
2002-02-07,1234.5,1264.06,1207.78,1258.57,1258.57,542665
2002-02-08,1299.1,1329.19,1288.48,1309.72,1309.72,560655
2002-02-11,1312.38,1325.12,1310.61,1312.55,1312.55,228488
2002-02-12,1309.72,1314.68,1299.99,1309.19,1309.19,205989
2002-02-13,1313.26,1369.54,1307.95,1364.23,1364.23,379463
2002-02-14,1364.23,1369.37,1345.65,1365.83,1365.83,285083
2002-02-15,1348.66,1364.41,1310.25,1314.15,1314.15,457608
2002-02-19,1315.92,1317.69,1284.24,1287.6,1287.6,314661
2002-02-20,1290.25,1308.84,1249.55,1304.77,1304.77,364603
2002-02-21,1261.93,1277.86,1240.7,1257.33,1257.33,727087
2002-02-22,1239.63,1251.32,1217.69,1244.77,1244.77,499385
2002-02-25,1256.62,1273.08,1251.49,1265.47,1265.47,439499
2002-02-26,1265.47,1286.71,1262.82,1283.17,1283.17,300571
2002-02-27,1286.71,1324.06,1284.06,1304.94,1304.94,341466
2002-02-28,1307.07,1330.08,1304.41,1309.19,1309.19,336590
2002-03-01,1304.77,1304.94,1283.17,1304.94,1304.94,409384
2002-03-04,1309.72,1336.8,1302.11,1335.92,1335.92,363682
2002-03-05,1323.88,1346.89,1323.17,1338.75,1338.75,282637
2002-03-06,1338.92,1358.39,1318.39,1347.77,1347.77,304345
2002-03-07,1346,1347.77,1299.63,1323,1323,358484
2002-03-08,1329.19,1334.5,1313.26,1321.4,1321.4,260755
2002-03-11,1309.72,1315.03,1291.14,1299.28,1299.28,284344
2002-03-12,1287.6,1308.84,1287.24,1308.31,1308.31,250657
2002-03-13,1303.88,1311.49,1297.33,1308.31,1308.31,227844
2002-03-14,1309.54,1329.72,1309.54,1323.17,1323.17,289412
2002-03-15,1327.42,1334.5,1326.36,1334.5,1334.5,392356
2002-03-18,1335.21,1342.82,1304.23,1314.15,1314.15,311243
2002-03-19,1315.92,1325.47,1303,1308.84,1308.84,218792
2002-03-20,1304.41,1306.89,1287.95,1292.2,1292.2,267784
2002-03-21,1287.77,1298.04,1278.04,1281.4,1281.4,256461
2002-03-22,1271.67,1280.52,1263.7,1278.57,1278.57,333120
2002-03-25,1276.09,1281.93,1247.78,1251.14,1251.14,272988
2002-03-26,1252.91,1276.8,1252.91,1267.07,1267.07,257709
2002-03-27,1265.47,1292.02,1265.47,1279.46,1279.46,234635
2002-03-28,1271.67,1286.54,1270.25,1276.8,1276.8,227053
2002-04-01,1265.47,1268.84,1246.18,1254.85,1254.85,270202
2002-04-02,1259.28,1287.6,1253.62,1278.57,1278.57,373513
2002-04-03,1277.86,1283.17,1266.36,1269.9,1269.9,364817
2002-04-04,1269.01,1295.56,1268.31,1294.68,1294.68,300554
2002-04-05,1299.1,1322.82,1299.1,1313.26,1313.26,322635
2002-04-08,1305.3,1323.88,1301.05,1316.62,1316.62,240720
2002-04-09,1321.05,1336.98,1317.33,1332.02,1332.02,297429
2002-04-10,1330.08,1336.62,1317.86,1325.47,1325.47,299594
2002-04-11,1325.47,1325.65,1286.36,1288.48,1288.48,345698
2002-04-12,1292.2,1311.85,1292.02,1305.3,1305.3,236888
2002-04-15,1303.53,1306.89,1263.7,1278.75,1278.75,234583
2002-04-16,1288.48,1296.27,1274.15,1285.12,1285.12,260376
2002-04-17,1280.7,1298.04,1273.97,1291.67,1291.67,216849
2002-04-18,1290.08,1292.02,1249.37,1274.32,1274.32,307627
2002-04-19,1279.63,1282.29,1246.01,1252.91,1252.91,315544
2002-04-22,1249.55,1252.02,1194.5,1233.79,1233.79,765955
2002-04-23,1233.79,1241.58,1203.53,1205.65,1205.65,412821
2002-04-24,1204.41,1240.7,1204.41,1209.55,1209.55,420385
2002-04-25,1219.46,1244.24,1203,1209.55,1209.55,539156
2002-04-26,1219.46,1229.19,1204.24,1216.09,1216.09,343048
2002-04-29,1212.38,1227.78,1208.13,1208.31,1208.31,317098
2002-04-30,1221.23,1238.57,1210.43,1223.35,1223.35,357234
2002-05-01,1243.35,1253.08,1212.73,1249.72,1249.72,401238
2002-05-02,1249.72,1267.24,1248.66,1265.65,1265.65,366773
2002-05-03,1261.23,1261.23,1244.06,1249.9,1249.9,287847
2002-05-06,1250.43,1261.58,1230.96,1230.96,1230.96,209261
2002-05-07,1230.08,1234.32,1190.61,1197.33,1197.33,423047
2002-05-08,1218.57,1242.64,1214.5,1238.04,1238.04,368457
2002-05-09,1236.27,1237.69,1218.93,1222.82,1222.82,233646
2002-05-10,1222.82,1223.7,1203.53,1208.84,1208.84,240359
2002-05-13,1212.38,1221.05,1200.34,1209.9,1209.9,279638
2002-05-14,1212.38,1219.28,1191.14,1204.77,1204.77,501000
2002-05-15,1195.92,1196.09,1159.28,1166.36,1166.36,913094
2002-05-16,1166.36,1219.28,1161.05,1216.09,1216.09,609036
2002-05-17,1211.67,1234.5,1211.49,1232.2,1232.2,388232
2002-05-20,1227.78,1227.95,1200.34,1202.64,1202.64,280073
2002-05-21,1201.76,1209.72,1181.4,1184.59,1184.59,240409
2002-05-22,1189.37,1204.41,1185.83,1203.7,1203.7,249975
2002-05-23,1206.36,1214.86,1195.56,1208.84,1208.84,224030
2002-05-24,1208.84,1210.61,1189.37,1199.99,1199.99,193440
2002-05-28,1196.45,1200.87,1183.17,1186.71,1186.71,179264
2002-05-29,1186.89,1200.87,1184.94,1187.24,1187.24,163201
2002-05-30,1181.76,1203.53,1177.69,1187.6,1187.6,279377
2002-05-31,1188.48,1193.62,1179.63,1185.3,1185.3,304785
2002-06-03,1185.3,1190.08,1138.04,1142.47,1142.47,388175
2002-06-04,1141.58,1148.66,1123.88,1141.58,1141.58,480360
2002-06-05,1148.66,1155.92,1146.18,1151.67,1151.67,346495
2002-06-06,1148.66,1157.51,1125.3,1132.73,1132.73,340087
2002-06-07,1115.03,1161.05,1115.03,1150.43,1150.43,427154
2002-06-10,1149.55,1172.02,1139.63,1143.35,1143.35,331703
2002-06-11,1145.65,1153.97,1107.95,1115.03,1115.03,321498
2002-06-12,1117.69,1148.31,1117.69,1136.27,1136.27,371395
2002-06-13,1134.33,1141.58,1112.2,1112.2,1112.2,270280
2002-06-14,1113.44,1151.32,1093.79,1140.87,1140.87,422567
2002-06-17,1164.77,1224.77,1158.57,1217.69,1217.69,566174
2002-06-18,1217.86,1224.77,1194.68,1218.75,1218.75,382316
2002-06-19,1212.38,1218.04,1193.79,1210.25,1210.25,351348
