Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,43.24,43.46,42.19,43.45,43.45,1398056
2002-01-03,43.61,44.62,43.61,44.41,44.41,2267761
2002-01-04,44.99,45.55,44.8,45.16,45.16,1658930
2002-01-07,46.53,46.79,45.58,46.58,46.58,3413340
2002-01-08,46.37,46.64,45.47,45.93,45.93,2172280
2002-01-09,45.93,46.9,45.68,46.06,46.06,1761769
2002-01-10,46.53,48.44,46.26,48.07,48.07,4671854
2002-01-11,48.07,49.29,47.48,47.59,47.59,2924332
2002-01-14,47.02,47.03,46.37,46.65,46.65,3043211
2002-01-15,46.74,47.52,46.21,46.37,46.37,3823473
2002-01-16,46.19,46.53,45.36,45.82,45.82,2257854
2002-01-17,45.94,46.11,45.31,45.32,45.32,2883668
2002-01-18,45.32,45.52,44.94,45.42,45.42,2458250
2002-01-22,45.58,45.65,45.05,45.33,45.33,1731578
2002-01-23,45.33,45.5,45.07,45.3,45.3,1727898
2002-01-24,45.84,46,45.47,45.58,45.58,3964240
2002-01-25,45.31,45.32,44.78,45.13,45.13,3580526
2002-01-28,45.14,45.25,44.52,45.06,45.06,2866213
2002-01-29,45.05,45.47,41.81,42.42,42.42,5278044
2002-01-30,42.77,43.46,41.18,42.64,42.64,4640435
2002-01-31,43.03,43.46,42.17,43.43,43.43,2502028
2002-02-01,43.46,43.49,42.78,43.03,43.03,2397679
2002-02-04,43.03,43.03,40.97,41.03,41.03,3223134
2002-02-05,41.07,41.44,39.75,39.96,39.96,4106803
2002-02-06,39.85,40.01,38.53,39.15,39.15,3820266
2002-02-07,39.11,40.49,39.11,39.66,39.66,2496178
2002-02-08,39.85,40.53,39.67,40.41,40.41,1932163
2002-02-11,40.4,41.07,39.76,40.97,40.97,1999999
2002-02-12,40.7,40.97,40.33,40.9,40.9,1845740
2002-02-13,40.81,41.81,40.65,41.33,41.33,2591187
2002-02-14,41.6,41.81,40.7,41.44,41.44,1015850
2002-02-15,41.44,41.87,40.8,41.02,41.02,1948768
2002-02-19,40.54,40.55,38.58,38.81,38.81,3930655
2002-02-20,39.2,39.66,38.37,39.58,39.58,2214171
2002-02-21,39.64,40.06,39.11,39.27,39.27,1562128
2002-02-22,39.22,39.63,38.61,39.35,39.35,2174544
2002-02-25,39.69,40.52,39.42,40.28,40.28,2438720
2002-02-26,40.12,40.69,39.8,40.37,40.37,1695065
2002-02-27,40.78,41.65,40.22,40.73,40.73,1889895
2002-02-28,40.75,41.34,39.84,39.89,39.89,2465421
2002-03-01,39.91,41,39.91,40.89,40.89,1622228
2002-03-04,41.28,42.87,41.23,42.78,42.78,2281158
2002-03-05,42.78,43.57,42.57,42.95,42.95,2211906
2002-03-06,42.82,43.99,42.71,43.93,43.93,2224832
2002-03-07,43.99,44.52,43.47,43.61,43.61,2049721
2002-03-08,44.3,44.49,43.55,43.55,43.55,2252476
2002-03-11,43.56,44.98,43.56,44.73,44.73,1737333
2002-03-12,44.25,44.67,43.7,44.36,44.36,1677139
2002-03-13,44.36,44.87,44.01,44.51,44.51,2599396
2002-03-14,44.36,45.07,44.13,44.52,44.52,1668553
2002-03-15,45.05,46.14,44.83,46.01,46.01,2586942
2002-03-18,46.58,46.58,45.26,45.98,45.98,2210774
2002-03-19,46.64,47.37,46.37,46.44,46.44,2301443
2002-03-20,46.26,46.28,45.15,45.23,45.23,1968393
2002-03-21,45.42,45.42,44.23,44.88,44.88,2095197
2002-03-22,44.88,45.63,44.42,44.94,44.94,1554203
2002-03-25,44.95,45.31,44.42,44.44,44.44,1842815
2002-03-26,44.78,45.62,44.72,45.01,45.01,2959901
2002-03-27,45.05,46.36,45.01,45.86,45.86,1943202
2002-03-28,46.37,46.37,44.41,44.54,44.54,2904330
2002-04-01,43.61,43.83,43.03,43.77,43.77,2198226
2002-04-02,43.46,43.86,43.32,43.46,43.46,1820832
2002-04-03,42.5,42.89,41.79,41.87,41.87,3270119
2002-04-04,41.86,41.86,41.07,41.55,41.55,3241532
2002-04-05,41.44,42.01,41.25,41.37,41.37,2637135
2002-04-08,41.23,41.64,40.86,41.44,41.44,1690442
2002-04-09,41.28,41.46,40.81,41.18,41.18,2133786
2002-04-10,41.18,41.52,40.44,40.64,40.64,2938390
2002-04-11,40.44,40.44,38.68,38.83,38.83,3555052
2002-04-12,39.32,40.44,39.22,40.22,40.22,4161713
2002-04-15,40.37,40.62,39.64,39.67,39.67,2832153
2002-04-16,40.06,40.9,40.03,40.77,40.77,2160864
2002-04-17,39.48,40.97,38.95,40.52,40.52,3605245
2002-04-18,40.78,40.78,39.6,39.91,39.91,2410604
2002-04-19,40.38,40.38,39.59,39.74,39.74,2189357
2002-04-22,39.74,39.74,39.28,39.46,39.46,1743466
2002-04-23,39.53,39.59,39.11,39.24,39.24,1971789
2002-04-24,39.11,39.46,38.57,38.62,38.62,2216718
2002-04-25,38.62,39.35,38.21,39.27,39.27,2993584
2002-04-26,39.43,39.73,38.97,39.04,39.04,1878196
2002-04-29,38.37,39.16,38.3,38.3,38.3,2130389
2002-04-30,38.47,39.27,38,38.78,38.78,1770355
2002-05-01,38.42,38.79,37.94,38.61,38.61,2295593
2002-05-02,38.88,39.32,38.34,39.22,39.22,1756675
2002-05-03,39.38,39.38,37.92,38.39,38.39,2446174
2002-05-06,38.53,38.71,36.84,37.03,37.03,2809887
2002-05-07,37.73,38.26,37.09,37.1,37.1,2988678
2002-05-08,38.26,39.16,38.07,38.57,38.57,4386450
2002-05-09,38.54,38.55,37.66,37.86,37.86,3103877
2002-05-10,37.73,37.75,36.9,36.93,36.93,2083781
2002-05-13,36.83,37.47,36.73,37.32,37.32,1719784
2002-05-14,38.16,38.32,37.35,37.71,37.71,3185296
2002-05-15,37.73,39.64,37.57,39.22,39.22,4490046
2002-05-16,39.69,39.91,39,39.67,39.67,3453439
2002-05-17,40.23,40.4,39.64,39.84,39.84,2057458
2002-05-20,39.69,39.79,39.4,39.43,39.43,1861496
2002-05-21,39.75,40.21,39.21,39.26,39.26,2101235
2002-05-22,39.48,39.63,38.64,38.94,38.94,1394659
2002-05-23,39.27,39.54,38.93,39.11,39.11,1585149
2002-05-24,39,39.23,38.48,38.68,38.68,1555995
2002-05-28,38.78,38.78,37.73,38.23,38.23,2097839
2002-05-29,38.23,38.83,38.1,38.34,38.34,1526653
2002-05-30,38.07,38.47,37.66,38.32,38.32,1950561
2002-05-31,38.17,39.05,38.17,38.47,38.47,1570714
2002-06-03,38.21,38.69,37.52,37.57,37.57,1386262
2002-06-04,37.36,37.57,36.38,36.73,36.73,2742145
2002-06-05,37.04,37.26,36.57,37.1,37.1,1770544
2002-06-06,36.46,36.62,35.85,35.93,35.93,2884989
2002-06-07,35.61,36.3,35.56,35.91,35.91,2016227
2002-06-10,35.82,36.41,35.51,36.05,36.05,1466270
2002-06-11,36.25,36.78,35.02,35.24,35.24,2795169
2002-06-12,35.24,35.77,34.98,35.69,35.69,4139729
2002-06-13,34.99,35.68,34.8,35.03,35.03,2204830
2002-06-14,34.87,35.88,33.93,35.56,35.56,3051514
2002-06-17,36.04,37.47,36.04,37.44,37.44,2588074
2002-06-18,36.88,37.85,36.68,37.41,37.41,2434569
2002-06-19,36.94,37.18,36.52,36.7,36.7,2353429
2002-06-20,36.46,36.77,35.53,35.75,35.75,2366544
2002-06-21,35.01,35.8,35.01,35.72,35.72,3620907
2002-06-24,35.4,36.37,35.24,35.9,35.9,3371355
2002-06-25,36.25,36.77,35.57,35.57,35.57,2070855
2002-06-26,34.18,35.22,33.97,34.67,34.67,3249646
2002-06-27,34.98,36.04,34.87,35.93,35.93,2740069
2002-06-28,35.82,36.57,35.72,35.77,35.77,2160203
2002-07-01,35.92,36.3,34.98,35.09,35.09,2116143
2002-07-02,35.4,35.41,34.64,34.64,34.64,2779884
2002-07-03,34.45,34.55,32.87,33.45,33.45,3245117
2002-07-05,33.65,35.54,33.65,35.53,35.53,1218699
2002-07-08,35.51,35.72,34.92,35.1,35.1,2278516
2002-07-09,34.74,35.18,33.92,33.93,33.93,1749032
2002-07-10,34.19,34.71,32.92,33.05,33.05,2937918
2002-07-11,32.86,34.25,32.48,34,34,3868005
2002-07-12,33.87,34.88,33.68,33.96,33.96,2967166
2002-07-15,33.28,33.56,31.69,33.13,33.13,4677328
2002-07-16,32.43,33.49,32.13,32.73,32.73,2845268
2002-07-17,33.92,33.94,31.59,32.3,32.3,3309463
2002-07-18,32.5,32.75,31.48,31.56,31.56,3249268
2002-07-19,30.84,31.74,30.56,31.1,31.1,4031887
2002-07-22,30.9,31.48,29.68,30.29,30.29,3702707
2002-07-23,29.78,30.21,28.2,29.57,29.57,5561277
2002-07-24,28.67,31.64,28.51,31.64,31.64,4691764
2002-07-25,31.37,31.71,30,31.09,31.09,3330691
2002-07-26,30.95,31.79,30.75,31.4,31.4,2861496
2002-07-29,31.96,34.02,31.96,33.91,33.91,3206528
2002-07-30,33.33,34.44,32.8,33.95,33.95,2671006
2002-07-31,33.44,34.23,33.27,33.94,33.94,2866968
2002-08-01,33.67,33.92,32.44,32.75,32.75,3028870
2002-08-02,32.75,32.96,32.15,32.58,32.58,2232191
2002-08-05,32.58,32.58,31.3,31.43,31.43,2104632
2002-08-06,32.07,33.36,32.01,32.49,32.49,2772053
2002-08-07,33.28,33.65,32.33,32.73,32.73,2943673
2002-08-08,32.99,35.51,32.91,35.32,35.32,3137182
2002-08-09,34.92,35.77,34.29,35.38,35.38,2745353
2002-08-12,34.61,35.61,34.22,35.32,35.32,1447872
2002-08-13,34.43,35.4,34.03,34.18,34.18,2324726
2002-08-14,34.09,35.69,33.38,35.55,35.55,1818096
2002-08-15,35.43,36.14,35.18,35.85,35.85,2279177
2002-08-16,35.29,35.91,35.14,35.57,35.57,1789036
2002-08-19,35.56,36.74,35.53,36.74,36.74,1618171
2002-08-20,36.73,36.88,35.78,36.57,36.57,2326728
2002-08-21,36.57,37.41,36.15,37.1,37.1,2267195
2002-08-22,37.09,37.68,36.68,37.63,37.63,1870648
2002-08-23,37.1,37.38,36.63,36.93,36.93,1366072
2002-08-26,37.1,37.74,36.44,37.54,37.54,1444758
2002-08-27,37.89,38.16,37.18,37.38,37.38,2142277
2002-08-28,37.1,37.21,36.39,36.94,36.94,1883290
2002-08-29,36.57,37.23,35.95,36.77,36.77,2218133
2002-08-30,36.57,37.73,36.52,37.26,37.26,1826115
2002-09-03,36.35,36.51,34.13,34.18,34.18,3562411
2002-09-04,34.48,35.33,34.09,35.17,35.17,2497405
2002-09-05,34.18,35.35,33.81,34.63,34.63,1962826
2002-09-06,35.18,35.7,34.98,35.31,35.31,1462213
2002-09-09,34.92,35.86,34.56,35.72,35.72,2331635
2002-09-10,35.77,35.82,34.98,35.44,35.44,1731106
2002-09-11,36.33,36.35,35.32,35.38,35.38,1049816
2002-09-12,34.92,35.06,33.76,33.97,33.97,1526936
2002-09-13,33.49,34.61,33.42,34.52,34.52,2216341
2002-09-16,34.08,34.51,33.68,34.31,34.31,1369751
2002-09-17,35.11,35.22,33.75,33.86,33.86,1932918
2002-09-18,33.12,33.23,32.11,32.92,32.92,3398905
2002-09-19,31.92,32.08,31.43,31.49,31.49,3091989
2002-09-20,31.43,31.71,30.59,30.76,30.76,4967262
2002-09-23,30.5,31.16,29.49,30.79,30.79,3245023
2002-09-24,30.07,30.82,29.26,29.45,29.45,3397112
2002-09-25,29.73,31.27,29.36,30.84,30.84,3334748
2002-09-26,31,31.52,30.63,31.37,31.37,2936314
2002-09-27,31.27,31.69,30.53,30.61,30.61,2860269
2002-09-30,30.01,30.9,29.06,30.46,30.46,3166808
2002-10-01,30.38,30.91,29.36,30.82,30.82,4120955
2002-10-02,30.51,30.51,28.25,28.36,28.36,5300687
2002-10-03,28.37,28.37,24.27,25.38,25.38,12859799
2002-10-04,25.32,25.38,23.55,23.93,23.93,5886308
2002-10-07,23.85,24.08,22.1,22.1,22.1,4720540
2002-10-08,22.52,24.53,22.48,24.17,24.17,6324181
2002-10-09,23.63,23.63,22.65,22.79,22.79,3497311
2002-10-10,22.47,24.91,22.43,24.43,24.43,4709031
2002-10-11,25.33,25.97,24.78,25.18,25.18,4866593
2002-10-14,24.38,25.12,24.28,24.71,24.71,2729219
2002-10-15,26.92,26.92,25.79,26.48,26.48,4389661
2002-10-16,25.97,26.71,25.62,26.56,26.56,3458250
2002-10-17,28.3,28.56,27.83,28.34,28.34,4551372
2002-10-18,28.34,29.06,27.84,28.64,28.64,3834512
2002-10-21,28.62,29.23,27.91,29.07,29.07,2595716
2002-10-22,28.61,29.04,28.27,28.8,28.8,2963581
2002-10-23,28.56,29.31,27.58,29.02,29.02,3013680
2002-10-24,29.41,29.68,27.81,28.07,28.07,2711765
2002-10-25,27.82,29.06,27.56,28.85,28.85,1822247
2002-10-28,29.47,29.57,28.72,28.92,28.92,2442871
2002-10-29,28.92,28.98,27.5,27.73,27.73,3296160
2002-10-30,27.98,28.41,27.72,28.03,28.03,3542939
2002-10-31,28.13,28.25,27.29,27.56,27.56,3863666
2002-11-01,27.56,28.42,27.06,28.09,28.09,3086517
2002-11-04,28.67,29.1,28.2,28.35,28.35,2582130
2002-11-05,28.1,28.67,28,28.24,28.24,1911595
