Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,480.07,490.44,479.02,489.58,489.58,1174943
2002-01-03,486.6,493.32,482.28,489.96,489.96,1231030
2002-01-04,490.92,499.08,490.92,499.08,499.08,1286658
2002-01-07,498.98,501,491.02,493.22,493.22,1095163
2002-01-08,489,490.06,472.68,475.08,475.08,2066714
2002-01-09,481.32,485.64,476.72,477.87,477.87,1350955
2002-01-10,479.88,482.76,474.99,478.44,478.44,956994
2002-01-11,480.84,481.71,470.19,470.96,470.96,899261
2002-01-14,470.96,473.07,465.49,469.13,469.13,1147843
2002-01-15,474.12,477.96,468.75,477.2,477.2,1098435
2002-01-16,473.16,474.89,460.69,468.94,468.94,1264070
2002-01-17,480.84,482.28,477,478.92,478.92,1607695
2002-01-18,478.92,482.95,477.96,479.5,479.5,1326950
2002-01-22,484.68,485.16,470.86,472.2,472.2,1296619
2002-01-23,476.43,479.79,467.41,475.08,475.08,1023521
2002-01-24,479.4,485.26,474.6,478.92,478.92,1197147
2002-01-25,476.04,481.71,472.88,476.24,476.24,1008090
2002-01-28,478.63,480.75,465.77,473.26,473.26,1076367
2002-01-29,473.26,476.04,443.89,448.31,448.31,2350075
2002-01-30,446.29,457.81,433.91,455.89,455.89,2405005
2002-01-31,458.1,458.29,443.89,454.93,454.93,1561663
2002-02-01,451.19,454.93,441.49,446.19,446.19,1492303
2002-02-04,441.49,441.59,422.2,425.18,425.18,2303543
2002-02-05,436.69,436.69,414.14,429.97,429.97,2038800
2002-02-06,429.97,435.45,417.5,422.3,422.3,1644621
2002-02-07,419.9,435.16,417.98,423.64,423.64,1678785
2002-02-08,429.49,439.86,427.96,436.6,436.6,1590983
2002-02-11,436.69,440.53,431.89,439.86,439.86,1151334
2002-02-12,440.05,440.05,432.37,433.33,433.33,1065885
2002-02-13,435.73,442.93,432.47,435.25,435.25,1438664
2002-02-14,436.21,441.01,428.82,437.17,437.17,1244471
