Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,26.18,26.3,25.5,25.82,25.82,4030200
2002-01-03,25.83,26.18,25.73,26.17,26.17,3149000
2002-01-04,26.2,27.02,26.2,26.93,26.93,5030600
2002-01-07,26.88,27.05,26.53,26.57,26.57,2739800
2002-01-08,26.19,26.19,25.5,25.68,25.68,6399000
2002-01-09,25.93,26.42,25.73,25.78,25.78,3375800
2002-01-10,25.7,25.9,25.39,25.57,25.57,2487000
2002-01-11,25.68,25.95,25.41,25.41,25.41,2428000
2002-01-14,25.38,25.63,25.21,25.25,25.25,2803600
2002-01-15,25.25,25.45,24.85,24.88,24.88,3242400
2002-01-16,24.88,24.88,24.01,24.01,24.01,4496600
2002-01-17,24.05,24.82,24.05,24.66,24.66,3986600
2002-01-18,24.66,24.79,24.48,24.49,24.49,3320800
2002-01-22,24.5,24.68,24.09,24.09,24.09,3211600
2002-01-23,23.85,24.43,23.38,24.38,24.38,5761000
2002-01-24,24.38,24.93,24.3,24.55,24.55,2495400
2002-01-25,24.65,25.14,24.45,25.05,25.05,2583600
2002-01-28,25.07,25.69,25.05,25.42,25.42,3452200
2002-01-29,25.42,25.5,24.85,24.85,24.85,3274600
2002-01-30,24.73,25.11,24,25.1,25.1,5645200
2002-01-31,25.05,25.21,24.56,25.14,25.14,3247000
2002-02-01,25.25,25.32,24.86,25.26,25.26,2875400
2002-02-04,25.15,25.57,24.52,24.52,24.52,2927000
2002-02-05,24.51,24.95,24.33,24.39,24.39,3406400
2002-02-06,24.39,24.57,23.85,24.31,24.31,5272800
2002-02-07,24.25,24.32,23.71,23.71,23.71,2981600
2002-02-08,23.8,24.25,23.66,24.25,24.25,2533600
2002-02-11,24.13,24.98,24.1,24.89,24.89,3458800
2002-02-12,24.8,25.3,24.55,25.12,25.12,4191200
2002-02-13,25.12,25.57,25.06,25.39,25.39,4430200
2002-02-14,25.43,25.73,25.24,25.27,25.27,2685000
2002-02-15,25.38,25.39,24.9,24.96,24.96,3136200
2002-02-19,24.9,25.1,24.5,24.95,24.95,3483600
2002-02-20,25.1,25.74,24.97,25.55,25.55,5018600
2002-02-21,25.63,26.29,25.54,25.94,25.94,4004800
2002-02-22,25.65,26.45,25.65,26.34,26.34,4282000
2002-02-25,26.75,28.1,26.75,28.03,28.03,10458000
2002-02-26,28.05,28.4,27.53,27.98,27.98,6491800
2002-02-27,28.03,28.21,27.68,27.95,27.95,3990000
2002-02-28,27.95,28.15,27.66,27.75,27.75,4525000
2002-03-01,27.7,28.45,27.38,28.17,28.17,5744400
2002-03-04,28.2,29.6,28.19,29.54,29.54,6646000
2002-03-05,29.48,29.65,28.55,29,29,7229800
2002-03-06,28.9,29.62,28.86,29.51,29.51,5500200
2002-03-07,29.85,29.9,29.19,29.26,29.26,4782000
2002-03-08,29.57,29.97,29.5,29.67,29.67,5518000
2002-03-11,29.54,29.75,29.38,29.55,29.55,3407400
2002-03-12,29.2,29.65,29.2,29.46,29.46,4690400
2002-03-13,29.35,29.45,28.75,28.75,28.75,4973000
2002-03-14,28.84,29.8,28.84,29.33,29.33,5973000
2002-03-15,29.44,30,29.4,29.89,29.89,7082600
2002-03-18,29.89,29.89,29.4,29.56,29.56,4261200
2002-03-19,29.79,29.97,29.5,29.65,29.65,4446200
2002-03-20,29.63,29.88,29,29.02,29.02,4366800
2002-03-21,28.78,28.93,28.3,28.55,28.55,4823400
2002-03-22,28.55,29,28.18,28.57,28.57,3561000
2002-03-25,28.82,28.93,27.95,27.97,27.97,4208000
2002-03-26,27.93,28.7,27.82,28.13,28.13,4717000
2002-03-27,28.2,29,28.15,28.75,28.75,4481000
2002-03-28,28.89,28.92,28.43,28.43,28.43,3043000
2002-04-01,28.5,28.62,28,28.46,28.46,2571800
2002-04-02,28.46,28.48,28.1,28.2,28.2,3016600
2002-04-03,28.07,28.08,27.2,27.46,27.46,4972000
2002-04-04,27.46,28.28,27.45,27.71,27.71,5235800
2002-04-05,27.9,28.88,27.9,28.68,28.68,4895400
2002-04-08,28.68,28.96,28.21,28.88,28.88,3595200
2002-04-09,28.96,29.42,28.8,28.94,28.94,3133400
2002-04-10,29.18,29.81,29.06,29.75,29.75,4472000
2002-04-11,29.53,29.8,29.12,29.21,29.21,3746400
2002-04-12,29.55,29.6,28.93,28.99,28.99,3429400
2002-04-15,29.05,29.15,28.53,29,29,3042600
2002-04-16,29,29,28.21,28.32,28.32,8827000
2002-04-17,28.25,28.43,27.63,27.9,27.9,6017200
2002-04-18,27.73,27.73,27.25,27.46,27.46,4835600
2002-04-19,27.7,27.73,27.39,27.52,27.52,2665600
2002-04-22,27.52,27.55,26.8,26.92,26.92,3961600
2002-04-23,26.95,27,26.53,26.55,26.55,4493600
2002-04-24,26.6,27.41,26.5,26.5,26.5,2973400
2002-04-25,26.5,26.84,26.11,26.8,26.8,4477200
2002-04-26,27.07,27.25,26.57,27.07,27.07,4913800
2002-04-29,27.08,27.16,26.45,26.45,26.45,3202400
2002-04-30,26.6,27.57,26.45,27.31,27.31,4513600
2002-05-01,27.31,27.4,26.54,27.07,27.07,4887800
2002-05-02,27.2,27.57,26.98,27.32,27.32,3114800
2002-05-03,27.32,27.43,26.65,27,27,3797400
2002-05-06,26.75,26.82,26.1,26.2,26.2,4039800
2002-05-07,26.45,26.48,26.06,26.31,26.31,3821000
2002-05-08,26.93,27.6,26.88,27.51,27.51,4473600
2002-05-09,27.5,27.5,26.76,26.93,26.93,3082000
