Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,20.24,20.5,20.11,20.36,20.36,6062601
2002-01-03,20.3,21.14,20.07,21.1,21.1,14154074
2002-01-04,21.4,22.03,21.32,21.88,21.88,14601841
2002-01-07,22.03,22.03,21.21,21.21,21.21,7524800
2002-01-08,21.23,21.35,20.6,20.64,20.64,6991883
2002-01-09,20.42,20.9,19.78,20.24,20.24,22515284
2002-01-10,20,20.05,17.44,18.49,18.49,37915743
2002-01-11,18.31,18.69,17.82,18.01,18.01,20898573
2002-01-14,17.27,17.27,15.45,16.1,16.1,40941426
2002-01-15,16.23,16.51,15.69,15.75,15.75,23158877
2002-01-16,15.54,15.57,14.09,14.97,14.97,39865183
2002-01-17,15.12,15.72,14.29,15.65,15.65,31716420
2002-01-18,15.78,16.16,15.48,15.97,15.97,22835233
2002-01-22,16.34,16.37,15.58,15.72,15.72,11128062
2002-01-23,15.81,16.01,15.36,15.78,15.78,8992712
2002-01-24,16.02,16.71,15.7,16.67,16.67,12360171
2002-01-25,16.58,17.56,16.28,17.21,17.21,15248630
2002-01-28,17.21,17.48,16.46,16.7,16.7,8256905
2002-01-29,16.96,16.99,16.37,16.7,16.7,6860882
2002-01-30,16.4,16.97,16.17,16.93,16.93,8490026
2002-01-31,16.67,17.86,16.44,17.59,17.59,13880814
2002-02-01,17.86,17.97,17.38,17.6,17.6,9250854
2002-02-04,17.69,17.83,17.51,17.58,17.58,6175968
2002-02-05,17.58,17.68,16.97,17.13,17.13,6008852
2002-02-06,17.09,17.62,17.06,17.38,17.38,6082920
2002-02-07,17.38,17.65,17.33,17.48,17.48,3951597
2002-02-08,17.41,17.82,16.82,17.82,17.82,7338039
2002-02-11,17.51,18.34,17.44,18.11,18.11,7308305
2002-02-12,18.11,18.16,17.77,17.82,17.82,3894158
2002-02-13,18.12,18.27,17.83,17.86,17.86,3545823
2002-02-14,17.86,17.97,17.58,17.75,17.75,3756100
2002-02-15,18.04,18.22,18.01,18.2,18.2,7347945
2002-02-19,17.77,17.99,17.69,17.72,17.72,8041925
2002-02-20,17.62,17.82,17.56,17.71,17.71,5062104
2002-02-21,17.74,18.1,17.65,17.65,17.65,7431609
2002-02-22,17.65,18.46,17.56,18.1,18.1,7085937
2002-02-25,18.16,18.33,17.95,18.05,18.05,4258614
2002-02-26,18.13,18.35,18.01,18.1,18.1,3995095
2002-02-27,18.16,18.37,18.02,18.12,18.12,3643237
2002-02-28,18.13,19.16,18.08,18.62,18.62,9229685
2002-03-01,18.5,19.18,18.5,19.17,19.17,7931583
2002-03-04,19.32,19.95,19.19,19.89,19.89,7139014
2002-03-05,19.74,19.79,18.82,18.94,18.94,6473580
2002-03-06,19.05,19.41,18.83,19.27,19.27,4295901
2002-03-07,19.4,19.51,19.08,19.29,19.29,3517944
2002-03-08,19.44,19.62,19.2,19.28,19.28,4172288
2002-03-11,19.44,19.49,19.08,19.44,19.44,4120726
2002-03-12,19.35,19.41,19.05,19.29,19.29,3796410
2002-03-13,19.17,19.5,19.06,19.1,19.1,4652967
2002-03-14,19.2,19.47,18.94,19.35,19.35,3994426
2002-03-15,19.41,19.69,19.32,19.59,19.59,5078898
2002-03-18,19.59,19.94,19.53,19.58,19.58,4757771
2002-03-19,19.73,20.33,19.67,20.24,20.24,5586286
2002-03-20,20.32,20.54,19.96,20.07,20.07,4509034
2002-03-21,20.2,20.2,19.68,19.72,19.72,4545816
2002-03-22,19.78,19.91,19.36,19.42,19.42,3501484
2002-03-25,19.47,19.49,19.07,19.18,19.18,3643741
2002-03-26,19.21,19.69,18.91,19.47,19.47,3983509
2002-03-27,19.62,20.03,19.48,19.76,19.76,4940168
2002-03-28,19.71,19.8,19.41,19.48,19.48,3818577
2002-04-01,19.38,19.5,18.91,19.39,19.39,3339576
2002-04-02,19.15,19.34,18.96,19.05,19.05,3774742
2002-04-03,19.14,19.24,18.58,18.65,18.65,4914641
2002-04-04,18.46,18.59,17.97,18.5,18.5,5738450
2002-04-05,18.69,19.31,18.68,19.04,19.04,4433287
2002-04-08,18.76,19.11,18.4,19.03,19.03,2808675
2002-04-09,19.11,19.49,18.87,19.41,19.41,4480817
2002-04-10,19.35,19.98,19.18,19.95,19.95,5673117
2002-04-11,19.95,20.13,19.55,19.62,19.62,5953935
2002-04-12,19.77,19.8,19.33,19.66,19.66,3462183
2002-04-15,19.81,19.81,19.21,19.35,19.35,2541631
2002-04-16,19.38,20,19.37,19.85,19.85,2656679
2002-04-17,19.85,20.03,19.53,19.79,19.79,2993090
