Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,28.35,28.48,27.71,28.46,28.46,2607600
2002-01-03,28.46,29,28.32,28.95,28.95,1931400
2002-01-04,28.95,29.5,28.88,29.2,29.2,3104200
2002-01-07,29.2,29.23,28.89,28.91,28.91,2403600
2002-01-08,28.91,29.15,28.63,28.91,28.91,2310400
2002-01-09,28.99,29.88,28.99,29.25,29.25,3179400
2002-01-10,29.18,29.49,27.89,28.04,28.04,4100400
2002-01-11,27.8,28,27.38,27.5,27.5,5112000
2002-01-14,27.3,27.5,27.07,27.2,27.2,2757400
2002-01-15,26.87,27.41,26.43,27.31,27.31,7078000
2002-01-16,26.75,26.83,26,26,26,5810800
2002-01-17,26.25,27.3,25.75,26.89,26.89,7242000
2002-01-18,26.89,27.65,26.66,27,27,3887200
2002-01-22,27.18,27.45,27.04,27.07,27.07,2775400
2002-01-23,27.15,27.89,26.7,27.36,27.36,3306400
2002-01-24,27.54,28.14,27.53,27.96,27.96,4163400
2002-01-25,27.91,28.19,27.85,27.95,27.95,2411000
2002-01-28,28.05,28.5,28.03,28.29,28.29,1980200
2002-01-29,28.25,28.5,27.83,28,28,4110200
2002-01-30,28,28.68,27.75,28.56,28.56,4439800
2002-01-31,28.68,28.99,28.38,28.97,28.97,2292800
2002-02-01,28.8,29.38,28.65,29.26,29.26,2626200
2002-02-04,29.2,29.25,28.08,28.29,28.29,3524800
2002-02-05,28,28.31,27,27.28,27.28,9336800
2002-02-06,27.38,28.07,27.07,28,28,5520200
2002-02-07,27.93,28.1,27.35,27.36,27.36,3505400
2002-02-08,27.2,27.71,26.86,27.23,27.23,3988800
2002-02-11,27.32,28.66,27.3,28.57,28.57,3775600
2002-02-12,29.05,29.07,28.6,28.8,28.8,4312200
2002-02-13,28.61,29.45,28.6,29.32,29.32,3092400
2002-02-14,29.38,29.43,28.93,29.28,29.28,2516800
2002-02-15,29.28,29.84,29.1,29.42,29.42,4690600
2002-02-19,29.15,29.49,28.95,29.24,29.24,3618600
2002-02-20,29.03,29.07,27.88,29.02,29.02,4607800
2002-02-21,28.8,29.2,28.37,28.46,28.46,3594600
2002-02-22,28.3,29.04,27.42,28.86,28.86,5336000
2002-02-25,28.86,29.96,28.85,29.9,29.9,4041800
2002-02-26,29.9,29.9,28.88,29.32,29.32,4516200
2002-02-27,29.38,30.15,29.08,29.35,29.35,3627000
2002-02-28,29.26,29.45,28.79,28.8,28.8,4953000
2002-03-01,29,30,28.82,29.7,29.7,4213800
2002-03-04,30.05,31.73,29.96,31.68,31.68,7333400
2002-03-05,31.4,31.7,30.62,30.75,30.75,5636000
2002-03-06,31.06,32.2,30.98,31.99,31.99,3565600
2002-03-07,32.3,32.3,31.41,32.07,32.07,5072200
2002-03-08,32.3,32.82,32.23,32.56,32.56,4394200
2002-03-11,32.6,33.05,32.46,32.75,32.75,4677600
2002-03-12,32.3,32.51,31.95,32.4,32.4,3959600
2002-03-13,32.43,32.44,31.64,31.92,31.92,4502400
2002-03-14,31.9,32.18,31.75,31.86,31.86,2081800
2002-03-15,31.95,32.35,31.69,32.28,32.28,4261400
2002-03-18,32.35,32.51,31.95,32.45,32.45,2566600
2002-03-19,32.25,32.72,32.17,32.4,32.4,2637400
2002-03-20,32.3,32.75,32.15,32.25,32.25,3004200
2002-03-21,32.13,32.19,31.16,31.54,31.54,3490400
2002-03-22,31.45,32.04,31.14,31.64,31.64,2014800
2002-03-25,31.85,32,30.93,31.07,31.07,2252800
2002-03-26,31.13,31.5,30.75,30.98,30.98,3094400
2002-03-27,29.88,29.98,29.07,29.22,29.22,12002000
2002-03-28,29.32,29.47,28.45,28.7,28.7,8183800
2002-04-01,28.43,28.69,28.05,28.67,28.67,5783000
2002-04-02,28.65,28.65,28.27,28.44,28.44,4860000
2002-04-03,28.5,28.6,27.76,27.77,27.77,3767800
2002-04-04,28,28.5,27.89,28.34,28.34,3976200
2002-04-05,28.39,28.73,28.2,28.54,28.54,2917600
2002-04-08,27.93,28.3,27.47,28.19,28.19,2647000
2002-04-09,28.25,29.25,28.23,29.05,29.05,4668400
2002-04-10,28.93,29.32,28.84,29.25,29.25,3078200
2002-04-11,29.05,29.4,28.95,28.98,28.98,3596800
2002-04-12,29.05,29.05,27.88,28.13,28.13,4216200
2002-04-15,28.25,28.62,28.15,28.3,28.3,2077200
2002-04-16,28.8,29.53,28.77,29.32,29.32,3119000
2002-04-17,29.5,29.55,28.73,29.07,29.07,1879800
2002-04-18,28.95,29,28.39,28.96,28.96,2967600
2002-04-19,29.53,29.71,29.27,29.37,29.37,3190400
2002-04-22,28.95,29.12,28.2,28.6,28.6,2508600
2002-04-23,28.85,29.01,28.55,28.62,28.62,1759200
2002-04-24,28.65,28.69,28.04,28.04,28.04,2736600
2002-04-25,27.4,27.51,26.85,27.38,27.38,5004000
2002-04-26,27.45,27.65,27.09,27.19,27.19,2093200
2002-04-29,27.18,27.2,25.79,25.8,25.8,5437000
2002-04-30,25.92,27.18,25.88,26.7,26.7,4293600
2002-05-01,26.75,27.25,25.98,26.86,26.86,3862200
2002-05-02,26.89,27.03,26.28,26.79,26.79,4049600
2002-05-03,26.79,28.45,26.55,27.72,27.72,6299000
2002-05-06,27.73,27.96,27.03,27.04,27.04,3082800
2002-05-07,27.38,27.75,27.02,27.53,27.53,2945800
2002-05-08,28.25,29.03,27.88,28.82,28.82,3573400
2002-05-09,29.2,29.7,28.69,28.79,28.79,3267200
2002-05-10,29.18,29.22,28.16,28.36,28.36,2483200
2002-05-13,28.38,28.85,28.07,28.67,28.67,2011600
2002-05-14,29.41,29.7,29.07,29.7,29.7,2429600
2002-05-15,29.2,29.74,29.07,29.37,29.37,2880200
2002-05-16,29.13,29.28,28.53,29.03,29.03,2924600
2002-05-17,29.1,29.6,29.05,29.34,29.34,2549400
2002-05-20,29.34,29.34,28.73,28.78,28.78,1361400
2002-05-21,29.2,29.37,28.16,28.24,28.24,2958200
2002-05-22,28.5,28.76,28.1,28.35,28.35,1498800
2002-05-23,28.48,29.48,28.45,29.48,29.48,3122200
2002-05-24,29.65,29.73,29.45,29.45,29.45,2227600
2002-05-28,29.15,29.23,28.51,28.7,28.7,2415600
2002-05-29,28.7,28.7,27.88,28.3,28.3,4038600
2002-05-30,28.18,28.7,28,28.53,28.53,2619200
2002-05-31,28.65,29.57,28.63,28.93,28.93,2967400
2002-06-03,28.93,29.15,28.4,28.41,28.41,2834200
2002-06-04,28.27,29.03,28.13,28.66,28.66,3952800
2002-06-05,28.9,29.15,28.5,28.92,28.92,2776600
2002-06-06,28.9,29.09,28.27,28.28,28.28,2158200
2002-06-07,27.57,28.88,27.53,28.47,28.47,2969400
2002-06-10,28.45,29.2,28.31,28.63,28.63,1721800
2002-06-11,28.7,29.25,28.06,28.17,28.17,2061000
2002-06-12,28.18,28.2,27.13,27.51,27.51,4112800
2002-06-13,27.4,28,27.23,27.57,27.57,1688400
2002-06-14,27.15,27.3,26.71,26.95,26.95,3453400
2002-06-17,26.96,28.15,26.95,27.97,27.97,2071000
2002-06-18,27.85,28.75,27.83,28.65,28.65,3033000
2002-06-19,28.38,28.93,28.19,28.19,28.19,2703000
2002-06-20,28.3,28.65,27.82,27.85,27.85,1882400
2002-06-21,27.05,27.7,27.05,27.57,27.57,3351800
2002-06-24,27.32,27.84,26.65,27.41,27.41,2545000
2002-06-25,27.31,27.8,26.67,26.68,26.68,2244400
2002-06-26,26,27.2,25.88,27.14,27.14,3326600
2002-06-27,27.03,27.5,26.5,27.45,27.45,2168000
2002-06-28,27.13,27.74,26.5,26.75,26.75,4052400
