Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,192.86,195.97,191.66,195.97,195.97,3697537
2002-01-03,193.57,195.82,192.14,194.34,194.34,3656350
2002-01-04,195.25,197.83,192.76,195.97,195.97,4148586
2002-01-07,194.53,195.49,187.11,188.36,188.36,5751676
2002-01-08,189.75,191.47,184.72,186.4,186.4,5041906
2002-01-09,185.2,189.51,182.76,184.48,184.48,4219384
2002-01-10,184.48,186.16,183.76,184.77,184.77,3079713
2002-01-11,187.11,187.35,182.61,182.95,182.95,3511054
2002-01-14,182.81,184,180.8,181.37,181.37,4353245
2002-01-15,180.89,186.59,179.79,185.25,185.25,5442827
2002-01-16,183.76,184.19,180.46,180.51,180.51,4784235
2002-01-17,186.16,186.2,183.28,185.44,185.44,4714147
2002-01-18,183.95,186.16,183.05,185.1,185.1,3769128
2002-01-22,188.79,188.79,182.95,183.28,183.28,3588229
2002-01-23,183.28,183.33,179.41,180.17,180.17,4702047
2002-01-24,182.33,184.67,178.69,179.7,179.7,4050727
2002-01-25,181.85,183.67,179.98,183.09,183.09,3292564
2002-01-28,184.72,184.82,180.7,182.57,182.57,2917703
2002-01-29,181.85,182.9,173.33,174.48,174.48,7591481
2002-01-30,174.19,178.5,165.05,176.49,176.49,13027977
2002-01-31,177.06,178.16,169.89,177.78,177.78,6480563
2002-02-01,176.59,177.06,174.14,176.35,176.35,4293169
2002-02-04,171.8,171.8,166.15,167.49,167.49,8304320
2002-02-05,167.97,175.01,167.92,173.28,173.28,9272890
2002-02-06,173.95,177.49,171.99,176.87,176.87,6947119
2002-02-07,177.11,181.13,174.91,178.02,178.02,5005548
2002-02-08,178.98,180.65,173.38,178.26,178.26,4746392
2002-02-11,178.26,181.37,177.3,180.89,180.89,3295091
2002-02-12,179.46,179.94,176.82,179.46,179.46,3412281
2002-02-13,180.41,183.62,179.46,182.33,182.33,3920020
2002-02-14,182.33,185.92,179.65,181.85,181.85,4260214
2002-02-15,181.85,181.85,177.16,177.59,177.59,4625714
2002-02-19,176.59,177.06,173.81,174.19,174.19,3541587
2002-02-20,174.81,180.65,173,179.79,179.79,4598800
2002-02-21,181.75,184.05,178.88,179.55,179.55,5766794
2002-02-22,179.55,183.67,177.45,182.28,182.28,4087131
2002-02-25,182.09,187.97,181.85,187.59,187.59,5105014
2002-02-26,187.59,187.83,184.24,185.44,185.44,3925182
2002-02-27,187.83,188.93,184.24,185.44,185.44,4825586
2002-02-28,187.83,189.75,184.05,184.24,184.24,4889323
2002-03-01,187.11,188.79,185.2,188.79,188.79,4203920
2002-03-04,190.46,192.62,188.89,192.38,192.38,6745677
2002-03-05,191.18,195.25,190.46,193.81,193.81,4972762
2002-03-06,193.81,199.41,193.33,198.84,198.84,5148103
2002-03-07,199.79,200.03,193.33,195.97,195.97,5105870
2002-03-08,198.6,200.23,192.57,194.29,194.29,5866460
2002-03-11,196.21,197.98,195.54,196.92,196.92,4898518
2002-03-12,193.81,197.16,193,196.68,196.68,4130719
2002-03-13,195.01,195.06,191.04,191.42,191.42,4925974
2002-03-14,192.62,194.05,191.42,193.38,193.38,3085082
2002-03-15,194.05,195.73,190.99,192.33,192.33,6916423
2002-03-18,192.62,194.05,190.13,190.94,190.94,4180786
2002-03-19,191.42,191.9,189.46,190.94,190.94,3734273
2002-03-20,190.18,192.09,184.24,185.68,185.68,5746057
2002-03-21,183.28,184.72,176.25,179.22,179.22,11785540
2002-03-22,179.55,181.8,177.21,181.23,181.23,6395012
2002-03-25,182.42,182.95,177.06,177.26,177.26,5140371
2002-03-26,177.54,180.99,177.06,178.55,178.55,4181392
2002-03-27,178.36,182.18,177.3,179.22,179.22,4101297
2002-03-28,180.41,181.56,178.21,179.22,179.22,3909592
2002-04-01,177.3,179.22,175.15,178.5,178.5,4500124
2002-04-02,178.02,178.02,175.63,177.54,177.54,3638212
2002-04-03,177.54,178.12,172.28,175.87,175.87,3994850
2002-04-04,175.87,178.74,175.34,178.5,178.5,4289949
2002-04-05,179.94,180.89,175.96,177.54,177.54,3097662
2002-04-08,174.67,176.54,174.1,176.39,176.39,3586533
2002-04-09,176.11,176.82,173.52,174.43,174.43,3586095
2002-04-10,174.81,178.79,174.19,178.02,178.02,4739286
2002-04-11,175.63,175.96,160.31,161.51,161.51,16689422
2002-04-12,164.86,164.86,159.74,160.55,160.55,10389762
2002-04-15,158.4,159.12,151.41,152.42,152.42,14324260
2002-04-16,155.53,159.64,154.05,158.4,158.4,9326779
2002-04-17,160.31,162.61,158.93,161.03,161.03,6195556
2002-04-18,161.08,162.8,157.92,161.75,161.75,5691475
2002-04-19,163.43,163.43,160.41,161.27,161.27,4120644
2002-04-22,160.55,160.55,156.96,157.25,157.25,4138763
2002-04-23,160.31,162.61,156.25,156.96,156.96,4071707
2002-04-24,157.2,158.69,154.95,155.53,155.53,4543652
2002-04-25,154.33,155.05,152.27,153.38,153.38,5782141
2002-04-26,156.96,156.96,150.65,150.74,150.74,4844438
2002-04-29,151.94,152.56,146.82,147.63,147.63,4727541
2002-04-30,147.39,152.66,144.28,150.98,150.98,8421216
2002-05-01,151.94,152.47,147.15,151.7,151.7,5390335
2002-05-02,151.46,152.42,148.64,151.22,151.22,4092959
2002-05-03,149.79,151.7,147.11,151.7,151.7,4139014
2002-05-06,150.98,153.38,147.82,148.21,148.21,4872961
2002-05-07,148.35,150.07,146.01,146.68,146.68,4310305
2002-05-08,150.03,158.02,149.79,157.2,157.2,7078890
2002-05-09,155.53,155.62,149.98,150.7,150.7,6878913
2002-05-10,151.94,151.94,146.48,146.68,146.68,5486833
2002-05-13,146.2,148.59,145.48,147.63,147.63,4708672
2002-05-14,150.98,151.51,147.87,151.13,151.13,6191442
2002-05-15,150.5,151.7,147.92,148.02,148.02,6191756
2002-05-16,150.03,153.14,149.02,153.14,153.14,4909988
2002-05-17,155.05,160.08,154.33,160.08,160.08,6827715
2002-05-20,157.92,157.97,155.43,156.01,156.01,4243727
2002-05-21,157.44,158.88,153.14,153.85,153.85,4150903
2002-05-22,153.14,154.05,150.74,152.75,152.75,3951531
2002-05-23,153.61,157.68,152.27,157.68,157.68,3768124
2002-05-24,157.68,157.92,155.43,156.01,156.01,2963864
2002-05-28,156.73,157.16,152.47,153.38,153.38,2983214
2002-05-29,152.42,154.52,149.83,150.26,150.26,3501674
2002-05-30,147.87,150.26,147.15,149.31,149.31,4352368
2002-05-31,149.31,151.6,148.4,149.02,149.02,4162856
2002-06-03,149.02,149.07,143.33,144.09,144.09,6043494
2002-06-04,143.57,145.53,142.56,143.8,143.8,6952656
2002-06-05,144.76,145.77,142.66,144.28,144.28,4988602
2002-06-06,145,145,139.31,140.22,140.22,4467526
2002-06-07,135.91,144.76,135.91,144.52,144.52,6598882
2002-06-10,144.28,145.52,142.37,143.33,143.33,4355127
2002-06-11,144.04,145.72,140.45,140.69,140.69,4660672
2002-06-12,140.69,145.53,140.45,145.24,145.24,5878683
2002-06-13,143.57,145.72,142.32,142.85,142.85,4353038
2002-06-14,141.17,142.61,138.21,142.13,142.13,7135728
2002-06-17,143.57,146.68,142.99,146.01,146.01,4449223
2002-06-18,145.48,150.26,144.71,149.07,149.07,4554813
2002-06-19,146.92,150.07,145,145.24,145.24,4371761
2002-06-20,144.76,146.15,141.65,142.13,142.13,4337781
2002-06-21,139.5,142.13,137.58,138.54,138.54,8193864
2002-06-24,136.63,143.57,134.47,141.65,141.65,7770439
2002-06-25,143.33,144.47,137.34,138.3,138.3,6220737
2002-06-26,131.6,143.13,131.22,141.17,141.17,9403472
2002-06-27,142.13,143.57,137.54,143.09,143.09,6946097
2002-06-28,143.09,144.76,138.88,139.02,139.02,6784251
2002-07-01,139.07,141.36,135.19,136.15,136.15,5635616
2002-07-02,134.71,136.43,131.17,134.47,134.47,6592339
2002-07-03,130.41,133.75,128.73,133.52,133.52,6368058
2002-07-05,137.58,142.37,136.39,142.08,142.08,4024231
2002-07-08,142.13,143.18,139.16,140.84,140.84,4257893
2002-07-09,140.69,142.27,135.14,135.43,135.43,5158008
2002-07-10,135.91,137.58,129.45,129.45,129.45,6999047
2002-07-11,128.25,133.28,126.34,130.88,130.88,10762678
2002-07-12,134.47,143.23,129.93,136.87,136.87,10060121
2002-07-15,136.29,136.48,120.83,135.19,135.19,7837450
2002-07-16,130.74,134.71,130.74,131.84,131.84,7477385
2002-07-17,135.91,136.34,131.36,135.19,135.19,8000550
2002-07-18,134.23,137.06,131.65,132.56,132.56,5845209
2002-07-19,129.69,132.56,125.62,126.91,126.91,7543983
2002-07-22,126.82,128.68,121.26,122.8,122.8,9289274
2002-07-23,124.33,125.14,117.1,118.68,118.68,10155532
2002-07-24,115.76,128.01,113.66,126.96,126.96,13038195
2002-07-25,127.29,130.17,123.71,127.53,127.53,8328895
2002-07-26,129.45,133.42,126.8,133.04,133.04,7478598
2002-07-29,138.29,145.72,138.01,145.72,145.72,9438912
2002-07-30,143.57,151.99,141.84,151.22,151.22,9087832
2002-07-31,151.22,154.09,144.71,154.09,154.09,9441461
2002-08-01,153.61,154.52,149.55,150.26,150.26,6887022
2002-08-02,147.63,149.5,139.21,141.17,141.17,8040921
2002-08-05,140.45,142.08,135.29,135.43,135.43,5729881
2002-08-06,139.98,146.44,139.74,141.89,141.89,7558382
2002-08-07,145.81,147.68,141.41,147.15,147.15,5947956
2002-08-08,147.39,154.09,146.48,152.9,152.9,6933849
2002-08-09,150.74,155.77,149.5,155.05,155.05,5672855
2002-08-12,151.99,155.05,150.5,154.33,154.33,4349506
2002-08-13,152.18,154.24,147.39,148.11,148.11,5483470
2002-08-14,147.15,153.85,142.61,152.66,152.66,7794992
2002-08-15,152.66,155.1,149.21,154.52,154.52,6036767
2002-08-16,153.14,154.57,149.31,150.98,150.98,4563525
2002-08-19,150.98,157.4,150.74,157.4,157.4,5029118
2002-08-20,156.25,156.68,152.66,154.33,154.33,4255700
2002-08-21,156.25,157.4,152.47,154.57,154.57,4469304
2002-08-22,155.05,157.83,153.76,156.49,156.49,4299499
2002-08-23,154.33,155.1,153.09,154.33,154.33,3457750
2002-08-26,154.81,155.05,149.74,153.47,153.47,3845963
2002-08-27,155.53,156.73,151.6,152.9,152.9,4239505
