Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,51.01,51.01,49.4,50.39,50.39,7291301
2002-01-03,50.15,50.39,49.5,50.05,50.05,5186602
2002-01-04,50.49,50.97,50.1,50.95,50.95,5523200
2002-01-07,51.1,51.55,50.53,50.59,50.59,6288801
2002-01-08,51.1,51.29,50.61,51.1,51.1,5172400
2002-01-09,51.4,51.65,50.06,50.26,50.26,6352602
2002-01-10,50.26,51.1,49.75,50.3,50.3,6625400
2002-01-11,50.55,51.14,50.35,50.46,50.46,6278400
2002-01-14,50.46,50.55,49.41,49.53,49.53,7568102
2002-01-15,49.53,50.17,49.15,49.7,49.7,6201801
2002-01-16,49.65,49.95,49.09,49.09,49.09,4163900
2002-01-17,48.95,49.04,47.75,48,48,8933200
2002-01-18,48,49,47.75,48.5,48.5,5394500
2002-01-22,48.95,49.49,48.31,48.5,48.5,4901000
2002-01-23,48.65,49,48.25,48.52,48.52,4568301
2002-01-24,48.7,49.23,47.9,47.99,47.99,6254900
2002-01-25,47.5,47.51,46.91,47,47,7529801
2002-01-28,47.5,47.88,47.2,47.8,47.8,4683700
2002-01-29,47.97,48.55,46.9,47,47,5715102
2002-01-30,47,49.35,47,49.07,49.07,7776900
2002-01-31,49.5,50.2,49.04,50.09,50.09,7555000
2002-02-01,50,50.15,49.01,49.4,49.4,5025801
2002-02-04,49.5,50.14,48.8,48.99,48.99,6246900
2002-02-05,48.99,49.41,48.35,49.1,49.1,7221602
2002-02-06,49.05,49.35,48.5,48.91,48.91,4323102
2002-02-07,48.92,49.52,48.51,48.85,48.85,4905900
2002-02-08,49,49.75,48.56,49.7,49.7,4789000
2002-02-11,49.52,50.75,49.5,50.5,50.5,5716602
2002-02-12,50.5,50.9,50.2,50.31,50.31,4844801
2002-02-13,51,51.73,50.5,51.24,51.24,6119500
2002-02-14,51.49,51.9,50.85,51.55,51.55,5374602
2002-02-15,51.55,51.55,50.2,50.52,50.52,5947898
2002-02-19,50.74,51.31,50.3,50.35,50.35,5684900
2002-02-20,50.78,51.79,50.51,51.71,51.71,8007300
2002-02-21,51.38,52.1,50.76,51.3,51.3,7551200
2002-02-22,50.97,51.04,49.8,51,51,8604301
2002-02-25,51.25,52.12,51.08,52.07,52.07,8632400
2002-02-26,52.1,52.6,50.57,51.51,51.51,12242200
2002-02-27,52.15,52.25,50.44,50.92,50.92,8919700
2002-02-28,50.91,51,49.7,50,50,9268900
2002-03-01,50.28,50.5,49.7,50.29,50.29,8664602
2002-03-04,49,50.15,48.66,49.9,49.9,12373700
2002-03-05,49.18,49.18,47.1,47.5,47.5,14543500
2002-03-06,47.75,48.97,47.7,48.7,48.7,9741602
2002-03-07,49.56,49.6,48,48.4,48.4,8834000
2002-03-08,48.9,49.4,48.55,48.94,48.94,6999199
2002-03-11,48.91,48.91,48.09,48.33,48.33,6442900
2002-03-12,48.1,48.71,47.77,48.35,48.35,7512700
2002-03-13,47.9,48.71,47.55,48.5,48.5,6465400
2002-03-14,48.25,48.99,48.2,48.35,48.35,4748700
2002-03-15,48.35,48.98,47.75,48.92,48.92,10340398
2002-03-18,49.43,49.43,48.25,48.71,48.71,5763699
2002-03-19,49.24,49.79,48.93,49.5,49.5,6070900
2002-03-20,49.3,50.25,49.03,49.64,49.64,7084700
2002-03-21,49.52,49.64,48.52,49.05,49.05,8685000
2002-03-22,48.99,49.75,48.54,49.36,49.36,5208602
2002-03-25,49.15,49.5,48.35,48.45,48.45,5216602
2002-03-26,48.2,49.22,48.15,49,49,7481602
2002-03-27,49.1,49.4,48.3,49.26,49.26,6815400
2002-03-28,49,49.1,48.31,48.61,48.61,5981500
2002-04-01,48.15,48.8,48.06,48.22,48.22,6961801
2002-04-02,48.22,48.22,47.25,47.51,47.51,6247500
2002-04-03,47.66,48.3,46,46.95,46.95,7151301
2002-04-04,47.25,48.28,47.15,48.15,48.15,5382900
2002-04-05,48.35,49.09,48.1,48.77,48.77,5547500
2002-04-08,48.3,49.5,48.3,49.5,49.5,4669400
2002-04-09,49.5,49.87,49,49.08,49.08,5068700
2002-04-10,49.16,49.75,48.94,49.74,49.74,4372900
2002-04-11,49.74,50.29,49.17,49.33,49.33,6956500
2002-04-12,49.75,50.46,49.49,50.36,50.36,5825500
2002-04-15,50.15,50.24,49.02,49.2,49.2,4793800
2002-04-16,49.52,49.85,48.97,49.84,49.84,6424500
2002-04-17,49.6,49.91,49.11,49.37,49.37,3836200
2002-04-18,49.6,49.76,48.6,49.52,49.52,5226400
2002-04-19,49.75,49.9,49.1,49.15,49.15,6629398
2002-04-22,49.01,49.51,48.51,48.51,48.51,7705400
2002-04-23,48.52,49.2,48,48.86,48.86,6304900
2002-04-24,48.87,49.19,48.06,48.17,48.17,5576801
2002-04-25,48.17,48.9,47.9,48.67,48.67,5848801
2002-04-26,49.1,49.3,48.06,48.09,48.09,4548200
2002-04-29,47.7,48.21,46.96,46.96,46.96,7133700
2002-04-30,46.71,47.21,46,46.37,46.37,9027400
2002-05-01,46.44,46.97,45.4,46.54,46.54,9459700
2002-05-02,46.54,47.5,46.42,46.8,46.8,6820500
2002-05-03,46.8,46.97,45.99,46.5,46.5,5299900
2002-05-06,46.5,46.5,44.56,44.7,44.7,6536301
2002-05-07,45.2,45.71,45,45.71,45.71,9049300
2002-05-08,46.75,46.9,45.85,46.35,46.35,6929301
2002-05-09,46.2,46.58,45.65,46.15,46.15,5696301
2002-05-10,46.05,46.24,45.06,45.5,45.5,4959102
2002-05-13,45.5,45.64,44.9,45.62,45.62,5896301
2002-05-14,47,47.98,46.8,47.98,47.98,8185400
2002-05-15,47.98,48.7,46.78,47,47,8454500
2002-05-16,47.25,47.3,46.62,47,47,5240900
2002-05-17,47.2,48.1,47.15,48.09,48.09,5530900
2002-05-20,48.99,49.5,48.26,48.5,48.5,10370801
2002-05-21,47.65,47.66,44.75,44.9,44.9,22179600
2002-05-22,44.78,44.78,42.51,44.25,44.25,19553900
2002-05-23,44.01,44.1,42.6,42.9,42.9,16275300
2002-05-24,43,43.64,42.9,43.42,43.42,10466602
2002-05-28,42.75,43.42,40.52,41.54,41.54,19734704
2002-05-29,41,42,40.5,40.95,40.95,14882102
2002-05-30,40.75,40.85,39.85,40.15,40.15,16635500
2002-05-31,40.75,42.27,40.65,41.69,41.69,16912200
2002-06-03,41.15,42.05,40.3,40.52,40.52,8727301
2002-06-04,40.51,40.9,39.45,40.1,40.1,11057900
2002-06-05,40.3,41.2,40.11,40.54,40.54,9548102
2002-06-06,40.54,40.6,38.85,39.01,39.01,10427301
2002-06-07,38.5,39.1,38.26,38.83,38.83,10797102
2002-06-10,38.83,40.2,38.75,39.95,39.95,8409602
2002-06-11,40.05,40.9,39,39.16,39.16,8343200
2002-06-12,39.07,39.15,38,38.06,38.06,12306500
